"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Cinp","Cinp",1100,1312,1144,1522,1270,1313
"Traf3","Traf3",1429,1975,1591,2170,1894,1908
"Cdc42bpb","Cdc42bpb",2152,2539,2476,2506,2080,2099
"Exoc3l4","Exoc3l4",777,857,771,734,732,764
"Tnfaip2","Tnfaip2",76739,90298,85115,97798,99922,95066
"Eif5","Eif5",6045,7141,7041,5061,6167,6177
"Ppp1r13b","Ppp1r13b",643,810,656,679,345,609
"Zfyve21","Zfyve21",720,884,674,1053,931,881
"Xrcc3","Xrcc3",224,326,324,300,262,248
"Klc1","Klc1",2844,3114,3059,2994,3141,2967
"Atp5mpl","Atp5mpl",2426,2700,2356,3252,3205,3404
"Kif26a","Kif26a",37,29,7,16,12,13
"Gpr132","Gpr132",1705,2067,1771,1507,1388,1414
"Hecw1","Hecw1",0,0,0,0,0,0
"Ggps1","Ggps1",413,382,423,465,386,517
"Gng4","Gng4",184,136,204,191,165,258
"Gpr137b","Gpr137b",7434,7946,8021,10519,10841,10332
"Mtr","Mtr",587,820,840,795,538,494
"Ryr2","Ryr2",4,1,0,0,0,0
"Aoah","Aoah",226,269,321,319,270,277
"Trim27","Trim27",1755,2228,2008,1863,1800,1721
"Zkscan3","Zkscan3",428,606,586,674,729,751
"Carmil1","Carmil1",135,163,86,92,84,119
"Mrs2","Mrs2",358,518,494,522,576,499
"Irf4","Irf4",149,103,160,240,183,161
"Exoc2","Exoc2",3178,3650,3821,4075,3602,3355
"Gcnt2","Gcnt2",4,14,9,74,66,57
"Tmem14c","Tmem14c",4245,5063,4265,5407,5115,5196
"Mak","Mak",2,2,11,5,3,1
"Nedd9","Nedd9",0,2,0,0,0,0
"Hivep1","Hivep1",237,356,236,345,377,283
"Tbc1d7","Tbc1d7",552,722,685,612,499,660
"Mcur1","Mcur1",623,826,850,648,558,610
"Nup153","Nup153",1790,2320,2345,2585,2131,1777
"Kif13a","Kif13a",631,622,550,637,284,669
"Tpmt","Tpmt",72,90,67,101,138,106
"Dek","Dek",384,521,393,559,584,578
"Id4","Id4",0,0,0,0,0,0
"Susd3","Susd3",375,412,357,418,376,408
"Ippk","Ippk",737,944,813,1025,730,742
"Cenpp","Cenpp",98,91,82,104,106,69
"Nol8","Nol8",407,522,476,485,566,429
"Spin1","Spin1",1330,1440,1466,1539,1593,1261
"Wrnip1","Wrnip1",1009,1345,1074,1008,976,964
"Serpinb9b","Serpinb9b",1312,1206,1469,472,472,455
"Ripk1","Ripk1",3085,3297,3217,3440,3122,3050
"Prpf4b","Prpf4b",401,529,448,376,322,322
"Eci2","Eci2",1168,1348,1193,1376,1173,1443
"Rpp40","Rpp40",266,294,351,386,322,418
"Fars2","Fars2",1111,1136,1151,1239,1125,1409
"Ly86","Ly86",334,403,333,675,550,485
"Ssr1","Ssr1",2751,3628,3414,4608,3576,3674
"Riok1","Riok1",1026,1365,1104,1415,1238,1167
"Snrnp48","Snrnp48",237,279,283,334,290,241
"Slc35b3","Slc35b3",687,727,749,775,757,850
"Sema4d","Sema4d",12433,13221,13777,11972,11869,10783
"Gadd45g","Gadd45g",2062,2110,2131,2402,3614,3418
"Syk","Syk",4919,5832,5445,6590,6007,5505
"X2010111I01Rik","2010111I01Rik",922,995,919,1413,1507,1225
"Auh","Auh",722,1041,795,1357,1285,1228
"Fancc","Fancc",282,412,407,533,444,469
"Ptch1","Ptch1",543,600,511,501,502,547
"Sptlc1","Sptlc1",1572,1847,1731,1672,1711,1407
"Ercc6l2","Ercc6l2",563,814,697,649,579,702
"Sfxn1","Sfxn1",3160,4353,3660,4932,4068,4003
"Habp4","Habp4",604,674,756,752,670,616
"Ctsl","Ctsl",32556,38599,35361,77623,73961,81385
"Drd1","Drd1",0,0,0,0,0,0
"Zfp346","Zfp346",1020,1316,1359,1528,1658,1562
"Aaed1","Aaed1",394,512,495,659,670,652
"Cdk20","Cdk20",545,565,584,781,707,482
"Lman2","Lman2",10155,13156,11988,12677,13104,12484
"Mxd3","Mxd3",29,54,27,35,25,55
"Prelid1","Prelid1",8933,11381,9562,11004,10173,10514
"Nsd1","Nsd1",480,445,583,517,458,404
"Pdlim7","Pdlim7",994,1048,1189,1046,1079,1079
"Ddx41","Ddx41",3453,4161,3843,3917,3674,3681
"Fam193b","Fam193b",67,102,106,79,55,36
"Pcbd2","Pcbd2",213,279,208,310,250,322
"Txndc15","Txndc15",1235,1403,1211,1384,1407,1350
"Ddx46","Ddx46",965,1239,1026,1205,921,899
"Caml","Caml",562,706,646,684,626,659
"B4galt7","B4galt7",1679,1829,1705,1637,1493,1437
"Cxcl14","Cxcl14",1,0,0,2,1,6
"Zfp729a","Zfp729a",153,127,185,196,150,176
"Zfp369","Zfp369",257,345,304,480,360,366
"Ptdss1","Ptdss1",2005,2706,2414,2634,2284,2276
"Mterf3","Mterf3",497,607,703,522,657,618
"Uqcrb","Uqcrb",2664,3055,2724,3508,3365,3675
"Fastkd3","Fastkd3",767,1030,858,953,875,992
"Cetn3","Cetn3",840,1077,938,961,945,941
"Smad5","Smad5",313,208,335,326,332,337
"Hnrnpk","Hnrnpk",18275,21595,19923,22640,20181,20460
"Ccnh","Ccnh",1291,1546,1280,1589,1390,1384
"Rasa1","Rasa1",881,1308,1151,1021,1104,1047
"X2210016F16Rik","2210016F16Rik",760,798,786,773,711,640
"Gkap1","Gkap1",190,261,225,269,314,286
"Slc28a3","Slc28a3",0,1,0,0,0,0
"Naa35","Naa35",1553,1558,1604,1509,1331,1439
"Golm1","Golm1",1332,1663,1595,1807,1349,1275
"Agtpbp1","Agtpbp1",686,849,705,1148,981,917
"Dapk1","Dapk1",2,7,22,4,6,13
"Trip13","Trip13",472,571,497,487,512,450
"Cep72","Cep72",149,147,105,254,211,160
"Ahrr","Ahrr",95,97,44,72,57,59
"Pdcd6","Pdcd6",3575,4056,3579,4667,4562,4522
"Sdha","Sdha",16773,19164,17399,20753,17220,17194
"Ccdc127","Ccdc127",731,933,812,1101,917,852
"Erap1","Erap1",1680,2057,1859,2485,2246,2073
"Cast","Cast",1965,2183,2081,2355,2338,2425
"Rhobtb3","Rhobtb3",0,0,2,4,1,0
"Glrx","Glrx",318,534,373,730,521,549
"Arsk","Arsk",298,329,357,361,327,338
"Srd5a1","Srd5a1",8,27,25,42,100,49
"Nsun2","Nsun2",6974,8866,7984,10090,8241,8648
"Mctp1","Mctp1",939,1087,1126,2229,2655,2532
"Slf1","Slf1",196,307,246,268,287,278
"Ndufs6","Ndufs6",1786,2127,1809,2245,2179,2166
"Mrpl36","Mrpl36",1859,2123,1813,2066,1917,1770
"Lpcat1","Lpcat1",1799,1638,1513,1096,963,839
"Slc6a3","Slc6a3",0,0,1,0,0,1
"Clptm1l","Clptm1l",5718,6635,5909,6660,5336,6597
"Tert","Tert",5,54,23,73,58,23
"Vcan","Vcan",0,8,1,0,2,5
"Xrcc4","Xrcc4",234,299,243,270,299,326
"Atg10","Atg10",397,341,332,326,360,357
"Zcchc9","Zcchc9",294,477,309,346,444,469
"Cd180","Cd180",478,506,495,684,493,447
"Slc30a5","Slc30a5",3637,4271,4105,4556,4431,4313
"Rad17","Rad17",499,690,716,811,678,756
"Marveld2","Marveld2",96,123,122,109,92,90
"Ocln","Ocln",0,0,1,0,0,0
"Gtf2h2","Gtf2h2",644,852,792,825,769,690
"Naip1","Naip1",8,18,38,10,31,20
"Serf1","Serf1",123,164,130,132,144,172
"Smn1","Smn1",675,688,784,685,679,556
"Mccc2","Mccc2",1045,1248,1025,1174,943,1029
"Ptcd2","Ptcd2",1657,2107,1743,2037,1783,1858
"Btf3","Btf3",4416,5218,4708,5711,4977,5841
"Ankra2","Ankra2",309,274,353,377,363,436
"Arhgef28","Arhgef28",0,0,0,0,3,0
"Hexb","Hexb",5405,5924,6059,8891,8447,7927
"Gfm2","Gfm2",2618,3101,2783,3420,3070,2917
"Polk","Polk",921,1082,892,1329,1159,1254
"Col4a3bp","Col4a3bp",914,925,856,892,722,635
"Hmgcr","Hmgcr",7470,8624,8258,8954,7834,6973
"Poc5","Poc5",632,723,717,841,779,717
"Iqgap2","Iqgap2",4,2,20,13,5,0
"Aggf1","Aggf1",1790,1929,2110,2494,2185,2151
"Pde8b","Pde8b",125,151,155,77,108,91
"Ap3b1","Ap3b1",7368,8426,8190,9497,8677,8049
"Scamp1","Scamp1",2677,3176,2926,4335,3843,3928
"Jmy","Jmy",156,216,190,171,120,141
"Dimt1","Dimt1",307,410,342,483,435,390
"Kif2a","Kif2a",88,83,88,120,111,138
"Ercc8","Ercc8",140,203,137,202,148,198
"Elovl7","Elovl7",863,937,1101,1195,1220,1054
"Depdc1b","Depdc1b",171,303,241,272,220,243
"Pde4d","Pde4d",8,7,9,23,29,4
"Rab3c","Rab3c",0,0,1,0,1,0
"Plk2","Plk2",6822,6765,7411,10957,10725,10146
"Serinc5","Serinc5",349,331,304,448,361,314
"Mtx3","Mtx3",15,20,16,20,15,37
"Zfyve16","Zfyve16",629,875,794,950,922,820
"Dhfr","Dhfr",182,321,211,373,233,338
"Rasgrf2","Rasgrf2",0,0,0,0,0,0
"Erbin","Erbin",1757,1877,2093,2039,2255,2297
"Nln","Nln",1651,2194,1815,2392,2068,2131
"Trappc13","Trappc13",1314,1777,1490,1765,1511,1579
"Trim23","Trim23",320,357,349,434,537,365
"Ppwd1","Ppwd1",205,238,200,328,320,234
"Cenpk","Cenpk",104,193,143,103,106,164
"Cwc27","Cwc27",504,541,537,623,639,535
"Srek1ip1","Srek1ip1",148,210,181,194,167,229
"Parp8","Parp8",274,388,324,521,551,414
"Emb","Emb",2944,3890,3467,4698,4054,4245
"Hcn1","Hcn1",0,0,0,0,0,0
"Mrps30","Mrps30",921,1143,1168,1136,988,1073
"Slc4a7","Slc4a7",433,358,421,562,611,551
"Psmd6","Psmd6",2321,2735,2381,2718,2484,2452
