"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Gnai3","Gnai3",4499,5973,5861,7253,7364,7855
"Cdc45","Cdc45",691,1007,756,977,852,1031
"Narf","Narf",999,1432,1243,1564,1230,1472
"Cav2","Cav2",402,470,492,411,424,514
"Klf6","Klf6",1660,1734,1934,1996,2067,1827
"Scmh1","Scmh1",862,989,966,896,826,887
"Cox5a","Cox5a",1531,1904,1647,2396,2221,2149
"Wnt9a","Wnt9a",145,112,100,66,79,95
"Fer","Fer",545,555,596,694,615,492
"Xpo6","Xpo6",3642,4676,4091,4636,4493,3934
"Tfe3","Tfe3",3410,4640,3863,4097,4416,4169
"Brat1","Brat1",2274,3139,2936,2721,2613,2713
"Gna12","Gna12",480,578,562,594,350,760
"Slc22a18","Slc22a18",253,255,251,268,215,216
"Pih1d2","Pih1d2",13,21,12,26,24,4
"Dlat","Dlat",2988,3355,3540,3811,3500,3467
"Sdhd","Sdhd",6188,7779,6563,7736,6970,7438
"Ccnd2","Ccnd2",0,1,0,0,0,0
"Gpr107","Gpr107",4107,4903,4670,5620,5056,5468
"Tspan32","Tspan32",1398,1908,1675,1337,1286,1204
"Lhx2","Lhx2",72,66,55,96,140,100
"Gmpr","Gmpr",1692,1997,1571,1958,1716,1585
"Trim25","Trim25",5902,6776,6462,8945,7929,7268
"Dgke","Dgke",110,164,196,228,203,184
"Scpep1","Scpep1",12021,13902,13511,15854,14874,14177
"Mnt","Mnt",703,871,901,861,1004,919
"Itgb2","Itgb2",16393,19421,18764,16665,16590,16502
"Hddc2","Hddc2",316,431,378,370,325,322
"Pemt","Pemt",91,128,68,62,62,41
"Cdh4","Cdh4",29,14,18,16,3,0
"Ckmt1","Ckmt1",4,0,0,0,0,0
"Clec10a","Clec10a",787,1035,793,1154,1165,1195
"Alox12","Alox12",2,7,4,2,9,3
"Arvcf","Arvcf",162,168,170,95,105,106
"Comt","Comt",4144,5023,4069,4651,4273,4126
"Rtca","Rtca",802,1010,905,1188,1020,862
"Dbt","Dbt",379,477,450,473,395,567
"Dazap2","Dazap2",12570,16616,14192,20239,18722,19293
"Mcts1","Mcts1",602,792,769,1073,928,1154
"Rem1","Rem1",193,156,153,126,138,136
"Trappc10","Trappc10",1189,1408,1321,1613,1340,1432
"Ccm2","Ccm2",1788,2208,1981,2197,2108,2167
"Tbrg4","Tbrg4",705,901,786,840,853,809
"Mx1","Mx1",0,0,5,23,6,6
"Ndufa9","Ndufa9",4472,5129,4631,5503,5002,5058
"Lck","Lck",251,226,226,313,210,214
"Cttnbp2","Cttnbp2",0,4,0,0,1,0
"Galnt1","Galnt1",535,635,660,994,777,1077
"Mkrn2","Mkrn2",690,877,726,888,863,953
"Raf1","Raf1",2485,2856,2766,3360,3654,3546
"Pdgfb","Pdgfb",1218,1382,1467,1863,1781,1747
"Acvrl1","Acvrl1",1722,2134,1972,2187,2375,2073
"Grasp","Grasp",34,78,58,61,54,53
"Acvr1b","Acvr1b",104,112,88,161,179,129
"Tom1l2","Tom1l2",1733,1886,1714,1662,1696,1815
"Zfp385a","Zfp385a",2509,3324,2873,2405,2537,2089
"Itga5","Itga5",13184,13120,14556,16179,18161,15007
"Wdr77","Wdr77",2068,2519,2257,2785,2139,2578
"Adora3","Adora3",6,33,12,230,150,168
"Atp5f1","Atp5f1",11452,14398,12411,22003,19120,19605
"Hnrnpd","Hnrnpd",778,945,907,1150,631,1224
"Dynlt1c","Dynlt1c",188,150,173,173,144,193
"C1d","C1d",454,532,462,540,571,717
"Gm2a","Gm2a",14111,18048,16898,17289,16477,17556
"Krit1","Krit1",393,507,464,371,391,478
"Clcn4","Clcn4",1010,990,1094,876,703,726
"Hk2","Hk2",4093,5123,5461,3498,3306,2889
"Myo18a","Myo18a",3077,3637,3506,3476,3321,2969
"Haao","Haao",108,157,120,116,96,141
"Cd52","Cd52",2083,2296,1972,3383,3061,3142
"Abhd15","Abhd15",86,135,100,86,71,66
"Loxl3","Loxl3",35,27,62,51,91,111
"Kat2b","Kat2b",140,138,177,122,188,213
"Rab5b","Rab5b",1684,1955,1907,1969,1988,1883
"Dnmt3l","Dnmt3l",140,152,100,90,124,78
"Icosl","Icosl",342,365,390,231,278,278
"Spg7","Spg7",2005,2458,2297,2238,1950,1832
"Sult5a1","Sult5a1",0,0,2,0,0,0
"Rpl13","Rpl13",26024,33689,29820,29385,31818,30770
"Chmp1a","Chmp1a",6667,8708,7833,9374,9348,8905
"Rpa1","Rpa1",2173,3006,2561,2675,2484,2085
"Serpinf1","Serpinf1",225,303,179,76,57,89
"Tubgcp3","Tubgcp3",1093,1337,1073,1230,1073,1111
"Oprm1","Oprm1",0,0,0,0,0,0
"Polr3d","Polr3d",421,616,644,556,666,501
"Ddx3x","Ddx3x",4054,5246,5073,5154,4897,5533
"Il12rb1","Il12rb1",371,382,376,407,423,354
"Kcnn3","Kcnn3",2,2,4,141,51,112
"Usp32","Usp32",373,380,405,525,477,439
"Txnrd3","Txnrd3",480,561,591,608,696,604
"Zfp512b","Zfp512b",482,658,554,446,303,457
"Dnajc5","Dnajc5",5922,6829,6515,7042,6237,5720
"Tpd52l2","Tpd52l2",2929,3636,3444,4445,4095,4427
"Fmr1","Fmr1",438,600,555,435,530,671
"Bcl11a","Bcl11a",0,0,0,0,3,1
"Il4","Il4",25,41,36,63,40,47
"Pxmp4","Pxmp4",771,1097,806,1094,1041,1083
"Dlg3","Dlg3",21,25,40,44,47,60
"Gnb1l","Gnb1l",154,171,180,136,167,130
"Smarcb1","Smarcb1",1300,1552,1412,1472,1223,1158
"Hip1r","Hip1r",52,67,56,31,59,84
"Nsun5","Nsun5",685,957,728,773,764,767
"Top1mt","Top1mt",356,514,447,316,322,333
"Mmp14","Mmp14",11,14,9,3,11,2
"Slc7a7","Slc7a7",87,82,39,174,135,152
"Oxa1l","Oxa1l",1501,1947,1799,1642,1686,1660
"Heatr6","Heatr6",820,1126,1005,1120,999,822
"Ccl3","Ccl3",2663,2216,2668,3247,3063,2753
"Ilf2","Ilf2",2008,2412,2103,2526,2103,1868
"Chtop","Chtop",2340,2950,3045,3111,2927,2881
"Snapin","Snapin",2066,2558,2329,3063,2743,2747
"S100a4","S100a4",37,51,34,29,5,17
"S100a3","S100a3",20,12,7,6,17,7
"S100a6","S100a6",6267,6504,5702,5254,4851,5387
"Icam2","Icam2",105,93,82,63,37,32
"Mapk7","Mapk7",1508,1908,1643,1400,1519,1422
"Epn2","Epn2",225,316,311,240,169,175
"B9d1","B9d1",41,50,70,38,39,48
"Sec24b","Sec24b",2495,3110,3005,2870,2553,2584
"N4bp3","N4bp3",525,546,641,353,448,450
"Rmnd5b","Rmnd5b",2108,2600,2237,2181,2180,2071
"Nhp2","Nhp2",3189,4200,3299,4178,3887,3761
"Vps9d1","Vps9d1",399,429,399,398,453,372
"Zfp276","Zfp276",323,500,539,459,441,390
"Mfsd10","Mfsd10",1519,2199,1819,1752,1723,1610
"Luzp1","Luzp1",462,555,699,653,495,420
"Kctd10","Kctd10",849,1146,1026,1033,1006,897
"Poldip2","Poldip2",4117,5143,4494,4652,4476,3862
"Ift20","Ift20",314,335,317,361,253,289
"Lgals9","Lgals9",3844,4785,4280,7410,6392,6256
"Araf","Araf",2487,3150,2824,3044,3214,3362
"Cfp","Cfp",4761,6043,5251,6106,5203,4548
"Uxt","Uxt",339,360,359,506,397,349
"Cnnm3","Cnnm3",93,71,42,72,92,65
"Lman2l","Lman2l",1801,2003,2145,2020,1784,1907
"Mcm3ap","Mcm3ap",2039,2475,2290,2639,2317,2175
"Pcnt","Pcnt",505,692,707,561,476,377
"Mxd1","Mxd1",1098,1580,1165,3893,3553,3826
"Gmcl1","Gmcl1",886,1115,1173,1226,1148,1229
"Snrnp27","Snrnp27",560,756,690,696,903,942
"Oas1c","Oas1c",44,110,52,112,76,69
"Ocrl","Ocrl",33,37,11,29,20,7
"Calm1","Calm1",9099,10685,9124,14175,11080,11406
"Agpat3","Agpat3",2285,2641,2297,2710,2661,2893
"Slc26a3","Slc26a3",0,1,0,0,0,0
"Sema6b","Sema6b",323,541,445,537,618,536
"Uhrf1","Uhrf1",1736,2870,1938,2399,1988,2142
"Dpp9","Dpp9",2178,2685,2407,2718,2663,2578
"Lsr","Lsr",33,17,28,12,35,21
"Gramd1a","Gramd1a",1307,1643,1532,2425,2128,2011
"Hpn","Hpn",0,0,0,0,1,0
"Ckb","Ckb",3186,3628,3424,3279,2914,2634
"Sp1","Sp1",549,671,729,1038,666,668
"Itgb7","Itgb7",1466,2170,1750,1690,1657,1553
"Myg1","Myg1",1770,2084,1917,1666,1837,1779
"Rarg","Rarg",146,233,308,119,180,120
"Pfdn5","Pfdn5",2204,2422,2184,2909,2555,2754
"Rrp15","Rrp15",337,452,432,392,333,327
"Rnd2","Rnd2",202,231,190,243,266,249
"Srr","Srr",334,243,322,471,361,435
"Acp5","Acp5",1479,1866,1634,1634,1726,1626
"Fbxo9","Fbxo9",180,238,226,237,227,137
"Vps50","Vps50",2588,3067,2928,3219,3338,3296
"Hars","Hars",2094,2643,2353,2755,2257,2272
"Zmat2","Zmat2",854,903,855,1122,907,1017
"Ube2c","Ube2c",1164,1760,1189,2140,1562,1616
"Smg5","Smg5",1039,1186,1211,817,854,744
"Cct3","Cct3",13805,17649,15015,18389,14601,15229
"Glmp","Glmp",23167,27037,25149,27820,26782,27400
"Mef2d","Mef2d",6943,8389,8262,8945,9508,9136
"Tmem79","Tmem79",16,13,13,31,13,20
"Snd1","Snd1",9838,12599,10676,12060,11723,9543
"Col18a1","Col18a1",228,217,278,267,308,242
"Slc19a1","Slc19a1",713,967,1043,956,862,805
"Kpnb1","Kpnb1",1262,1658,1222,1611,1060,1011
"Npepps","Npepps",2592,3232,2745,3842,3266,3297
"Mrpl10","Mrpl10",1589,1718,1684,1862,1995,1908
"Cyp51","Cyp51",977,1113,978,1215,1030,1043
"Tcf25","Tcf25",9171,11780,10690,10279,9867,9842
"Tubb6","Tubb6",2878,4532,3311,6436,5778,5442
"Def8","Def8",1782,2444,2078,2772,2601,2583
"Itga3","Itga3",35,59,35,43,65,61
"Foxm1","Foxm1",580,822,636,786,728,591
"Itfg2","Itfg2",186,229,224,104,152,137
"Nrip2","Nrip2",3,2,0,6,1,1
"Tulp3","Tulp3",114,149,130,157,210,176
"Gtf2h4","Gtf2h4",1437,1838,1522,1666,1716,1605
"Tubb5","Tubb5",7703,11383,8659,10390,8901,8787
"Ell2","Ell2",745,982,910,1502,1592,1439
"Jup","Jup",419,602,502,507,516,476
"Nom1","Nom1",951,1139,1139,1347,1092,1064
"Ergic1","Ergic1",6554,7644,7113,7411,7315,6899
"Acap1","Acap1",1921,2492,2187,1717,1616,1635
"Tcea3","Tcea3",23,21,15,2,2,7
"Ifrd1","Ifrd1",2357,2448,2858,3094,3787,3990
"Stk38l","Stk38l",1058,945,1034,1778,1453,1202
"Brpf1","Brpf1",2002,2418,2235,2386,2145,2093
"Akr1b3","Akr1b3",4374,5805,4765,4697,4445,4396
"Hoxc6","Hoxc6",126,164,121,124,151,145
"Gstt3","Gstt3",256,340,307,260,233,277
"Ddt","Ddt",85,91,78,87,108,94
"Marveld3","Marveld3",0,0,0,0,0,0
"Ddx18","Ddx18",1440,1777,1540,1619,1385,1330
"Ubl3","Ubl3",5755,7104,6573,5924,4875,8069
"Gramd3","Gramd3",313,248,326,273,302,210
"Eef1e1","Eef1e1",1062,1363,981,1340,1168,1517
"Akt1","Akt1",4051,5574,4370,4294,3369,6588
"Il16","Il16",852,949,951,629,766,551
"Tcirg1","Tcirg1",16466,20336,18243,19454,21417,20367
"Naglu","Naglu",8435,10099,9070,11229,12161,11293
"Coasy","Coasy",3207,3738,3638,3141,3617,3082
"Smo","Smo",797,965,720,986,872,1014
"Crnkl1","Crnkl1",776,1189,931,1005,896,992
"Rin2","Rin2",1610,2220,1751,2408,1934,1758
"Chordc1","Chordc1",789,1065,990,1127,1029,1181
"Rtcb","Rtcb",3780,4520,3818,4296,3922,3589
"Pwp1","Pwp1",3654,4001,3851,4313,3786,3861
"Fbxo7","Fbxo7",710,837,965,899,739,718
"Capns1","Capns1",3441,3863,3426,3807,3715,3483
"Folr1","Folr1",206,237,192,358,275,279
"Clpb","Clpb",3146,4145,3289,3469,3416,3117
"X45176","45176",1679,2151,1878,2593,2416,2737
"Zdhhc4","Zdhhc4",1166,1347,1345,1257,1219,1087
"Rac1","Rac1",7945,10274,8778,9956,7933,10650
"Nup214","Nup214",3944,5102,4485,4525,4427,3893
"Ltbp1","Ltbp1",0,0,0,0,1,1
"Ugp2","Ugp2",7512,8681,8783,10489,9023,10277
"Trmt1","Trmt1",2263,2939,2653,1996,2230,2405
"Nacc1","Nacc1",1260,1586,1448,1786,1591,1350
"Nfix","Nfix",118,134,125,158,102,104
"Slc1a5","Slc1a5",4510,5295,5266,5531,5493,4854
"Uba1","Uba1",11415,14070,12811,13168,13055,12071
"Vwf","Vwf",3598,3961,4248,1676,1739,1559
"Siae","Siae",2094,2006,2034,2541,2092,2361
"Spa17","Spa17",64,50,45,48,62,63
"Fam50a","Fam50a",2997,3309,3148,3788,3283,3244
"Emd","Emd",1133,1137,1114,1244,1071,1296
"Taco1","Taco1",257,302,255,322,234,296
"Npas1","Npas1",22,28,16,16,10,2
"Sipa1l2","Sipa1l2",2054,2419,2389,2842,2447,2819
"Ap4e1","Ap4e1",910,1273,1151,1369,1153,1151
"Blvra","Blvra",4399,5369,4613,5206,4159,4270
"Srpk3","Srpk3",272,456,333,204,307,214
"Idh3g","Idh3g",7595,10056,8109,8633,7894,7635
"Ssr4","Ssr4",3340,3587,3245,4627,4477,4930
"Bcap31","Bcap31",5720,6810,5771,7640,6519,7025
"Fam98a","Fam98a",699,984,1012,1178,1041,935
"Ltbp2","Ltbp2",9,0,6,2,10,3
"Kmt2a","Kmt2a",1016,844,1111,1076,1072,1091
"Ift46","Ift46",404,545,467,587,453,415
"Trappc6a","Trappc6a",1462,1884,1768,1535,1648,1631
"Supt6","Supt6",4200,4597,4224,5025,4272,4115
"Spag5","Spag5",517,679,510,811,627,556
"Unc119","Unc119",1766,1862,1639,1463,1571,1576
"Rab34","Rab34",0,0,1,0,0,0
"Sdf2","Sdf2",941,1177,1101,1048,1058,1065
"Ccne1","Ccne1",528,775,566,945,806,910
"Bbc3","Bbc3",1023,1090,1036,712,723,540
"Mybpc3","Mybpc3",10,15,9,1,3,10
"Psmc3","Psmc3",6759,8239,7163,8112,7064,7364
"Acp2","Acp2",3543,3341,3545,4384,4280,3949
"Rapsn","Rapsn",14,10,6,0,0,0
"Slc39a13","Slc39a13",920,1009,991,1165,1249,1109
"Celf2","Celf2",630,971,901,763,719,643
"Nr1h3","Nr1h3",333,489,459,439,439,451
"Ddb2","Ddb2",181,221,238,204,214,224
"Spi1","Spi1",10371,12535,11665,12411,12127,11305
"Sf3a1","Sf3a1",1686,2221,2065,2374,2144,1744
"Stat6","Stat6",9216,11026,10451,9580,8937,8995
"Napsa","Napsa",4971,5373,4906,5697,5564,5382
"Vrk3","Vrk3",1475,1734,1696,2105,1885,2104
"Smg9","Smg9",364,400,433,288,312,347
"Paxip1","Paxip1",777,1077,837,901,929,750
"Rmnd5a","Rmnd5a",904,946,1055,1027,757,1306
"Mov10","Mov10",6281,7604,6758,8076,7277,6712
"Ppm1j","Ppm1j",1382,1568,1633,2347,2644,2566
"Rhoc","Rhoc",5446,5695,5708,8019,8353,8347
"Ppard","Ppard",83,93,82,97,146,139
"Def6","Def6",968,1529,1380,1144,1162,1223
"Metrn","Metrn",30,18,19,21,29,45
"Lmf1","Lmf1",965,1178,1007,1149,1033,1065
"Narfl","Narfl",1643,2110,1780,1847,1922,1895
"Dbf4","Dbf4",403,489,441,526,396,424
"Daxx","Daxx",1434,2029,1742,1954,1956,1972
"Cd320","Cd320",643,798,671,676,487,589
"Ipo4","Ipo4",1148,1524,1417,1222,1359,1135
"Tm9sf1","Tm9sf1",1434,1769,1631,1830,1808,1648
"Irf9","Irf9",884,1097,973,1376,1040,1197
"Gmpr2","Gmpr2",186,236,170,312,216,218
"Mdp1","Mdp1",253,272,274,313,249,317
"Dhrs1","Dhrs1",1599,1716,1700,1912,2263,2018
"Tmem161a","Tmem161a",1166,1438,1473,1478,1695,1575
"Armc6","Armc6",301,315,337,224,272,248
"Borcs8","Borcs8",525,663,563,648,639,719
"Slc25a42","Slc25a42",129,128,91,203,195,117
"Snx9","Snx9",2160,2450,2236,2558,2382,2332
"Ranbp3","Ranbp3",3067,4169,3684,3824,3630,3483
"Ndufa11","Ndufa11",1466,1517,1344,1751,1483,1670
"Nr2f6","Nr2f6",476,548,608,368,413,390
"Use1","Use1",2049,2712,2297,2355,2592,2449
"Ocel1","Ocel1",438,459,372,403,327,373
"Dyrk1b","Dyrk1b",195,251,188,189,180,173
"Braf","Braf",540,702,722,907,780,951
"Ndufb2","Ndufb2",71,91,82,89,78,100
"Hltf","Hltf",212,458,334,344,391,430
"Prpf6","Prpf6",5569,6220,6122,7220,6314,6165
"Rgs19","Rgs19",2224,2815,2510,2582,2380,2432
"Rgs20","Rgs20",96,108,94,120,76,94
"Snrpd1","Snrpd1",583,813,577,890,740,881
"Tchp","Tchp",114,85,138,139,53,79
"Tiam1","Tiam1",0,3,1,0,1,0
"Tsc2","Tsc2",5351,6237,5495,4741,4898,4493
"Rpl3l","Rpl3l",11,14,19,10,5,9
"Puf60","Puf60",4714,6165,5488,5267,4908,4854
"Golga2","Golga2",2182,2264,2504,2803,2654,2391
"Uck1","Uck1",909,1160,931,1076,958,1042
"Mien1","Mien1",418,421,322,424,412,443
"Axl","Axl",13,0,0,1,0,2
"Tgfb1","Tgfb1",3919,4877,4100,4743,4749,4469
"Ccdc97","Ccdc97",1357,1452,1518,1782,1780,1499
"Zfp40","Zfp40",12,12,31,38,18,39
"Akap8l","Akap8l",1033,1161,1107,1243,1127,1200
"Pdcd2l","Pdcd2l",1064,1221,1114,1003,1146,1006
"Gtf2f1","Gtf2f1",2289,2629,2810,3670,3347,3207
"Clpp","Clpp",2377,2792,2416,2840,2918,2893
"Alkbh7","Alkbh7",611,748,685,824,913,863
"Dennd1c","Dennd1c",623,751,619,397,510,507
"Med6","Med6",371,365,386,521,432,520
"Lcp2","Lcp2",2987,3604,3542,3080,2649,2444
"Cse1l","Cse1l",3057,3692,3195,3922,3272,3149
"Naa20","Naa20",2902,3441,2999,3899,4019,4020
"Prkra","Prkra",762,907,677,1042,850,890
"Fkbp7","Fkbp7",38,49,60,78,115,43
"Plekha3","Plekha3",508,568,427,678,413,853
"Ykt6","Ykt6",2202,2411,2455,2759,2276,2426
"Baz1b","Baz1b",1835,2080,1926,2000,1504,1373
"Pex6","Pex6",1904,2507,2385,2489,2216,2583
"Mrpl2","Mrpl2",2428,2814,2496,2578,2679,2672
"Mea1","Mea1",1893,2238,1890,2144,2006,2157
"Kdelr1","Kdelr1",1240,1358,1482,1357,1345,1445
"Tmem143","Tmem143",253,276,279,258,235,215
"Pdxk.ps","Pdxk-ps",9,0,7,10,8,7
"Ggct","Ggct",81,83,102,169,121,208
"Jag2","Jag2",764,950,814,812,784,795
"Btbd6","Btbd6",623,478,580,595,524,646
"Nudt14","Nudt14",1887,2380,1953,2289,2129,2640
"Flii","Flii",5858,6849,6753,6662,6604,5897
"Top3a","Top3a",789,1042,1049,1134,1019,1048
"Atg4d","Atg4d",813,935,818,722,903,927
"Qtrt1","Qtrt1",720,807,741,697,684,784
"Hdgfl2","Hdgfl2",1800,2077,1938,2249,2108,2059
"Chaf1a","Chaf1a",912,1278,1141,1080,1059,977
"Adprh","Adprh",2635,3249,2872,2946,3017,2835
"Tmem39a","Tmem39a",540,601,566,496,474,438
"Timmdc1","Timmdc1",157,163,131,221,168,219
"Pla1a","Pla1a",829,1125,1017,794,627,845
"Mcm2","Mcm2",2933,4261,3537,3898,3386,2865
"Tpra1","Tpra1",3683,4238,4042,4796,4848,4898
"Nab1","Nab1",729,958,678,695,464,1293
"Adgre5","Adgre5",10,13,29,2,3,4
"Il17ra","Il17ra",969,1260,1046,1013,986,808
"Lamb1","Lamb1",10,5,25,12,9,18
"Kcnn1","Kcnn1",59,105,96,61,50,35
"Arrdc2","Arrdc2",265,371,383,383,335,372
"Cd36","Cd36",519,541,473,811,579,744
"Map2k7","Map2k7",754,1004,992,845,907,967
"Timm44","Timm44",1582,1875,1759,1886,1789,1810
"Ap2a2","Ap2a2",4502,5293,4904,5717,5036,4666
"Pnkp","Pnkp",2206,2403,2496,2281,2670,2439
"Med25","Med25",1492,1909,1753,1953,2061,1920
"Bcam","Bcam",10,2,4,4,3,6
"Clptm1","Clptm1",6435,7733,7218,7417,7183,6708
"Relb","Relb",697,747,915,1070,1405,1277
"Tomm40","Tomm40",2549,3480,2840,3065,2895,2920
"Apoe","Apoe",413466,514752,452857,491560,522291,486663
"Hbp1","Hbp1",3325,3882,3772,4548,4266,4221
"Prkar2b","Prkar2b",1081,1780,1428,1507,1766,1974
"Cdkn1b","Cdkn1b",56,77,43,27,45,32
"Klf4","Klf4",251,289,310,222,251,229
"Ap1m1","Ap1m1",3562,4671,4077,4091,3978,3836
"Rab8a","Rab8a",5214,6130,5702,6781,6183,6153
"Hmgn2","Hmgn2",1461,1928,1693,2727,2276,2423
"Fam32a","Fam32a",3659,4197,3737,4808,4570,4546
"Stard3nl","Stard3nl",466,547,503,659,582,628
"Stk11","Stk11",969,1042,939,1010,1104,1054
"Efna2","Efna2",37,78,30,33,48,64
"Atp5d","Atp5d",6933,8492,7566,9692,9319,9520
"Ppp5c","Ppp5c",1410,1727,1515,1656,1367,1539
"Cdk12","Cdk12",232,358,286,310,252,286
"Lipe","Lipe",226,327,268,226,329,183
"Pafah1b2","Pafah1b2",2298,2546,2601,3790,3160,3225
"Tbc1d8","Tbc1d8",19,43,21,79,46,34
"Cnot11","Cnot11",1583,1854,1674,1703,1632,1674
"Slc2a3","Slc2a3",24,19,24,4,2,2
"Foxj2","Foxj2",1099,1430,1492,1258,1516,1288
"Sri","Sri",1716,2087,1836,2249,2316,2499
"Dgcr2","Dgcr2",1092,1330,1157,1051,1012,1140
"Irf3","Irf3",616,812,613,649,657,647
"Bcl2l12","Bcl2l12",22,38,37,43,35,33
"Zfp959","Zfp959",52,83,111,65,52,59
"Mpnd","Mpnd",5032,6391,5483,6455,6775,7173
"Sh3gl1","Sh3gl1",2382,2844,2662,3372,2973,3012
"Ebi3","Ebi3",31,29,44,50,40,70
"Yju2","Yju2",231,330,266,292,263,250
"Ranbp2","Ranbp2",2349,3102,3072,3385,3557,3383
"Grk5","Grk5",50,86,40,35,48,15
"Dvl3","Dvl3",1009,1205,1151,1066,1063,986
"Abcf3","Abcf3",2497,3249,2780,3467,3023,2996
"Eif2b5","Eif2b5",2857,3485,3368,3263,3142,2856
"Cyth2","Cyth2",1535,1780,1668,1501,1669,1529
"Sult2b1","Sult2b1",32,63,64,61,45,39
"Dlgap1","Dlgap1",20,7,2,6,17,9
"Hck","Hck",27,66,30,27,38,47
"Mrpl4","Mrpl4",3066,3864,3497,3662,3123,3482
"Keap1","Keap1",1002,1413,1369,1285,1423,1011
"Glg1","Glg1",5053,5558,5891,7103,6530,6321
"Atp8b3","Atp8b3",187,202,220,163,317,247
"Btbd2","Btbd2",802,1118,916,1057,712,1206
"Csnk1g2","Csnk1g2",2102,2380,2282,2088,1234,2668
"Abhd17a","Abhd17a",3327,4195,3527,4108,4338,4326
"Mob3a","Mob3a",249,232,267,238,178,194
"Cacnb3","Cacnb3",45,110,79,99,125,69
"Ccdc65","Ccdc65",28,10,47,8,41,52
"Fkbp11","Fkbp11",1559,1984,1522,1822,1816,1882
"Ddx23","Ddx23",197,234,199,201,222,154
"Pld3","Pld3",13191,14413,14791,18593,18656,18561
"Grik5","Grik5",17,14,11,2,0,22
"Rabac1","Rabac1",3053,3675,3186,2873,3234,3310
"Etv3","Etv3",1853,2217,2090,3848,3233,3042
"Prkcsh","Prkcsh",3311,3887,3672,3828,3916,3646
"Elavl3","Elavl3",1,0,0,0,0,0
"Rab3b","Rab3b",0,0,0,0,0,0
"St8sia6","St8sia6",0,0,0,0,6,0
"Fcgrt","Fcgrt",1784,2004,1928,1594,1547,1471
"Nosip","Nosip",845,1146,939,1263,1177,1227
"Pih1d1","Pih1d1",429,461,405,350,392,415
"Rps11","Rps11",4803,5494,4425,5406,4727,4998
"Supt5","Supt5",5343,6519,6036,5829,6067,5360
"Paf1","Paf1",1361,1671,1406,2178,1841,1739
"Timm50","Timm50",2570,3129,2897,2901,2886,2970
"Med29","Med29",292,328,297,428,424,358
"Bicd1","Bicd1",0,0,0,0,0,0
"Ncstn","Ncstn",8066,9129,9295,8792,9228,8084
"Pex19","Pex19",2888,3581,3215,4456,3843,4215
"Crhr2","Crhr2",21,44,44,54,44,51
"Cyp4f18","Cyp4f18",343,505,463,82,80,52
"Impdh1","Impdh1",1408,1929,1628,2046,1842,1827
"Dusp3","Dusp3",1811,2076,2206,2622,2102,2323
"Ess2","Ess2",1012,1218,950,1137,1009,1110
"Slc25a1","Slc25a1",3779,4819,4085,5058,5281,5164
"Dgcr6","Dgcr6",796,1016,891,973,993,1011
"Ddr1","Ddr1",14,18,34,20,5,11
"Ier3","Ier3",1524,2540,2105,1841,1636,1748
"Klc4","Klc4",3877,4863,4539,4119,3777,3663
"Ercc1","Ercc1",346,402,388,359,451,362
"As3mt","As3mt",0,0,0,0,0,0
"Homer3","Homer3",488,636,555,459,588,573
"Crtc1","Crtc1",547,809,786,741,896,716
"Rnf215","Rnf215",146,244,146,169,231,257
"Sec14l2","Sec14l2",896,1108,970,646,726,611
"Aven","Aven",643,619,597,492,408,511
"Cp","Cp",6,1,0,0,5,4
"Crot","Crot",693,903,890,1117,787,892
"Rps6ka1","Rps6ka1",6158,7902,7038,7922,7023,6930
"Snrnp200","Snrnp200",12694,14545,14173,14463,12625,12093
"Ciao1","Ciao1",2527,3497,3025,3535,3514,3560
"Taf6l","Taf6l",1125,1284,1052,1100,1097,895
"Insig2","Insig2",3623,4088,4345,4176,4954,4986
"Kpna6","Kpna6",2173,2225,2320,2701,2817,2247
"Man1a","Man1a",1948,2361,2399,2981,3045,3251
"Itpkc","Itpkc",306,333,465,542,507,468
"Coq8b","Coq8b",691,872,675,957,875,767
"Brd8","Brd8",1457,1606,1521,1312,1351,1271
"Kif20a","Kif20a",807,1350,1031,1696,1204,1103
"Farsa","Farsa",3228,4640,3730,3919,4115,3736
"Gcdh","Gcdh",1019,1063,1063,1215,1097,1125
"Mast2","Mast2",1151,1365,1186,1121,591,1568
"Dnase2a","Dnase2a",3651,4657,4670,3621,5344,5276
"Rad23a","Rad23a",3225,3576,3491,3794,3745,3551
"Calr","Calr",32277,38829,35622,42648,34765,35001
"Syce2","Syce2",439,496,366,455,355,344
"Nfat5","Nfat5",224,269,273,311,186,228
"Nob1","Nob1",1494,1870,1791,1550,1435,1393
"Nqo1","Nqo1",144,146,102,36,37,88
"Ppfia3","Ppfia3",40,47,35,17,28,38
"Gys1","Gys1",3421,4304,4125,3984,3420,3419
"Ruvbl2","Ruvbl2",2180,2853,2144,2730,2169,2398
"Bax","Bax",3909,4897,4446,3943,3901,3857
"Il7r","Il7r",15,9,6,6,5,0
"Tfam","Tfam",497,567,525,618,580,642
"Zfp81","Zfp81",102,134,106,114,120,102
"Mmd","Mmd",211,253,269,236,245,282
"Fam162a","Fam162a",468,695,576,625,559,698
"Rpl8","Rpl8",11746,14835,12572,12579,12130,12656
"Fancl","Fancl",168,191,142,139,153,123
"Gstm5","Gstm5",803,826,779,1003,828,874
"Gstm3","Gstm3",22,32,30,15,29,20
"Stat3","Stat3",5874,6695,6859,12282,12136,11600
