Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Cct3,16166,3166,6788,1141,7621,3018
Glmp,15530,1438,2156,118,2809,426
Mef2d,2528,421,230,366,859,606
Tmem79,0,1,0,29,15,21
Snd1,4451,1110,2655,405,900,685
Col18a1,0,23,0,0,140,0
Slc19a1,690,114,0,0,81,33
Kpnb1,637,2022,1800,983,1926,2134
Npepps,2283,197,744,249,295,373
Mrpl10,2258,339,538,133,417,228
Cyp51,694,372,694,65,782,484
Tcf25,5364,5052,4149,5185,8430,6964
Tubb6,3302,172,604,230,875,235
Def8,2233,402,734,1825,1920,1898
Itga3,0,0,1,0,0,0
Foxm1,917,33,0,423,111,36
Itfg2,206,0,6,0,0,0
Nrip2,4,47,47,62,22,46
Tulp3,21,71,8,6,10,59
Gtf2h4,311,341,169,0,561,103
Tubb5,5943,1269,2488,1372,2618,2283
Ell2,1382,215,58,0,275,113
Jup,508,1,121,0,179,0
Nom1,312,426,2,0,218,257
Ergic1,2531,254,654,261,850,632
Acap1,847,0,79,104,164,23
Tcea3,0,0,0,0,0,14
Ifrd1,2245,293,532,126,801,203
Stk38l,1,107,137,0,471,298
Brpf1,544,282,243,0,6,213
Akr1b3,5105,843,1161,134,1281,805
Hoxc6,0,16,3,0,47,0
Gstt3,1,87,0,75,114,76
Ddt,35,11,11,0,6,12
Marveld3,0,0,0,0,0,0
Ddx18,868,219,712,12,134,162
Ubl3,1118,499,612,60,703,913
Gramd3,251,0,0,211,99,82
Eef1e1,656,136,63,172,277,83
Akt1,584,553,370,362,671,1302
Il16,96,61,0,0,128,65
Tcirg1,10082,641,1132,1,1975,423
Naglu,4262,167,483,0,814,112
Coasy,2401,182,41,182,482,148
Smo,1,301,262,133,557,1077
Crnkl1,975,129,229,313,6,62
Rin2,956,22,8,631,362,215
Chordc1,1717,78,380,311,284,166
Rtcb,2842,600,582,441,1043,652
Pwp1,4329,1108,1391,1049,2134,740
Fbxo7,691,144,208,0,267,590
Capns1,806,86,310,235,234,144
Folr1,0,0,194,0,30,0
Clpb,1732,185,24,0,391,135
45176,1222,48,321,0,557,7
Zdhhc4,1380,492,323,42,1419,708
Rac1,1494,446,867,206,1043,932
Nup214,375,131,0,213,676,131
Ltbp1,0,0,0,0,0,0
Ugp2,6526,576,1596,166,2142,108
Trmt1,1420,173,1436,80,783,683
Nacc1,614,71,12,8,117,61
Nfix,7,176,141,120,215,152
Slc1a5,3386,290,219,669,1053,154
Uba1,4080,392,704,105,945,574
Vwf,1184,0,0,14,611,384
Siae,1762,399,266,21,0,155
Spa17,0,9,0,0,0,4
Fam50a,2654,22,554,8,483,126
Emd,1,106,0,0,0,1
Taco1,0,0,0,0,8,10
Npas1,0,0,0,0,0,0
Sipa1l2,216,117,48,519,378,42
Ap4e1,552,105,3,0,1,0
Blvra,3949,1907,2931,1136,3264,1918
Srpk3,250,0,1,0,0,0
Idh3g,5065,490,843,0,1318,477
Ssr4,2639,703,722,727,1083,673
Bcap31,5837,263,1662,0,892,408
Fam98a,962,141,0,0,175,214
Ltbp2,646,0,0,0,0,0
Kmt2a,223,208,4,190,135,114
Ift46,222,63,280,0,0,0
Trappc6a,1386,248,347,0,301,169
Supt6,1620,1,340,0,246,0
Spag5,0,204,0,330,1,7
Unc119,1094,289,174,91,339,272
Rab34,0,0,1,0,0,0
Sdf2,324,134,0,272,548,272
Ccne1,1221,229,177,55,91,65
Bbc3,394,30,132,0,183,0
Mybpc3,0,0,0,0,0,0
Psmc3,4760,1029,1461,303,1552,603
Acp2,2566,467,292,21,404,133
Rapsn,100,0,0,0,0,0
Slc39a13,588,351,370,220,263,40
Celf2,0,45,321,0,261,318
Nr1h3,0,30,1,0,0,209
Ddb2,285,0,0,0,0,0
Spi1,5546,568,1112,633,1228,758
Sf3a1,1435,203,720,489,398,0
Stat6,4824,108,936,0,996,325
Napsa,2219,223,649,0,472,104
Vrk3,683,354,1043,0,549,394
Smg9,260,0,17,0,104,6
Paxip1,282,141,4,114,378,344
Rmnd5a,154,717,186,1055,626,1044
Mov10,5653,379,127,412,312,0
Ppm1j,1476,76,551,94,165,222
Rhoc,5066,538,1033,168,904,398
Ppard,15,4,0,3,1,21
Def6,732,78,1,10,328,268
Metrn,55,136,318,73,151,524
Lmf1,681,530,172,0,225,143
Narfl,1331,17,0,137,411,95
Dbf4,689,1404,725,1392,1478,1635
Daxx,281,12,68,96,307,125
Cd320,181,80,242,168,263,187
Ipo4,743,69,324,131,539,369
Tm9sf1,951,261,469,202,133,20
Irf9,554,162,257,0,96,0
Gmpr2,162,0,163,0,89,8
Mdp1,259,0,0,21,124,135
Dhrs1,1373,62,128,0,309,36
Tmem161a,984,243,1061,1126,536,1050
Armc6,0,122,0,217,22,33
Borcs8,518,0,98,7,190,130
Slc25a42,0,0,150,0,0,0
Snx9,1763,176,166,0,103,79
Ranbp3,1239,183,596,0,120,164
Ndufa11,1020,306,435,104,333,237
Nr2f6,95,35,11,63,28,150
Use1,1656,760,814,437,667,811
Ocel1,0,208,89,142,95,156
Dyrk1b,132,90,154,4,100,74
Braf,324,187,22,4,354,291
Ndufb2,86,48,17,17,26,18
Hltf,542,92,1,0,18,1
Prpf6,3290,0,192,0,1280,691
Rgs19,965,298,273,153,473,119
Rgs20,127,0,0,0,33,23
Snrpd1,828,184,486,135,355,236
Tchp,0,28,64,0,31,62
Tiam1,0,0,0,4,0,1
Tsc2,1332,0,566,95,92,253
Rpl3l,68,0,21,0,4,5
Puf60,2594,333,1,0,636,278
Golga2,128,68,0,0,276,246
Uck1,820,360,435,0,385,448
Mien1,254,57,109,19,73,11
Axl,0,0,0,0,0,0
Tgfb1,1355,313,95,151,249,264
Ccdc97,644,136,165,348,151,59
Zfp40,0,0,0,0,0,0
Akap8l,251,0,100,0,103,49
Pdcd2l,937,162,440,136,348,138
Gtf2f1,3147,197,9,0,318,182
Clpp,1409,189,463,8,406,209
Alkbh7,512,47,127,96,84,65
Dennd1c,367,0,0,39,258,191
Med6,313,213,187,0,155,13
Lcp2,2287,243,676,0,529,330
Cse1l,2556,182,617,467,1409,403
Naa20,2412,335,490,396,681,524
Prkra,878,123,71,201,165,85
Fkbp7,0,0,87,0,29,0
Plekha3,84,94,197,235,205,724
Ykt6,862,334,870,856,1301,1596
Baz1b,752,306,2,186,186,633
Pex6,220,0,0,31,131,172
Mrpl2,2306,452,905,166,699,245
Mea1,1949,489,388,140,397,285
Kdelr1,722,6,67,0,170,143
Tmem143,0,0,9,0,0,4
Pdxk-ps,0,0,0,0,0,0
Ggct,114,26,121,0,15,25
Jag2,4,240,96,340,551,599
