Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Snapc1,33,0,109,0,51,0
Atp6v1d,4148,684,1068,495,1211,285
Vrk1,880,112,189,12,574,523
Eif2s1,3683,444,1087,194,1623,227
Pigh,157,61,0,0,72,0
Rdh12,0,0,0,0,0,0
Vti1b,2462,2465,1707,1940,2550,2623
Zfp36l1,259,0,69,0,47,35
Erh,1816,377,760,214,689,395
Susd6,802,116,1032,13,401,50
Srsf5,2672,205,775,1,601,319
Slc10a1,73,0,0,0,0,0
Smoc1,0,0,23,0,110,0
Pcnx,457,65,83,0,101,89
Pacs2,1145,336,1391,958,1876,2342
Mta1,0,253,0,137,199,320
Wdr37,0,31,0,7,10,259
Gtpbp4,935,355,1144,385,253,758
Zmynd11,636,69,100,109,306,40
Esyt2,2661,418,4,0,213,67
Cdca7l,1520,1076,479,575,2192,648
Efcab11,0,0,32,100,0,1
Tdp1,0,122,195,355,154,161
Psmc1,4816,848,1657,281,2475,720
Nrde2,1815,10,3,0,212,15
Rps6ka5,783,0,0,0,68,0
Ccdc88c,0,1,15,92,32,0
Dglucy,966,271,351,0,27,50
Trip11,1983,0,385,57,77,123
Atxn3,119,710,850,848,1086,1263
Lgmn,24537,4133,5916,644,3949,916
Golga5,1282,229,11,0,693,223
Pitrm1,3062,0,663,0,2,0
Pfkp,3487,1373,651,120,810,417
Unc79,0,0,0,0,0,0
Otub2,517,0,0,0,150,0
Net1,888,532,12,0,337,213
Tshz3,0,0,0,0,0,0
Gdi2,2615,1092,1212,1199,3603,2138
Dcaf4,1851,116,27,168,273,278
Numb,751,342,305,0,289,255
Acot2,0,0,0,0,0,0
Fam161b,310,21,28,22,16,24
Coq6,208,147,174,0,123,0
Entpd5,339,410,878,24,427,217
Aldh6a1,895,154,79,0,60,0
Abcd4,1503,0,0,304,215,180
Isca2,653,269,467,93,188,87
Npc2,10473,3212,7480,1920,5305,3960
Fcf1,573,310,360,156,459,207
Ylpm1,331,0,0,0,50,7
Mlh3,0,320,341,0,64,0
Tmed10,2902,528,1550,324,1455,614
Fos,0,0,0,0,10,15
Erg28,534,118,364,14,114,71
Gpatch2l,172,154,987,244,103,84
Angel1,0,0,0,0,45,0
Ccnk,100,94,31,4,22,30
Cyp46a1,0,0,0,0,0,0
Hhipl1,0,0,0,0,0,0
Evl,0,0,0,0,0,0
Yy1,66,45,386,315,636,520
Slc25a29,0,0,0,0,0,0
Wars,5421,3209,4326,1987,6119,3962
Meg3,16,10,62,57,26,0
Hsp90aa1,7175,1672,2183,728,3535,1202
Zfp839,1166,85,305,10,620,55
Fdft1,2553,488,0,691,669,279
Tecpr2,774,19,1,0,21,172
Cinp,291,205,608,45,277,349
Traf3,999,2389,1322,1283,3820,4000
Cdc42bpb,472,153,63,51,233,96
Exoc3l4,1067,167,187,126,195,69
Tnfaip2,35040,3990,6441,457,4997,1253
Eif5,7172,1991,1611,1604,3328,2028
Ppp1r13b,0,110,235,0,136,0
Zfyve21,480,125,116,0,407,119
Xrcc3,0,115,28,25,19,43
Klc1,1281,221,549,56,259,64
Atp5mpl,2256,927,1316,504,1172,741
Kif26a,0,0,0,0,0,0
Gpr132,319,100,254,159,132,81
Hecw1,0,0,1,0,0,0
Ggps1,492,136,274,10,44,64
Gng4,359,139,0,0,61,0
Gpr137b,4645,792,2078,191,1623,1040
Mtr,713,99,0,162,177,13
Ryr2,0,0,0,0,0,0
Aoah,685,56,0,0,183,0
Trim27,1183,322,681,0,823,746
Zkscan3,708,0,243,55,234,0
Carmil1,0,0,0,0,0,0
Mrs2,0,72,180,85,607,294
Irf4,13,0,0,0,0,55
Exoc2,2470,0,1201,26,368,400
Gcnt2,0,0,0,0,3,1
Tmem14c,1992,756,1012,460,1196,458
Mak,0,0,0,0,0,0
Nedd9,0,0,0,0,0,0
Hivep1,7,0,115,0,176,20
Tbc1d7,88,0,259,0,148,63
Mcur1,127,264,701,339,696,572
Nup153,2026,87,352,130,206,190
Kif13a,1,240,66,0,136,76
Tpmt,139,1,4,0,0,20
Dek,461,50,404,46,327,40
Id4,0,15,0,0,0,0
Susd3,167,0,95,0,137,31
Ippk,1009,126,495,516,1051,543
Cenpp,8,0,318,125,77,16
Nol8,45,217,0,0,84,62
Spin1,572,886,385,494,3093,2571
Wrnip1,507,367,0,0,118,0
Serpinb9b,522,90,105,0,154,0
Ripk1,409,0,0,0,445,7
Prpf4b,874,229,72,229,222,118
Eci2,1291,82,330,20,426,379
Rpp40,683,147,0,0,1,32
Fars2,262,0,156,0,130,60
Ly86,337,0,0,0,0,21
Ssr1,5865,3166,4033,2970,4920,4840
Riok1,744,103,316,0,286,0
Snrnp48,423,5,304,14,205,54
Slc35b3,309,87,366,0,113,209
Sema4d,4626,692,391,0,480,97
Gadd45g,1622,335,211,202,395,68
Syk,2490,0,0,234,390,555
2010111I01Rik,1256,306,253,135,483,206
Auh,756,182,0,31,241,314
Fancc,0,160,0,0,220,66
Ptch1,237,6,5,53,234,91
Sptlc1,838,125,262,0,268,100
Ercc6l2,417,0,0,0,199,85
Sfxn1,3734,4152,4850,4024,5591,5810
Habp4,204,273,101,3,344,848
Ctsl,24099,4686,7811,1639,5201,1570
Drd1,0,0,0,0,0,0
Zfp346,471,483,0,0,909,226
Aaed1,987,81,211,7,526,370
Cdk20,0,114,0,6,143,18
Lman2,8515,3233,3954,1511,5109,3213
Mxd3,0,27,0,0,0,0
Prelid1,6121,3101,3518,3168,4504,4818
Nsd1,35,32,366,92,325,281
Pdlim7,493,138,207,79,292,178
Ddx41,2729,371,156,463,315,181
Fam193b,0,0,1,0,10,49
Pcbd2,297,66,97,0,90,42
Txndc15,1206,142,254,251,314,185
Ddx46,917,211,682,0,112,61
Caml,614,85,0,0,166,40
B4galt7,564,201,362,168,412,250
Cxcl14,0,0,0,0,20,29
Zfp729a,0,97,0,0,0,0
Zfp369,0,2089,1703,1904,2764,2690
Ptdss1,798,796,1004,656,1770,1089
Mterf3,1081,131,0,0,296,52
Uqcrb,3006,565,1081,62,902,253
Fastkd3,459,746,553,313,703,496
Cetn3,882,221,259,4,282,102
Smad5,227,276,617,1,1182,1221
Hnrnpk,17757,1698,4117,122,4864,1130
Ccnh,2024,82,133,179,436,83
Rasa1,228,0,4,0,118,16
2210016F16Rik,511,120,0,197,122,245
Gkap1,352,78,170,69,270,143
Slc28a3,0,0,0,1,0,0
Naa35,1752,123,249,125,110,16
Golm1,595,63,424,2,452,260
Agtpbp1,1026,63,2,174,250,136
Dapk1,0,0,0,0,0,0
Trip13,492,46,0,4,129,56
Cep72,0,30,0,0,104,0
Ahrr,0,0,0,0,0,155
Pdcd6,2146,719,1392,643,889,641
Sdha,11256,1474,2940,965,1435,643
Ccdc127,1205,327,315,14,355,465
Erap1,2650,3,38,0,109,63
Cast,2033,182,342,140,281,17
Rhobtb3,0,0,0,0,0,0
Glrx,557,0,104,121,247,107
Arsk,0,0,10,0,28,0
Srd5a1,0,0,0,0,0,7
Nsun2,3956,4314,5302,3720,7246,5210
Mctp1,389,325,629,0,166,0
Slf1,464,0,11,56,40,0
Ndufs6,1831,492,864,367,629,354
Mrpl36,1007,282,188,99,521,91
Lpcat1,1020,116,273,1698,1106,758
Slc6a3,0,0,0,0,0,0
Clptm1l,1278,971,1336,236,1231,1614
Tert,0,0,0,0,0,0
Vcan,0,0,0,0,0,0
Xrcc4,238,0,0,0,45,0
Atg10,106,163,0,0,167,93
Zcchc9,488,6,115,0,128,0
Cd180,94,0,0,0,48,0
Slc30a5,4785,196,642,26,963,158
Rad17,185,47,33,392,267,160
Marveld2,0,13,0,0,0,0
Ocln,0,0,36,0,0,0
Gtf2h2,626,276,183,0,253,300
Naip1,0,0,0,0,0,4
Serf1,221,58,59,51,91,14
Smn1,568,140,0,186,154,78
Mccc2,1637,0,158,385,379,153
Ptcd2,1339,813,402,403,991,542
Btf3,4188,1726,1621,993,2125,1225
Ankra2,279,17,0,0,12,36
Arhgef28,0,0,0,0,0,0
Hexb,4322,1310,974,121,645,177
Gfm2,2174,263,642,320,575,5
Polk,590,4,44,0,82,0
Col4a3bp,1318,84,8,378,205,44
Hmgcr,3983,435,340,97,1863,582
Poc5,436,0,0,0,207,17
Iqgap2,0,0,2,0,0,0
Aggf1,1423,1557,1965,594,2041,2286
Pde8b,322,88,0,0,80,26
Ap3b1,5191,2491,1898,92,2418,2060
Scamp1,3206,418,1192,255,884,1228
Jmy,0,171,56,194,54,440
Dimt1,60,0,0,0,80,0
Kif2a,50,0,0,32,1,1
Ercc8,0,0,122,0,153,483
Elovl7,0,184,0,0,173,221
Depdc1b,0,0,0,0,251,0
Pde4d,0,0,2,0,74,68
Rab3c,0,0,0,0,0,0
Plk2,7264,435,31,0,1299,87
Serinc5,372,0,0,0,0,0
Mtx3,0,50,18,248,114,1
Zfyve16,1217,297,0,23,159,28
Dhfr,572,212,163,87,80,57
Rasgrf2,0,0,0,0,0,4
Erbin,1777,317,237,622,423,305
Nln,731,402,211,277,410,69
Trappc13,2180,493,385,0,131,154
Trim23,423,0,0,0,103,2
Ppwd1,0,0,0,200,0,1
Cenpk,0,0,0,0,122,31
Cwc27,614,0,181,0,80,49
Srek1ip1,187,110,53,44,327,128
Parp8,105,0,0,0,254,101
Emb,2924,513,1459,1,483,101
Hcn1,0,0,0,0,0,0
Mrps30,161,378,343,196,591,526
Slc4a7,0,435,42,0,205,57
Psmd6,1573,786,557,236,964,632
Atxn7,23,27,107,3,247,187
Ptprg,0,0,572,0,1,0
Pdhb,3853,765,1625,262,793,488
Kctd6,2,28,0,0,0,0
Map3k1,543,154,325,4,183,153
Il6st,566,824,8,0,379,7
Plpp1,0,0,120,12,124,1
BC067074,0,0,0,0,1,0
Ndufs4,1810,247,636,133,376,141
Kat6b,0,0,0,0,98,0
Dusp13,0,0,0,0,16,0
Samd8,579,197,787,279,637,353
Vdac2,4971,1756,1340,581,2252,953
Nkiras1,0,0,0,0,22,27
Comtd1,321,11,48,24,27,44
Ube2e1,288,8,40,26,97,73
Nr1d2,301,0,123,0,14,7
Ngly1,233,36,252,342,298,0
Oxsm,0,0,0,0,4,44
Fam213a,953,230,0,216,342,239
Glud1,2302,999,939,124,1506,1349
Bmpr1a,323,72,0,25,360,492
Rtraf,1386,887,2304,1010,1784,1098
Nudt13,185,0,0,144,0,0
Ecd,433,0,383,0,402,190
Dnajc9,996,285,207,0,145,93
Anxa7,3559,233,545,332,361,1
Ppp3cb,107,235,37,66,177,86
Zswim8,557,120,1,0,143,83
Camk2g,52,31,5,0,100,0
Plau,443,0,0,1,197,236
Vcl,1314,0,0,0,87,122
Ap3m1,478,127,368,0,521,0
Txndc16,39,163,263,253,394,122
Ero1l,3878,336,1194,461,910,401
Psmc6,2322,360,230,10,779,447
Samd4,62,182,47,401,17,146
Mapk1ip1l,1129,368,265,231,1574,1185
Ktn1,1076,87,10,148,89,76
Anxa11,169,0,123,0,42,11
Ppif,459,174,204,130,187,345
Slmap,1601,242,508,164,502,151
Rnase4,1349,65,30,436,255,128
Arf4,2206,447,1111,409,1112,685
Gpr65,7,0,0,0,24,0
Eaf1,3286,842,867,589,1938,994
Mettl6,1283,266,249,102,282,324
Sh3bp5,402,110,0,154,382,264
Capn7,1541,87,779,0,270,250
Arhgef3,0,0,0,0,261,0
Btd,483,97,0,0,43,6
Bap1,1372,508,0,413,960,651
Phf7,0,14,0,233,0,52
Dph3,313,416,188,244,174,375
Oxnad1,278,0,0,0,14,0
Gm6768,26,2,5,0,8,0
Nisch,5322,98,579,0,1450,208
Parg,2526,192,0,0,233,9
Ogdhl,728,151,583,0,240,41
Glt8d1,670,110,1,0,71,0
Spcs1,1903,532,911,225,345,450
Nek4,1,2,221,62,323,19
Ebpl,521,127,384,232,488,322
Kpna3,1,308,270,0,606,53
Spryd7,906,209,414,404,465,442
Rnaseh2b,343,58,190,0,343,148
Mapk8,0,0,0,0,0,26
Pspc1,781,51,1,0,127,6
Ctsb,167810,22905,40844,5124,31170,5445
Zmym2,0,1,0,218,195,36
Cryl1,630,60,152,0,157,63
Prkcd,4086,439,271,0,828,67
Eef1akmt1,222,162,429,69,232,75
Xpo4,7,406,216,465,1058,811
Tkt,6669,954,1136,636,1790,596
Pinx1,0,74,2,128,12,0
Lats2,0,0,71,0,0,0
Dcp1a,765,48,277,898,248,108
Sap18,1455,460,444,513,881,291
Ska3,333,32,0,0,47,19
Mrpl57,1363,237,274,258,522,185
Zdhhc20,2547,323,0,0,224,98
Hmbox1,23,61,13,130,162,139
Micu2,1442,153,19,100,740,110
Ints9,288,0,221,0,178,0
Extl3,26,61,28,71,508,339
Cab39l,1547,92,489,0,192,277
Cdadc1,101,35,218,220,200,53
Atp8a2,0,0,0,0,0,0
Mtmr6,1478,195,1009,0,228,653
Spata13,0,0,0,405,124,97
Cacna2d3,0,0,0,7,0,0
Mipep,332,248,307,13,188,0
Esd,12276,1450,2906,685,3171,571
Lcp1,27525,106212,92428,76094,134369,145302
Zc3h13,542,236,93,14,210,365
Slc25a30,168,105,0,1,133,119
Gpalpp1,308,224,0,102,100,48
Nufip1,715,0,173,0,204,48
Tsc22d1,0,68,1,23,136,9
Dnajc15,1038,107,301,305,264,222
Epsti1,253,0,18,0,169,6
Akap11,163,45,375,690,528,164
Rgcc,535,50,132,0,30,0
Tdrd3,0,0,72,23,8,0
Naa16,371,136,253,0,71,120
Diaph3,0,0,0,99,19,13
Mtrf1,732,137,0,0,52,0
Wbp4,266,31,1,0,114,86
Sugt1,1486,83,437,127,478,312
Olfm4,0,0,0,0,0,0
Elp3,695,975,587,1360,1349,1101
Pbk,36,85,94,0,258,54
Esco2,0,6,17,14,104,37
Ccdc25,44,161,34,0,256,393
Clu,8249,1534,2413,142,1271,354
Trim35,6518,970,3195,1044,2216,1173
Dpysl2,199,142,125,50,328,176
Bnip3l,6390,653,408,1173,1875,1203
Ppp2r2a,2082,260,0,0,484,57
Pibf1,599,0,0,0,73,64
Bora,0,85,380,0,52,1
Tnfrsf10b,0,0,8,0,7,6
Rhobtb2,353,0,0,381,14,23
Bin3,2496,211,117,0,365,316
Pdlim2,192,54,16,0,172,129
Ppp3cc,0,0,0,0,67,56
Slc39a14,0,13,846,158,0,118
Fam160b2,321,0,0,0,0,204
Bmp1,0,0,0,0,0,0
Dmtn,0,0,0,0,0,0
Xpo7,2133,44,320,0,474,259
Dok2,259,0,0,149,0,70
Rb1,0,0,0,0,0,0
Rcbtb2,1491,325,83,0,655,614
Itm2b,21386,3079,6524,878,5020,1091
Med4,250,91,143,0,234,75
Sucla2,2412,279,806,422,967,350
Uchl3,1256,134,731,100,608,157
Spry2,0,0,25,0,0,14
Rbm26,369,61,0,0,17,2
Rnf219,107,48,0,0,181,32
Scel,688,41,0,0,364,0
Fbxl3,777,148,882,410,726,147
Cln5,3839,812,559,591,1184,500
Acod1,16666,187,2505,0,6011,106
Dct,28,92,87,98,64,84
Tgds,429,0,70,0,54,36
Gpr180,0,1,128,159,556,416
Dnajc3,3153,443,584,374,635,584
Mbnl2,855,0,355,0,382,216
Nipbl,0,1,178,50,42,49
Nup155,126,629,727,0,234,7
Gdnf,0,0,0,0,0,0
Osmr,0,0,0,0,0,0
Fyb,1130,290,388,213,914,66
C9,0,0,13,0,0,0
Dab2,5665,1862,1995,0,767,725
Ttc33,507,494,285,0,185,274
Rab2b,0,36,0,0,31,0
Mettl3,263,175,190,156,190,149
Dad1,2148,632,651,300,798,351
Lrp10,1344,297,253,0,341,93
Haus4,695,386,720,247,830,500
Ajuba,158,22,96,572,568,616
4931414P19Rik,0,0,172,0,0,0
Slc7a8,3436,251,0,0,173,101
C6,0,0,0,0,0,0
Fbxo4,0,88,127,0,206,207
Acin1,103,6,119,81,163,59
Oxct1,8628,3328,3908,1892,7442,5239
Gm5546,0,0,0,0,0,0
Drosha,1146,631,584,0,636,279
Psmb5,4217,882,1467,566,1485,678
Pabpn1,4,5,3,2,19,5
6030458C11Rik,1688,2056,2847,1869,3931,2427
Pdzd2,969,4447,4315,3864,3215,4548
Slc22a17,0,18,85,4,0,12
Golph3,1881,60,711,352,1389,1158
Zfr,2183,1006,392,0,327,351
Ngdn,623,729,124,431,698,402
Sub1,2928,804,1440,377,1294,466
Dhrs4,273,0,70,0,48,7
Dcaf11,662,80,97,27,780,304
Psme1,1986,262,801,0,860,172
Emc9,161,110,0,0,49,0
Tgm1,0,0,0,0,0,0
Ripk3,0,0,191,265,218,132
Zscan26,0,0,0,0,6,1
Cct5,10157,3583,3201,2904,4776,3066
Cmbl,0,0,0,0,0,0
Ropn1l,136,0,0,36,45,45
Ankrd33b,0,43,0,0,46,0
Ctnnd2,40,0,0,0,0,0
Tars,3617,839,1140,348,1113,399
Amacr,399,76,137,0,137,186
Rai14,1350,0,439,146,212,74
Brix1,2542,523,812,274,1174,107
Rad1,721,69,1,0,203,63
Nadk2,385,251,202,138,439,430
Mtdh,2280,1511,2011,1136,2161,1744
Laptm4b,1623,979,833,866,1695,600
Dnah5,0,0,0,0,0,0
Trio,0,69,2,79,4,77
Ank,373,2371,1517,1385,4395,6256
44996,111,43,48,52,9,0
Retreg1,1559,524,949,1018,1777,2260
Myo10,758,422,142,463,1179,736
Rnf19a,572,211,0,0,92,2
Pabpc1,8569,11902,7540,10068,13381,16383
Ywhaz,12266,1615,2113,275,2863,645
Grhl2,0,0,0,0,0,0
Rrm2b,0,226,0,0,149,9
Atp6v1c1,20886,18140,19967,12775,26784,20741
Fzd6,545,1,0,0,4,59
Slc25a32,1590,24,24,164,194,152
Dcaf13,2240,711,1073,343,1598,926
Dcstamp,1075,244,879,0,88,388
Dpys,345,284,284,33,95,23
Lrp12,4904,744,774,0,831,106
Zfpm2,0,0,0,2,0,0
Oxr1,1732,738,900,66,1408,810
Csmd3,0,1,0,0,0,0
Eif3h,3120,849,1746,918,1492,861
Utp23,77,0,0,0,105,3
Rad21,294,24,76,82,76,89
Shcbp1,299,1,283,0,68,1
Rida,478,153,161,0,172,3
Matn2,0,24,14,14,31,7
Pop1,548,557,504,438,592,703
Stk3,2211,0,113,39,405,33
Zfat,0,0,0,0,0,0
Eif3e,4433,764,1377,649,2093,1451
Emc2,1274,164,155,107,287,147
Eny2,165,167,179,79,177,93
Ebag9,408,0,0,0,90,27
Sybu,0,0,0,0,0,0
Myc,0,0,0,0,0,0
Washc5,2933,20,305,1,407,367
Sqle,3216,791,522,7,1256,506
Mtss1,1248,39,910,221,151,71
Ndufb9,1523,322,348,149,536,264
Klhl38,0,0,0,0,0,0
Fbxo32,618,7,0,15,558,142
Wdyhv1,112,64,304,266,128,166
Atad2,1219,34,20,32,316,27
Zhx1,0,61,8,0,133,0
Tbc1d31,866,13,0,0,99,1
Derl1,4866,1528,1128,452,2120,891
Mtbp,0,148,1,0,99,0
Mrpl13,758,222,196,7,391,381
Sla,441,74,0,469,80,174
Adcy8,0,0,0,0,1,0
Asap1,1833,30,638,38,580,274
Fam49b,473,19,46,3,231,61
Gtse1,259,114,0,84,74,0
Trmu,0,0,0,0,170,117
Brd1,0,43,0,92,182,156
Tef,788,1027,1624,1430,2703,3178
Zc3h7b,6,0,0,0,0,5
Rangap1,1603,477,804,575,1528,390
L3mbtl2,1147,164,727,0,489,294
Rbx1,3375,912,881,245,1176,466
Xpnpep3,11,162,0,0,142,308
St13,2767,452,1377,287,1379,524
Slc25a17,221,288,389,90,489,116
Adsl,1373,257,524,236,1026,568
Mief1,1144,523,86,674,831,602
Tab1,578,37,14,17,96,108
Syngr1,6937,2417,2756,1989,3352,2639
Deptor,0,210,223,227,525,454
Dnal4,930,220,124,187,515,139
Nptxr,196,118,0,0,9,74
Dscc1,0,0,0,6,0,1
Enpp2,0,8,0,0,127,0
Josd1,729,345,674,124,823,191
Tomm22,2577,274,677,296,1235,733
Cby1,0,6,0,0,1,0
Csnk1e,1028,218,62,4,74,158
Fam118a,1112,93,0,0,75,221
Sh3bp1,35,0,0,0,1,0
Samm50,2660,920,1135,278,1213,376
Parvb,58,1,9,0,130,61
Parvg,2906,670,2171,80,1001,1084
C1qtnf6,0,0,0,0,0,0
Efcab6,0,0,0,0,0,0
Ttll1,1255,0,0,46,85,0
Myh9,3189,340,798,4,475,369
Ndufa6,1946,554,717,196,585,371
Twf1,178,235,445,251,344,481
Smdt1,1220,469,764,121,617,596
Naga,4958,410,661,0,264,66
45172,0,6,0,58,228,142
Slc38a2,19203,899,1394,44,2921,941
Srebf2,3592,2267,2112,2180,2463,2414
Slc38a4,0,0,0,0,0,0
Rpap3,880,27,243,9,421,84
Rapgef3,0,4,1,1,0,0
Xrcc6,1518,114,12,0,310,98
Desi1,279,115,167,428,583,371
Pmm1,141,297,471,529,586,522
Hdac7,0,0,1,0,72,0
Polr3h,331,422,0,299,497,448
Aco2,8069,1056,2691,268,1534,877
Vdr,0,0,0,0,0,0
Hoxc5,0,0,0,10,0,58
Nckap1l,10207,1439,1375,529,2800,1970
Pde1b,26,0,88,0,1,20
Tnfrsf17,0,0,0,0,0,0
Txndc11,273,219,15,46,299,175
Litaf,23980,3927,9137,3223,9155,4519
Nubp1,225,115,62,0,289,194
Ciita,26,0,40,0,0,0
1810013L24Rik,606,318,225,109,264,24
Bcl6,0,0,176,0,32,109
Trp63,0,0,0,0,0,0
Il1rap,0,0,0,0,0,0
Anks3,156,168,0,0,33,104
Nudt16l1,634,99,258,0,548,84
Mgrn1,3684,553,608,0,811,268
4930562C15Rik,0,0,0,0,0,0
Srl,0,1,0,0,8,301
Crebbp,251,348,145,2,118,25
Zfp251,954,25,42,0,396,64
Zfp263,647,436,190,0,218,80
Atp13a3,517,102,112,0,146,476
Glyr1,2748,266,43,13,706,171
Tmem44,0,0,0,0,0,0
Lsg1,1010,204,0,90,138,120
Rogdi,970,221,0,0,214,13
4930451G09Rik,0,0,0,0,0,0
Eef2kmt,256,51,0,181,130,217
Ercc4,0,251,0,0,22,71
Gpt,1249,353,330,197,755,189
Adck5,4,0,169,0,248,0
Cyc1,4561,1214,912,521,1921,599
Sharpin,850,200,412,0,135,133
Maf1,643,398,619,299,797,336
Hgh1,229,0,0,0,81,95
Dgat1,0,211,339,155,258,362
Hsf1,61,120,0,0,557,257
Bop1,1356,354,0,0,365,198
Mroh1,3602,362,45,570,909,791
Fbxl6,210,80,259,103,267,432
Slc52a2,649,51,449,0,289,367
Gpaa1,491,112,59,0,408,224
Oplah,0,0,0,0,4,0
Grina,6280,1017,1476,744,1087,307
Plec,3262,1072,1354,2272,5200,3703
Scrib,240,416,1454,82,673,684
Tsta3,2268,350,241,78,528,71
Pycrl,33,163,611,0,547,167
Gsdmd,2066,101,657,0,217,79
Ly6e,6701,1599,2638,543,1833,434
Zbtb11,759,375,67,0,59,2
Arc,0,0,0,0,0,0
Cep97,143,0,52,0,47,16
Ptk2,531,6,0,35,117,210
Lmf2,1176,159,343,0,521,42
Tymp,8,1,0,0,0,0
Mapk8ip2,28,0,0,0,0,0
Arsa,1109,0,296,13,68,146
Rabl2,178,89,108,0,14,35
Kif21a,0,0,23,0,0,0
Yaf2,300,166,265,250,297,296
Zcrb1,968,492,224,189,350,281
Alcam,3200,69,200,0,206,104
Cblb,387,0,0,0,43,10
Dubr,0,68,37,0,68,65
Bbx,594,561,443,299,404,96
Nectin3,0,0,0,0,0,0
Tagln3,0,0,210,0,0,0
Atg3,1714,197,431,0,355,221
Slc35a5,598,0,0,1,0,127
Gtpbp8,353,57,0,0,147,117
Mzt2,229,78,0,0,97,90
Prkdc,350,0,0,0,34,5
Mcm4,2383,565,0,180,704,25
Ube2v2,389,88,28,29,137,46
Fopnl,754,119,479,0,250,99
Nde1,446,71,2,0,159,130
Mpv17l,0,8,0,90,225,5
Pdxdc1,2328,555,292,458,922,610
Ntan1,742,98,447,0,83,261
Rrn3,1015,173,446,256,310,554
Bfar,0,256,410,262,589,1258
Parn,2029,148,22,53,227,77
Naa50,2004,254,441,97,1274,874
Ccdc191,0,0,9,0,145,7
Hira,1,51,119,79,64,113
Qtrt2,358,0,16,36,76,190
Mrpl40,597,33,142,213,198,149
Gbe1,1767,0,241,0,316,7
Zbtb20,92,157,0,9,6,12
Usp7,183,93,69,641,292,400
Pmm2,690,231,149,16,221,0
Dgcr8,381,0,72,1,5,6
Trmt2a,2228,0,0,303,358,280
Arl6,144,0,0,0,54,14
Crybg3,102,14,271,0,476,55
Riox2,229,0,734,135,370,253
Cpox,859,81,2,5,115,34
Cldnd1,958,119,445,0,64,88
St3gal6,197,50,220,0,81,48
Cmss1,256,0,35,0,47,5
Tbc1d23,2537,131,232,0,116,60
Klhl22,2245,0,0,0,592,382
Nit2,137,186,442,0,219,57
Tomm70a,4325,960,164,156,981,587
Tfg,1311,101,0,226,235,0
Thap7,216,1,34,4,276,34
Lztr1,567,78,5,4,250,216
Snap29,337,445,260,157,198,58
Ccdc116,0,6,0,0,0,0
Sdf2l1,1940,488,666,275,559,270
Dlg1,786,18,306,2,37,106
Ppil2,2106,385,433,0,289,118
Senp5,708,422,1272,64,1168,814
Ypel1,0,0,0,0,0,0
Ncbp2,147,170,415,78,266,412
Top3b,1374,86,26,0,111,111
Pak2,1467,528,1305,441,584,157
Wdr53,0,84,0,53,267,29
Fgd4,583,14,118,1,0,0
Dnm1l,3289,317,184,0,342,100
Igsf11,336,0,0,0,0,7
Tnk2,0,64,75,0,95,124
Yars2,428,140,150,158,217,57
B4galt4,0,0,0,0,0,0
Tfrc,5051,1046,764,15,2200,159
Arhgap31,789,34,248,0,94,223
Fyttd1,208,222,884,154,1063,282
Lrch3,221,128,0,1,0,0
Lmln,0,267,0,0,0,0
Maats1,0,0,0,0,0,0
Osbpl11,0,0,262,9,0,6
Snx4,992,238,638,589,1128,966
Zfp148,446,69,189,114,505,395
Gsk3b,684,147,580,37,108,215
Umps,942,985,740,75,1418,1073
Fstl1,0,8,0,0,1,1
Itgb5,68,21,56,87,155,549
Ndufb4,989,203,472,195,424,272
Abcc5,949,304,333,0,365,8
Rabl3,0,0,10,0,0,60
Gtf2e1,368,383,5,0,127,1
Hcls1,794,31,373,35,231,66
Ccdc14,631,1,20,98,76,28
Mylk,0,0,0,0,30,0
Iqcb1,213,156,29,5,227,39
Ap2m1,6290,968,1032,70,1541,315
Clcn2,0,0,0,0,0,13
Pdia5,494,0,0,0,103,0
Dirc2,148,110,0,0,158,93
Hspbap1,0,14,194,195,296,229
Senp2,1745,1769,2016,1356,4510,4556
Tmem41a,1356,283,192,392,1133,302
Tra2b,897,457,473,108,271,172
Dgkg,12,0,0,0,0,0
Btg3,6,1,44,0,2,0
D16Ertd472e,0,27,190,0,142,1
Usp25,242,117,559,34,129,46
Samsn1,0,21,30,0,57,80
Rfc4,467,311,377,408,485,542
Robo1,0,0,1,0,0,0
Eif4a2,1328,219,756,195,619,300
St6gal1,999,354,433,1622,1076,976
Mrpl39,1706,56,50,0,539,4
Atp5j,3463,1300,1783,1009,2040,1454
App,7486,1371,1122,344,659,4
Adamts1,3963,560,149,623,726,144
Adamts5,0,0,1,0,0,0
Ets2,413,0,40,59,112,0
Dyrk1a,1,0,171,0,20,150
Vps26c,1636,593,247,0,1104,733
Cd86,985,88,277,0,224,43
Kpna1,2385,18,250,4,180,120
Parp9,1077,224,297,0,349,181
Arl13b,0,1,0,0,0,0
Pros1,0,0,0,289,0,0
Psmg1,0,266,547,328,645,215
Brwd1,0,755,220,22,1003,687
Grik1,0,0,0,0,0,0
Pigp,33,21,128,0,108,6
Chaf1b,1409,143,590,441,1176,286
Dop1b,0,26,0,177,52,8
Setd4,196,117,102,49,25,85
Rcan1,631,842,429,1874,1683,2241
Runx1,473,148,0,72,114,223
Atp5o,893,205,299,196,332,251
Itsn1,0,162,67,572,743,174
Donson,103,88,35,0,106,0
Son,635,394,1475,394,957,883
