Geneid,control Evs Tx_1,control Evs Tx_2,control Evs Tx_3,IL-10 Evs Tx_1,IL-10 Evs Tx_2,IL-10 Evs Tx_3
ENSMUSG00000103584,0,0,0,0,0,0
ENSMUSG00002076339,0,0,0,0,0,0
ENSMUSG00000102475,0,0,0,0,0,0
ENSMUSG00000047343,0,0,0,0,0,0
ENSMUSG00000102211,0,0,0,0,0,0
ENSMUSG00000087082,1434,1745,1918,1934,1979,1861
ENSMUSG00000090106,0,0,0,0,0,0
ENSMUSG00000103251,0,8,2,0,2,0
ENSMUSG00000091844,1642,1558,1727,2111,1614,1927
ENSMUSG00000026483,22,36,17,36,34,33
ENSMUSG00000082528,0,0,0,0,0,0
ENSMUSG00000082012,0,0,0,0,0,0
ENSMUSG00000099996,0,0,0,0,0,0
ENSMUSG00000101763,0,0,0,0,0,0
ENSMUSG00000100827,0,0,0,0,0,0
ENSMUSG00000100553,0,0,0,0,0,0
ENSMUSG00000098611,0,0,0,0,0,0
ENSMUSG00000100534,0,0,0,0,0,0
ENSMUSG00000102904,0,0,0,0,0,0
ENSMUSG00002076350,0,0,0,0,0,0
ENSMUSG00000019699,1,0,0,1,2,0
ENSMUSG00000104391,24,28,13,32,17,30
ENSMUSG00000102133,0,0,0,0,0,0
ENSMUSG00000102749,0,0,0,0,0,0
ENSMUSG00000103163,0,1,10,5,2,4
ENSMUSG00000103646,2,6,2,6,13,10
ENSMUSG00000102427,0,0,0,0,0,0
ENSMUSG00000103633,57,56,60,82,81,77
ENSMUSG00000097892,1,0,0,0,0,1
ENSMUSG00000063659,0,0,0,0,0,0
ENSMUSG00000102432,0,0,0,0,0,0
ENSMUSG00000103043,0,0,0,0,0,0
ENSMUSG00000102885,0,0,0,0,0,0
ENSMUSG00000026049,137,128,146,173,178,238
ENSMUSG00000103767,0,0,0,0,0,0
ENSMUSG00000043019,15,13,24,26,28,13
ENSMUSG00000101104,0,0,0,0,0,0
ENSMUSG00000015962,0,0,0,0,0,0
ENSMUSG00000032666,115,156,128,149,165,171
ENSMUSG00000084557,0,0,0,0,0,0
ENSMUSG00000100685,0,0,0,0,0,0
ENSMUSG00000102090,0,0,0,0,0,0
ENSMUSG00000103744,0,0,0,0,0,0
ENSMUSG00000015961,0,0,0,0,0,0
ENSMUSG00000089657,0,0,0,0,0,0
ENSMUSG00000102483,623,625,605,660,654,673
ENSMUSG00000014980,0,0,0,0,0,0
ENSMUSG00000026235,0,0,0,0,0,0
ENSMUSG00000099141,0,0,0,0,0,0
ENSMUSG00000032649,59,65,52,70,43,64
ENSMUSG00000101849,0,0,0,0,0,0
ENSMUSG00000101506,0,0,0,0,0,0
ENSMUSG00000065215,0,0,0,0,0,0
ENSMUSG00000102052,0,0,0,0,0,0
ENSMUSG00000026047,52,62,67,76,65,61
ENSMUSG00000080878,0,0,0,0,0,0
ENSMUSG00000091476,34,23,46,42,19,36
ENSMUSG00000104097,0,0,0,0,0,0
ENSMUSG00000119789,0,0,0,0,0,0
ENSMUSG00000102493,0,0,0,0,0,0
ENSMUSG00000004872,7,1,0,0,0,1
ENSMUSG00000118426,1,0,0,0,0,0
ENSMUSG00000041684,305,377,359,444,384,414
ENSMUSG00000032908,7,31,21,20,8,13
ENSMUSG00000099561,0,0,0,0,0,0
ENSMUSG00000102945,0,0,0,0,0,0
