"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Gnai3","Gnai3",4499,5973,5861,9265,4525,6341
"Cdc45","Cdc45",691,1007,756,2595,1964,2140
"Narf","Narf",999,1432,1243,1633,849,981
"Cav2","Cav2",402,470,492,722,354,634
"Klf6","Klf6",1660,1734,1934,2389,1513,1548
"Scmh1","Scmh1",862,989,966,944,689,737
"Cox5a","Cox5a",1531,1904,1647,3680,2484,3078
"Wnt9a","Wnt9a",145,112,100,85,54,48
"Fer","Fer",545,555,596,894,558,678
"Xpo6","Xpo6",3642,4676,4091,6581,4391,4576
"Tfe3","Tfe3",3410,4640,3863,5121,3211,4109
"Brat1","Brat1",2274,3139,2936,1997,1464,1603
"Gna12","Gna12",480,578,562,789,329,314
"Slc22a18","Slc22a18",253,255,251,290,293,293
"Pih1d2","Pih1d2",13,21,12,45,46,28
"Dlat","Dlat",2988,3355,3540,5981,3502,4155
"Sdhd","Sdhd",6188,7779,6563,12998,8862,9747
"Ccnd2","Ccnd2",0,1,0,14,0,6
"Gpr107","Gpr107",4107,4903,4670,5366,3807,4342
"Tspan32","Tspan32",1398,1908,1675,2201,1519,1857
"Lhx2","Lhx2",72,66,55,42,26,29
"Gmpr","Gmpr",1692,1997,1571,2047,1331,1562
"Trim25","Trim25",5902,6776,6462,11766,7949,8329
"Dgke","Dgke",110,164,196,328,226,281
"Scpep1","Scpep1",12021,13902,13511,10418,7328,8175
"Mnt","Mnt",703,871,901,581,387,543
"Itgb2","Itgb2",16393,19421,18764,19609,13486,15331
"Hddc2","Hddc2",316,431,378,851,443,548
"Pemt","Pemt",91,128,68,198,117,143
"Cdh4","Cdh4",29,14,18,12,0,0
"Ckmt1","Ckmt1",4,0,0,0,0,0
"Clec10a","Clec10a",787,1035,793,677,385,593
"Alox12","Alox12",2,7,4,8,6,5
"Arvcf","Arvcf",162,168,170,127,77,80
"Comt","Comt",4144,5023,4069,5450,3937,4664
"Rtca","Rtca",802,1010,905,1844,1302,1206
"Dbt","Dbt",379,477,450,1064,549,613
"Dazap2","Dazap2",12570,16616,14192,23804,14160,17742
"Mcts1","Mcts1",602,792,769,1373,696,1067
"Rem1","Rem1",193,156,153,88,48,62
"Trappc10","Trappc10",1189,1408,1321,2110,1289,1160
"Ccm2","Ccm2",1788,2208,1981,3038,2289,2527
"Tbrg4","Tbrg4",705,901,786,1321,1049,1325
"Mx1","Mx1",0,0,5,104,80,104
"Ndufa9","Ndufa9",4472,5129,4631,6886,4870,5527
"Lck","Lck",251,226,226,502,359,497
"Cttnbp2","Cttnbp2",0,4,0,0,0,0
"Galnt1","Galnt1",535,635,660,1409,661,735
"Mkrn2","Mkrn2",690,877,726,1212,790,918
"Raf1","Raf1",2485,2856,2766,3896,2514,2697
"Pdgfb","Pdgfb",1218,1382,1467,954,750,798
"Acvrl1","Acvrl1",1722,2134,1972,2576,1945,2046
"Grasp","Grasp",34,78,58,64,39,43
"Acvr1b","Acvr1b",104,112,88,206,190,140
"Tom1l2","Tom1l2",1733,1886,1714,1665,1176,1454
"Zfp385a","Zfp385a",2509,3324,2873,2984,2386,2713
"Itga5","Itga5",13184,13120,14556,13408,11041,12677
"Wdr77","Wdr77",2068,2519,2257,4187,2548,3243
"Adora3","Adora3",6,33,12,52,43,32
"Atp5f1","Atp5f1",11452,14398,12411,27956,16673,19425
"Hnrnpd","Hnrnpd",778,945,907,2518,1219,1031
"Dynlt1c","Dynlt1c",188,150,173,372,158,211
"C1d","C1d",454,532,462,840,454,660
"Gm2a","Gm2a",14111,18048,16898,6073,4020,4680
"Krit1","Krit1",393,507,464,653,337,541
"Clcn4","Clcn4",1010,990,1094,1033,810,817
"Hk2","Hk2",4093,5123,5461,4313,2918,3141
"Myo18a","Myo18a",3077,3637,3506,2837,2181,2337
"Haao","Haao",108,157,120,51,11,27
"Cd52","Cd52",2083,2296,1972,14670,11263,11582
"Abhd15","Abhd15",86,135,100,154,127,119
"Loxl3","Loxl3",35,27,62,10,23,9
"Kat2b","Kat2b",140,138,177,331,129,169
"Rab5b","Rab5b",1684,1955,1907,2346,1545,1869
"Dnmt3l","Dnmt3l",140,152,100,559,427,482
"Icosl","Icosl",342,365,390,829,701,690
"Spg7","Spg7",2005,2458,2297,3007,1954,2543
"Sult5a1","Sult5a1",0,0,2,0,0,0
"Rpl13","Rpl13",26024,33689,29820,34571,23697,28031
"Chmp1a","Chmp1a",6667,8708,7833,9388,6843,7748
"Rpa1","Rpa1",2173,3006,2561,4971,3518,4251
"Serpinf1","Serpinf1",225,303,179,142,95,141
"Tubgcp3","Tubgcp3",1093,1337,1073,1895,1147,1315
"Oprm1","Oprm1",0,0,0,1,0,0
"Polr3d","Polr3d",421,616,644,1109,741,909
"Ddx3x","Ddx3x",4054,5246,5073,8805,4680,5679
"Il12rb1","Il12rb1",371,382,376,476,334,530
"Kcnn3","Kcnn3",2,2,4,42,46,20
"Usp32","Usp32",373,380,405,815,294,575
"Txnrd3","Txnrd3",480,561,591,997,660,798
"Zfp512b","Zfp512b",482,658,554,580,318,354
"Dnajc5","Dnajc5",5922,6829,6515,10024,6545,7133
"Tpd52l2","Tpd52l2",2929,3636,3444,5983,3821,4470
"Fmr1","Fmr1",438,600,555,797,343,584
"Bcl11a","Bcl11a",0,0,0,0,0,0
"Il4","Il4",25,41,36,50,41,33
"Pxmp4","Pxmp4",771,1097,806,982,554,649
"Dlg3","Dlg3",21,25,40,21,9,43
"Gnb1l","Gnb1l",154,171,180,271,179,167
"Smarcb1","Smarcb1",1300,1552,1412,2301,1681,2201
"Hip1r","Hip1r",52,67,56,212,141,163
"Nsun5","Nsun5",685,957,728,1103,912,1139
"Top1mt","Top1mt",356,514,447,697,535,669
"Mmp14","Mmp14",11,14,9,23,32,38
"Slc7a7","Slc7a7",87,82,39,291,208,181
"Oxa1l","Oxa1l",1501,1947,1799,2174,1628,1959
"Heatr6","Heatr6",820,1126,1005,2510,1958,1894
"Ccl3","Ccl3",2663,2216,2668,43426,35112,40641
"Ilf2","Ilf2",2008,2412,2103,4891,3442,3808
"Chtop","Chtop",2340,2950,3045,4217,2556,3409
"Snapin","Snapin",2066,2558,2329,3468,2172,2243
"S100a4","S100a4",37,51,34,40,29,20
"S100a3","S100a3",20,12,7,1,8,5
"S100a6","S100a6",6267,6504,5702,4531,3380,3535
"Icam2","Icam2",105,93,82,145,118,119
"Mapk7","Mapk7",1508,1908,1643,1855,1306,1549
"Epn2","Epn2",225,316,311,545,402,398
"B9d1","B9d1",41,50,70,81,50,95
"Sec24b","Sec24b",2495,3110,3005,3227,2119,2583
"N4bp3","N4bp3",525,546,641,397,285,410
"Rmnd5b","Rmnd5b",2108,2600,2237,2108,1344,1702
"Nhp2","Nhp2",3189,4200,3299,7928,6391,7067
"Vps9d1","Vps9d1",399,429,399,681,418,508
"Zfp276","Zfp276",323,500,539,564,474,510
"Mfsd10","Mfsd10",1519,2199,1819,2191,1666,2047
"Luzp1","Luzp1",462,555,699,791,559,482
"Kctd10","Kctd10",849,1146,1026,1056,742,815
"Poldip2","Poldip2",4117,5143,4494,6109,4367,5395
"Ift20","Ift20",314,335,317,577,429,480
"Lgals9","Lgals9",3844,4785,4280,11483,9183,10396
"Araf","Araf",2487,3150,2824,4333,3010,3205
"Cfp","Cfp",4761,6043,5251,10261,9220,10067
"Uxt","Uxt",339,360,359,672,442,449
"Cnnm3","Cnnm3",93,71,42,69,31,67
"Lman2l","Lman2l",1801,2003,2145,1673,936,1263
"Mcm3ap","Mcm3ap",2039,2475,2290,3482,2252,2622
"Pcnt","Pcnt",505,692,707,1007,640,632
"Mxd1","Mxd1",1098,1580,1165,1853,1265,1445
"Gmcl1","Gmcl1",886,1115,1173,1533,937,1043
"Snrnp27","Snrnp27",560,756,690,1281,701,903
"Oas1c","Oas1c",44,110,52,251,185,267
"Ocrl","Ocrl",33,37,11,209,171,142
"Calm1","Calm1",9099,10685,9124,24328,16192,18345
"Agpat3","Agpat3",2285,2641,2297,4186,2657,2890
"Slc26a3","Slc26a3",0,1,0,0,0,0
"Sema6b","Sema6b",323,541,445,691,486,534
"Uhrf1","Uhrf1",1736,2870,1938,7931,5919,6964
"Dpp9","Dpp9",2178,2685,2407,3575,2378,2603
"Lsr","Lsr",33,17,28,15,9,17
"Gramd1a","Gramd1a",1307,1643,1532,2915,2061,2622
"Hpn","Hpn",0,0,0,116,69,69
"Ckb","Ckb",3186,3628,3424,1910,1790,1930
"Sp1","Sp1",549,671,729,1067,668,590
"Itgb7","Itgb7",1466,2170,1750,5435,4543,5468
"Myg1","Myg1",1770,2084,1917,2343,1984,2116
"Rarg","Rarg",146,233,308,482,341,363
"Pfdn5","Pfdn5",2204,2422,2184,3153,2052,2428
"Rrp15","Rrp15",337,452,432,839,541,602
"Rnd2","Rnd2",202,231,190,261,176,276
"Srr","Srr",334,243,322,307,199,238
"Acp5","Acp5",1479,1866,1634,3869,2894,3578
"Fbxo9","Fbxo9",180,238,226,666,370,447
"Vps50","Vps50",2588,3067,2928,4133,2327,2769
"Hars","Hars",2094,2643,2353,5178,3811,4041
"Zmat2","Zmat2",854,903,855,1550,925,1163
"Ube2c","Ube2c",1164,1760,1189,4372,2972,3572
"Smg5","Smg5",1039,1186,1211,2517,1981,2131
"Cct3","Cct3",13805,17649,15015,72526,51612,56576
"Glmp","Glmp",23167,27037,25149,40053,31075,34759
"Mef2d","Mef2d",6943,8389,8262,6003,3359,4507
"Tmem79","Tmem79",16,13,13,34,8,29
"Snd1","Snd1",9838,12599,10676,17443,13562,15565
"Col18a1","Col18a1",228,217,278,1203,992,1159
"Slc19a1","Slc19a1",713,967,1043,1243,934,1037
"Kpnb1","Kpnb1",1262,1658,1222,3738,2741,2873
"Npepps","Npepps",2592,3232,2745,3696,2329,2656
"Mrpl10","Mrpl10",1589,1718,1684,2183,1554,1771
"Cyp51","Cyp51",977,1113,978,3667,2646,2931
"Tcf25","Tcf25",9171,11780,10690,11220,8094,9144
"Tubb6","Tubb6",2878,4532,3311,10085,7893,8886
"Def8","Def8",1782,2444,2078,4845,3724,4032
"Itga3","Itga3",35,59,35,92,39,65
"Foxm1","Foxm1",580,822,636,1811,1348,1542
"Itfg2","Itfg2",186,229,224,235,181,193
"Nrip2","Nrip2",3,2,0,4,1,2
"Tulp3","Tulp3",114,149,130,214,165,182
"Gtf2h4","Gtf2h4",1437,1838,1522,2076,1436,1770
"Tubb5","Tubb5",7703,11383,8659,20427,15827,17923
"Ell2","Ell2",745,982,910,3433,1758,2386
"Jup","Jup",419,602,502,747,465,603
"Nom1","Nom1",951,1139,1139,1651,1274,1452
"Ergic1","Ergic1",6554,7644,7113,12451,8366,9582
"Acap1","Acap1",1921,2492,2187,953,578,702
"Tcea3","Tcea3",23,21,15,36,35,28
"Ifrd1","Ifrd1",2357,2448,2858,7861,5382,5776
"Stk38l","Stk38l",1058,945,1034,1234,787,693
"Brpf1","Brpf1",2002,2418,2235,2983,1992,2411
"Akr1b3","Akr1b3",4374,5805,4765,8068,5976,7065
"Hoxc6","Hoxc6",126,164,121,175,130,143
"Gstt3","Gstt3",256,340,307,260,209,210
"Ddt","Ddt",85,91,78,157,98,125
"Marveld3","Marveld3",0,0,0,0,0,0
"Ddx18","Ddx18",1440,1777,1540,3033,2258,2458
"Ubl3","Ubl3",5755,7104,6573,6791,3093,3108
"Gramd3","Gramd3",313,248,326,402,279,322
"Eef1e1","Eef1e1",1062,1363,981,2927,1742,2378
"Akt1","Akt1",4051,5574,4370,6676,2812,2741
"Il16","Il16",852,949,951,958,695,727
"Tcirg1","Tcirg1",16466,20336,18243,29610,23600,25743
"Naglu","Naglu",8435,10099,9070,3919,2737,3500
"Coasy","Coasy",3207,3738,3638,3323,2077,2532
"Smo","Smo",797,965,720,903,513,621
"Crnkl1","Crnkl1",776,1189,931,1647,735,986
"Rin2","Rin2",1610,2220,1751,2011,1219,1307
"Chordc1","Chordc1",789,1065,990,1997,1192,1326
"Rtcb","Rtcb",3780,4520,3818,5929,4065,4983
"Pwp1","Pwp1",3654,4001,3851,7514,5311,5613
"Fbxo7","Fbxo7",710,837,965,890,654,762
"Capns1","Capns1",3441,3863,3426,3642,2886,3318
"Folr1","Folr1",206,237,192,61,47,42
"Clpb","Clpb",3146,4145,3289,4046,3073,3658
"X45176","45176",1679,2151,1878,3069,1836,2444
"Zdhhc4","Zdhhc4",1166,1347,1345,1779,1249,1447
"Rac1","Rac1",7945,10274,8778,13616,7277,7752
"Nup214","Nup214",3944,5102,4485,8682,6657,7523
"Ltbp1","Ltbp1",0,0,0,1,0,0
"Ugp2","Ugp2",7512,8681,8783,7826,4476,5475
"Trmt1","Trmt1",2263,2939,2653,3363,2407,2755
"Nacc1","Nacc1",1260,1586,1448,2242,1634,2000
"Nfix","Nfix",118,134,125,93,69,86
"Slc1a5","Slc1a5",4510,5295,5266,9764,7336,8465
"Uba1","Uba1",11415,14070,12811,18252,14481,16134
"Vwf","Vwf",3598,3961,4248,1817,1352,1421
"Siae","Siae",2094,2006,2034,2125,1276,1307
"Spa17","Spa17",64,50,45,15,10,23
"Fam50a","Fam50a",2997,3309,3148,4094,2785,3236
"Emd","Emd",1133,1137,1114,1423,907,1026
"Taco1","Taco1",257,302,255,433,289,354
"Npas1","Npas1",22,28,16,51,47,25
"Sipa1l2","Sipa1l2",2054,2419,2389,1868,1014,1183
"Ap4e1","Ap4e1",910,1273,1151,1590,806,870
"Blvra","Blvra",4399,5369,4613,6726,4336,5128
"Srpk3","Srpk3",272,456,333,15,6,59
"Idh3g","Idh3g",7595,10056,8109,10083,6951,8137
"Ssr4","Ssr4",3340,3587,3245,5202,3886,4258
"Bcap31","Bcap31",5720,6810,5771,8379,5910,7122
"Fam98a","Fam98a",699,984,1012,2491,1980,2001
"Ltbp2","Ltbp2",9,0,6,212,103,119
"Kmt2a","Kmt2a",1016,844,1111,1105,446,641
"Ift46","Ift46",404,545,467,652,422,457
"Trappc6a","Trappc6a",1462,1884,1768,1659,1109,1288
"Supt6","Supt6",4200,4597,4224,6680,4422,4713
"Spag5","Spag5",517,679,510,1499,1157,1204
"Unc119","Unc119",1766,1862,1639,3721,2768,3172
"Rab34","Rab34",0,0,1,0,8,1
"Sdf2","Sdf2",941,1177,1101,1251,1010,869
"Ccne1","Ccne1",528,775,566,2847,2077,2212
"Bbc3","Bbc3",1023,1090,1036,798,512,664
"Mybpc3","Mybpc3",10,15,9,7,3,4
"Psmc3","Psmc3",6759,8239,7163,12587,9359,10602
"Acp2","Acp2",3543,3341,3545,5410,4085,4426
"Rapsn","Rapsn",14,10,6,8,4,5
"Slc39a13","Slc39a13",920,1009,991,1360,1050,1118
"Celf2","Celf2",630,971,901,1581,953,937
"Nr1h3","Nr1h3",333,489,459,775,666,614
"Ddb2","Ddb2",181,221,238,111,85,90
"Spi1","Spi1",10371,12535,11665,14724,11616,13036
"Sf3a1","Sf3a1",1686,2221,2065,3146,2170,2736
"Stat6","Stat6",9216,11026,10451,9683,7353,7785
"Napsa","Napsa",4971,5373,4906,3991,3119,3432
"Vrk3","Vrk3",1475,1734,1696,2081,1661,1654
"Smg9","Smg9",364,400,433,649,470,519
"Paxip1","Paxip1",777,1077,837,1403,847,977
"Rmnd5a","Rmnd5a",904,946,1055,1181,424,424
"Mov10","Mov10",6281,7604,6758,12410,9269,10169
"Ppm1j","Ppm1j",1382,1568,1633,907,607,867
"Rhoc","Rhoc",5446,5695,5708,6753,5683,6390
"Ppard","Ppard",83,93,82,88,61,85
"Def6","Def6",968,1529,1380,2391,1709,2092
"Metrn","Metrn",30,18,19,55,26,61
"Lmf1","Lmf1",965,1178,1007,1429,948,1251
"Narfl","Narfl",1643,2110,1780,2116,1391,1720
"Dbf4","Dbf4",403,489,441,918,539,642
"Daxx","Daxx",1434,2029,1742,3303,2276,2608
"Cd320","Cd320",643,798,671,1527,1220,1220
"Ipo4","Ipo4",1148,1524,1417,1543,1134,1095
"Tm9sf1","Tm9sf1",1434,1769,1631,2177,1591,1730
"Irf9","Irf9",884,1097,973,2146,1480,1889
"Gmpr2","Gmpr2",186,236,170,497,303,334
"Mdp1","Mdp1",253,272,274,349,217,262
"Dhrs1","Dhrs1",1599,1716,1700,2668,1686,2052
"Tmem161a","Tmem161a",1166,1438,1473,2172,1402,1738
"Armc6","Armc6",301,315,337,435,410,403
"Borcs8","Borcs8",525,663,563,849,653,878
"Slc25a42","Slc25a42",129,128,91,219,117,186
"Snx9","Snx9",2160,2450,2236,2302,1562,1734
"Ranbp3","Ranbp3",3067,4169,3684,5177,3928,4310
"Ndufa11","Ndufa11",1466,1517,1344,2427,2006,2109
"Nr2f6","Nr2f6",476,548,608,370,248,292
"Use1","Use1",2049,2712,2297,2674,1908,2233
"Ocel1","Ocel1",438,459,372,437,372,441
"Dyrk1b","Dyrk1b",195,251,188,118,104,107
"Braf","Braf",540,702,722,1075,509,448
"Ndufb2","Ndufb2",71,91,82,124,87,95
"Hltf","Hltf",212,458,334,568,382,399
"Prpf6","Prpf6",5569,6220,6122,8207,5743,6369
"Rgs19","Rgs19",2224,2815,2510,4434,2903,3298
"Rgs20","Rgs20",96,108,94,154,76,115
"Snrpd1","Snrpd1",583,813,577,1810,1284,1347
"Tchp","Tchp",114,85,138,228,152,121
"Tiam1","Tiam1",0,3,1,2,0,2
"Tsc2","Tsc2",5351,6237,5495,6191,4641,5611
"Rpl3l","Rpl3l",11,14,19,36,29,23
"Puf60","Puf60",4714,6165,5488,7274,5066,6156
"Golga2","Golga2",2182,2264,2504,2459,1609,1931
"Uck1","Uck1",909,1160,931,1601,1247,1193
"Mien1","Mien1",418,421,322,622,441,522
"Axl","Axl",13,0,0,6,1,0
"Tgfb1","Tgfb1",3919,4877,4100,6415,5092,5936
"Ccdc97","Ccdc97",1357,1452,1518,1615,1197,1287
"Zfp40","Zfp40",12,12,31,44,18,53
"Akap8l","Akap8l",1033,1161,1107,1452,1071,1067
"Pdcd2l","Pdcd2l",1064,1221,1114,1663,1261,1290
"Gtf2f1","Gtf2f1",2289,2629,2810,4311,3023,3434
"Clpp","Clpp",2377,2792,2416,3779,3334,3556
"Alkbh7","Alkbh7",611,748,685,837,630,796
"Dennd1c","Dennd1c",623,751,619,975,642,739
"Med6","Med6",371,365,386,869,529,724
"Lcp2","Lcp2",2987,3604,3542,9593,6636,7091
"Cse1l","Cse1l",3057,3692,3195,7783,4615,5199
"Naa20","Naa20",2902,3441,2999,4420,2790,3165
"Prkra","Prkra",762,907,677,963,637,678
"Fkbp7","Fkbp7",38,49,60,68,45,40
"Plekha3","Plekha3",508,568,427,1705,748,755
"Ykt6","Ykt6",2202,2411,2455,4306,2859,3103
"Baz1b","Baz1b",1835,2080,1926,3403,2061,2127
"Pex6","Pex6",1904,2507,2385,1723,1142,1203
"Mrpl2","Mrpl2",2428,2814,2496,3192,2216,2539
"Mea1","Mea1",1893,2238,1890,2496,1817,2209
"Kdelr1","Kdelr1",1240,1358,1482,1479,1002,1239
"Tmem143","Tmem143",253,276,279,251,205,330
"Pdxk.ps","Pdxk-ps",9,0,7,4,14,3
"Ggct","Ggct",81,83,102,744,507,616
"Jag2","Jag2",764,950,814,1153,701,692
"Btbd6","Btbd6",623,478,580,602,477,550
"Nudt14","Nudt14",1887,2380,1953,2173,1576,2026
"Flii","Flii",5858,6849,6753,6250,4701,5602
"Top3a","Top3a",789,1042,1049,1349,1002,1177
"Atg4d","Atg4d",813,935,818,1372,1037,1284
"Qtrt1","Qtrt1",720,807,741,1088,692,809
"Hdgfl2","Hdgfl2",1800,2077,1938,3328,2213,2416
"Chaf1a","Chaf1a",912,1278,1141,3348,2499,2557
"Adprh","Adprh",2635,3249,2872,3902,2669,3281
"Tmem39a","Tmem39a",540,601,566,860,682,714
"Timmdc1","Timmdc1",157,163,131,228,134,238
"Pla1a","Pla1a",829,1125,1017,1327,1229,1251
"Mcm2","Mcm2",2933,4261,3537,8181,6208,6804
"Tpra1","Tpra1",3683,4238,4042,3472,2262,2735
"Nab1","Nab1",729,958,678,2347,768,891
"Adgre5","Adgre5",10,13,29,66,36,30
"Il17ra","Il17ra",969,1260,1046,1219,900,1102
"Lamb1","Lamb1",10,5,25,11,5,11
"Kcnn1","Kcnn1",59,105,96,76,49,84
"Arrdc2","Arrdc2",265,371,383,521,362,354
"Cd36","Cd36",519,541,473,943,592,761
"Map2k7","Map2k7",754,1004,992,1090,787,933
"Timm44","Timm44",1582,1875,1759,3100,1991,2212
"Ap2a2","Ap2a2",4502,5293,4904,5345,3673,4351
"Pnkp","Pnkp",2206,2403,2496,2868,2073,2660
"Med25","Med25",1492,1909,1753,1698,1182,1407
"Bcam","Bcam",10,2,4,19,25,28
"Clptm1","Clptm1",6435,7733,7218,9918,7386,8569
"Relb","Relb",697,747,915,2422,1895,2034
"Tomm40","Tomm40",2549,3480,2840,6461,4914,5670
"Apoe","Apoe",413466,514752,452857,137123,93574,108636
"Hbp1","Hbp1",3325,3882,3772,3756,2292,2461
"Prkar2b","Prkar2b",1081,1780,1428,2767,1417,1842
"Cdkn1b","Cdkn1b",56,77,43,57,14,19
"Klf4","Klf4",251,289,310,76,68,32
"Ap1m1","Ap1m1",3562,4671,4077,5562,4170,4784
"Rab8a","Rab8a",5214,6130,5702,8274,5618,6428
"Hmgn2","Hmgn2",1461,1928,1693,5228,3297,3774
"Fam32a","Fam32a",3659,4197,3737,6420,4080,4607
"Stard3nl","Stard3nl",466,547,503,1349,753,806
"Stk11","Stk11",969,1042,939,1535,1077,1056
"Efna2","Efna2",37,78,30,39,28,25
"Atp5d","Atp5d",6933,8492,7566,11000,8401,10138
"Ppp5c","Ppp5c",1410,1727,1515,3997,2962,3353
"Cdk12","Cdk12",232,358,286,439,246,285
"Lipe","Lipe",226,327,268,397,333,349
"Pafah1b2","Pafah1b2",2298,2546,2601,6458,3348,3940
"Tbc1d8","Tbc1d8",19,43,21,55,25,15
"Cnot11","Cnot11",1583,1854,1674,2341,1591,1846
"Slc2a3","Slc2a3",24,19,24,2,3,0
"Foxj2","Foxj2",1099,1430,1492,1248,580,711
"Sri","Sri",1716,2087,1836,3783,2255,2720
"Dgcr2","Dgcr2",1092,1330,1157,1706,1257,1454
"Irf3","Irf3",616,812,613,704,643,728
"Bcl2l12","Bcl2l12",22,38,37,40,29,24
"Zfp959","Zfp959",52,83,111,99,48,72
"Mpnd","Mpnd",5032,6391,5483,6558,4554,5396
"Sh3gl1","Sh3gl1",2382,2844,2662,3599,2364,2980
"Ebi3","Ebi3",31,29,44,1640,1141,1219
"Yju2","Yju2",231,330,266,617,480,566
"Ranbp2","Ranbp2",2349,3102,3072,4230,1964,2526
"Grk5","Grk5",50,86,40,88,116,108
"Dvl3","Dvl3",1009,1205,1151,1145,786,843
"Abcf3","Abcf3",2497,3249,2780,3504,2549,2824
"Eif2b5","Eif2b5",2857,3485,3368,4514,3439,3811
"Cyth2","Cyth2",1535,1780,1668,1712,1270,1396
"Sult2b1","Sult2b1",32,63,64,80,31,79
"Dlgap1","Dlgap1",20,7,2,4,3,7
"Hck","Hck",27,66,30,1185,756,878
"Mrpl4","Mrpl4",3066,3864,3497,4366,3279,3944
"Keap1","Keap1",1002,1413,1369,1665,1340,1376
"Glg1","Glg1",5053,5558,5891,6435,4437,4888
"Atp8b3","Atp8b3",187,202,220,669,466,501
"Btbd2","Btbd2",802,1118,916,999,465,456
"Csnk1g2","Csnk1g2",2102,2380,2282,2864,1262,1416
"Abhd17a","Abhd17a",3327,4195,3527,3848,2797,3358
"Mob3a","Mob3a",249,232,267,261,246,249
"Cacnb3","Cacnb3",45,110,79,98,54,73
"Ccdc65","Ccdc65",28,10,47,30,50,19
"Fkbp11","Fkbp11",1559,1984,1522,3057,2285,2627
"Ddx23","Ddx23",197,234,199,391,252,241
"Pld3","Pld3",13191,14413,14791,10490,7585,8898
"Grik5","Grik5",17,14,11,6,23,8
"Rabac1","Rabac1",3053,3675,3186,3087,2338,2688
"Etv3","Etv3",1853,2217,2090,2079,1280,1375
"Prkcsh","Prkcsh",3311,3887,3672,4396,2923,3450
"Elavl3","Elavl3",1,0,0,0,0,0
"Rab3b","Rab3b",0,0,0,0,1,1
"St8sia6","St8sia6",0,0,0,6,2,4
"Fcgrt","Fcgrt",1784,2004,1928,928,564,714
"Nosip","Nosip",845,1146,939,1781,1401,1691
"Pih1d1","Pih1d1",429,461,405,578,388,550
"Rps11","Rps11",4803,5494,4425,8416,6467,7022
"Supt5","Supt5",5343,6519,6036,7169,5186,5845
"Paf1","Paf1",1361,1671,1406,2407,1602,1698
"Timm50","Timm50",2570,3129,2897,4603,3633,3845
"Med29","Med29",292,328,297,574,453,496
"Bicd1","Bicd1",0,0,0,1,0,1
"Ncstn","Ncstn",8066,9129,9295,9592,7139,8372
"Pex19","Pex19",2888,3581,3215,5553,3810,4805
"Crhr2","Crhr2",21,44,44,83,51,69
"Cyp4f18","Cyp4f18",343,505,463,544,580,493
"Impdh1","Impdh1",1408,1929,1628,3563,2441,2848
"Dusp3","Dusp3",1811,2076,2206,2444,1899,2104
"Ess2","Ess2",1012,1218,950,1378,1137,1290
"Slc25a1","Slc25a1",3779,4819,4085,6629,4876,5631
"Dgcr6","Dgcr6",796,1016,891,1105,767,887
"Ddr1","Ddr1",14,18,34,65,39,61
"Ier3","Ier3",1524,2540,2105,7219,5646,6450
"Klc4","Klc4",3877,4863,4539,4485,3250,4050
"Ercc1","Ercc1",346,402,388,402,335,375
"As3mt","As3mt",0,0,0,0,0,4
"Homer3","Homer3",488,636,555,731,510,673
"Crtc1","Crtc1",547,809,786,1090,713,700
"Rnf215","Rnf215",146,244,146,247,109,169
"Sec14l2","Sec14l2",896,1108,970,293,253,249
"Aven","Aven",643,619,597,1297,933,1007
"Cp","Cp",6,1,0,77,35,76
"Crot","Crot",693,903,890,1224,754,915
"Rps6ka1","Rps6ka1",6158,7902,7038,7031,5514,5950
"Snrnp200","Snrnp200",12694,14545,14173,16712,12765,13448
"Ciao1","Ciao1",2527,3497,3025,4961,3257,3951
"Taf6l","Taf6l",1125,1284,1052,1844,1559,1813
"Insig2","Insig2",3623,4088,4345,4866,2798,3227
"Kpna6","Kpna6",2173,2225,2320,3047,2054,2529
"Man1a","Man1a",1948,2361,2399,1234,736,883
"Itpkc","Itpkc",306,333,465,306,273,240
"Coq8b","Coq8b",691,872,675,669,428,644
"Brd8","Brd8",1457,1606,1521,2407,1415,1485
"Kif20a","Kif20a",807,1350,1031,3515,2496,2765
"Farsa","Farsa",3228,4640,3730,5756,4648,4981
"Gcdh","Gcdh",1019,1063,1063,1733,1148,1187
"Mast2","Mast2",1151,1365,1186,1818,968,777
"Dnase2a","Dnase2a",3651,4657,4670,3986,3170,3707
"Rad23a","Rad23a",3225,3576,3491,4141,2745,3298
"Calr","Calr",32277,38829,35622,60470,46302,50780
"Syce2","Syce2",439,496,366,1026,737,759
"Nfat5","Nfat5",224,269,273,462,382,357
"Nob1","Nob1",1494,1870,1791,2710,1912,2366
"Nqo1","Nqo1",144,146,102,600,272,351
"Ppfia3","Ppfia3",40,47,35,57,75,89
"Gys1","Gys1",3421,4304,4125,4164,2956,3581
"Ruvbl2","Ruvbl2",2180,2853,2144,4324,3426,3698
"Bax","Bax",3909,4897,4446,6620,4864,5638
"Il7r","Il7r",15,9,6,68,66,68
"Tfam","Tfam",497,567,525,1113,588,803
"Zfp81","Zfp81",102,134,106,140,51,108
"Mmd","Mmd",211,253,269,279,129,194
"Fam162a","Fam162a",468,695,576,892,582,638
"Rpl8","Rpl8",11746,14835,12572,18261,13819,16060
"Fancl","Fancl",168,191,142,346,238,319
"Gstm5","Gstm5",803,826,779,682,482,723
"Gstm3","Gstm3",22,32,30,44,20,37
