"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Tacc3","Tacc3",1456,2022,1561,4333,3101,3447
"Jade3","Jade3",300,342,344,613,304,341
"Bag4","Bag4",287,348,448,735,356,376
"Traf3ip3","Traf3ip3",421,681,467,1393,825,929
"Tap1","Tap1",2720,3446,3013,7797,5969,6725
"Bbs7","Bbs7",286,224,200,400,275,327
"Capn15","Capn15",1764,2046,2088,1200,837,946
"Larp1","Larp1",1019,1369,1173,3186,1599,1725
"Map4k1","Map4k1",1890,2278,2276,2486,1832,2289
"Fam53a","Fam53a",893,1194,1078,1326,899,1091
"Taf2","Taf2",1147,1332,1313,2050,1195,1263
"Slc12a9","Slc12a9",1577,1858,1885,2081,1614,1964
"Paqr7","Paqr7",818,1200,928,1601,1084,1232
"Nudt22","Nudt22",434,717,615,781,527,632
"Actr1b","Actr1b",6376,7011,7071,6445,4796,5020
"Letmd1","Letmd1",1157,1299,1286,1894,1446,1464
"Uvssa","Uvssa",110,76,133,126,68,115
"Sf3b6","Sf3b6",1553,2060,1740,2847,1759,2458
"Letm2","Letm2",26,32,35,23,3,6
"Srrt","Srrt",1184,1764,1199,3591,2522,2924
"Pafah2","Pafah2",798,969,841,1426,1021,990
"Kdm6a","Kdm6a",1077,1338,1041,1619,884,929
"Enpp1","Enpp1",0,0,0,1,1,0
"Ctbp1","Ctbp1",3195,4003,3494,5216,3343,3266
"Hhat","Hhat",78,99,145,258,209,234
"Trmt6","Trmt6",905,1037,979,2220,1597,1540
"Rims2","Rims2",0,0,0,0,2,0
"Rcor3","Rcor3",315,413,373,385,208,266
"Atp11b","Atp11b",623,803,683,1159,483,691
"Icam1","Icam1",2002,2494,2192,7812,5222,6515
"Cnnm4","Cnnm4",124,185,141,239,151,166
"Tbc1d2b","Tbc1d2b",1235,1500,1395,2496,1797,1815
"Serpine1","Serpine1",4,8,7,7,2,5
"Ranbp10","Ranbp10",4694,5031,5206,5606,3771,4239
"Dmxl1","Dmxl1",1478,1627,1860,1300,556,756
"Best1","Best1",28,28,39,27,14,28
"Depdc5","Depdc5",1440,1710,1651,1807,1137,1324
"Vgf","Vgf",8,6,7,15,19,12
"Fer1l5","Fer1l5",183,217,158,147,75,76
"Slc30a1","Slc30a1",386,405,379,474,160,209
"Cep85","Cep85",2993,3486,3103,6273,3863,4769
"Tulp1","Tulp1",0,0,0,0,0,0
"Arid5a","Arid5a",2139,2438,2285,1532,1098,1303
"Azin1","Azin1",4927,5973,6383,8437,3927,5594
"Ints7","Ints7",1818,2156,2012,3002,2004,2208
"Klf10","Klf10",663,963,823,919,501,626
"Tedc1","Tedc1",415,488,367,1325,1067,1304
"Uggt1","Uggt1",3823,4432,4759,6277,4612,4994
"Dtl","Dtl",481,602,498,1439,858,904
"Thoc2","Thoc2",1112,1479,1353,1778,766,1188
"Asxl2","Asxl2",1405,1639,1489,1752,922,1178
"Ubr5","Ubr5",1666,1686,1542,3168,1554,1170
"Zmat4","Zmat4",0,0,0,2,0,0
"Nenf","Nenf",569,689,600,735,660,678
"Fam168b","Fam168b",3464,4005,3819,4983,2904,2821
"Arhgef4","Arhgef4",72,90,118,276,225,230
"Pank2","Pank2",1203,1508,1456,2006,1410,1547
"Ppfia1","Ppfia1",1875,2262,2093,4166,2240,2074
"Mavs","Mavs",3157,3775,3352,5468,3580,4334
"Bcdin3d","Bcdin3d",418,383,367,423,382,349
"Atg14","Atg14",995,1002,1055,987,530,690
"Mrpl47","Mrpl47",122,230,158,393,245,377
"Rapgef6","Rapgef6",1008,1311,1242,1583,785,782
"Fbxo34","Fbxo34",1057,1045,1006,1516,1146,1094
"Dlgap5","Dlgap5",392,567,462,1316,858,967
"H2.DMb2","H2-DMb2",3,9,11,19,16,18
"Plekhg2","Plekhg2",56,63,66,75,66,49
"Zdhhc18","Zdhhc18",715,758,700,1119,468,461
"Rps16","Rps16",9930,11272,10035,12096,8855,9983
"Vash2","Vash2",228,288,219,658,429,478
"Mcrs1","Mcrs1",2746,3597,2899,4781,3364,3976
"Wdhd1","Wdhd1",637,734,787,1622,980,1019
"Tob1","Tob1",858,1091,1035,1452,746,959
"Gch1","Gch1",1201,1424,1277,2820,1758,2061
"Nr0b2","Nr0b2",175,305,163,395,284,329
"Clba1","Clba1",464,544,484,651,432,570
"Nme1","Nme1",805,986,801,2719,2266,2199
"Adgrl3","Adgrl3",1,2,0,1,1,1
"Osbpl5","Osbpl5",37,24,53,66,53,42
"Bclaf1","Bclaf1",1873,2305,2022,4049,2380,2664
"Tnfrsf23","Tnfrsf23",1815,1875,2036,2206,1897,2166
"Spag1","Spag1",18,17,0,14,5,22
"Wdtc1","Wdtc1",313,487,363,784,583,737
"Kcnk2","Kcnk2",6,19,23,32,21,34
"Rgs22","Rgs22",0,0,0,0,0,0
"Cdkn3","Cdkn3",423,484,312,658,402,431
"Slc25a43","Slc25a43",202,258,239,528,395,439
"Zbtb42","Zbtb42",192,169,194,176,101,138
"Zfp60","Zfp60",130,221,128,307,106,207
"Prkci","Prkci",652,814,801,1180,643,756
"Vps13b","Vps13b",1834,1956,1960,2512,1474,1618
"H2.DMa","H2-DMa",112,122,67,144,74,129
"Phc3","Phc3",170,160,256,302,223,238
"Slc20a2","Slc20a2",1219,1569,1575,4047,3004,3291
"Gpr160","Gpr160",71,87,58,77,62,49
"Cdkn1c","Cdkn1c",526,598,618,663,470,685
"Ldah","Ldah",2187,2421,2103,3630,2818,2953
"Rfx7","Rfx7",417,517,543,705,396,495
"Inf2","Inf2",119,208,195,303,207,217
"Atp8a1","Atp8a1",1347,1264,1651,1443,842,854
"Ahdc1","Ahdc1",128,175,162,124,100,93
"Ddhd1","Ddhd1",702,799,734,1830,981,937
"Lzts3","Lzts3",486,650,522,705,393,452
"Cd81","Cd81",9708,12042,10716,11446,7141,8844
"Fam13a","Fam13a",0,0,0,0,0,1
"Cisd1","Cisd1",1482,1979,1363,2754,2032,2385
"Tmem33","Tmem33",906,1150,1058,2116,1097,1445
"Ckap2","Ckap2",132,257,192,770,484,504
"Mynn","Mynn",275,339,347,438,282,262
"Themis2","Themis2",1664,1945,1786,2407,1697,1927
"Mrps26","Mrps26",2835,3823,3014,4656,3510,3823
"Eef1a1","Eef1a1",73528,84813,73486,99134,60021,64750
"Fam222b","Fam222b",683,714,828,1469,1040,1038
"Xkr8","Xkr8",187,262,217,867,692,765
"Ppp1r16b","Ppp1r16b",324,352,307,345,276,253
"Actr5","Actr5",1222,1412,1282,1629,1076,965
"Mrpl23","Mrpl23",1478,1727,1637,1840,1281,1467
"Pced1a","Pced1a",851,963,1005,1538,1217,1306
"Apopt1","Apopt1",1013,1087,959,1304,943,939
"Vopp1","Vopp1",1236,1341,1260,1443,889,1064
"Phf12","Phf12",622,723,671,911,492,698
"N4bp2","N4bp2",109,137,152,206,102,132
"Iqch","Iqch",4,1,4,1,3,0
"Rpl10a","Rpl10a",6611,7787,7425,6181,4497,5210
"Fam76b","Fam76b",159,202,182,253,161,146
"D630003M21Rik","D630003M21Rik",0,0,0,0,2,1
"Ctnna1","Ctnna1",3247,3593,3327,3631,2352,2584
"Fbxw17","Fbxw17",526,600,508,1069,863,951
"Abhd18","Abhd18",22,36,18,30,39,23
"Tgm2","Tgm2",31,10,22,95,69,44
"Smim14","Smim14",2153,2420,2377,2148,1201,1467
"Tspan14","Tspan14",1321,1786,1641,1395,933,1051
"Ppm1k","Ppm1k",120,169,87,222,89,107
"Gm5884","Gm5884",152,116,96,83,68,56
"Fdxacb1","Fdxacb1",95,122,103,153,122,70
"Rtkn2","Rtkn2",61,92,41,81,34,30
"Nmrk1","Nmrk1",280,267,263,472,240,210
"Iars","Iars",12707,14305,14711,18681,13244,14325
"Cpe","Cpe",13205,14971,15757,11936,6972,8472
"Nufip2","Nufip2",777,875,879,1860,1088,1025
"Aim2","Aim2",900,1282,1017,1609,920,1141
"Egr2","Egr2",328,340,401,79,30,28
"Jmjd1c","Jmjd1c",861,757,976,970,438,692
"Stk35","Stk35",896,1000,1108,1832,1228,1429
"Dusp8","Dusp8",112,74,127,12,15,38
"Wdr19","Wdr19",703,796,689,817,425,556
"H2afz","H2afz",7182,9754,7833,17404,11514,13479
"Rcor1","Rcor1",863,1125,1040,1246,508,477
"Sirpa","Sirpa",96325,104299,107693,97813,65711,71921
"Ankrd9","Ankrd9",131,135,82,245,195,213
"Bri3bp","Bri3bp",2028,2590,2017,4154,2858,3430
"Ankrd13b","Ankrd13b",669,759,714,565,328,467
"Tmem156","Tmem156",86,125,124,279,227,197
"Ndufv1","Ndufv1",7569,10133,8659,11867,8779,10233
"Ssh2","Ssh2",528,507,702,728,519,482
"Bicd2","Bicd2",1388,1835,1512,3308,2015,2246
"Smarce1","Smarce1",1542,1927,1576,2518,1752,1772
"Scarb1","Scarb1",4186,5614,4270,8749,6299,7142
"Chchd5","Chchd5",1312,1663,1598,2010,1292,1779
"Fgd3","Fgd3",470,606,517,627,591,475
"Ano10","Ano10",1600,1703,1807,2033,1407,1659
"Wdr20","Wdr20",867,893,875,1331,813,830
"Nsrp1","Nsrp1",277,347,299,557,357,408
"Card19","Card19",7794,9055,8658,6564,4881,5279
"Zc3h7a","Zc3h7a",448,654,664,1383,694,942
"Ninj1","Ninj1",15495,20272,17695,20901,14085,17679
"X1110032A03Rik","1110032A03Rik",155,98,94,167,150,120
"Snn","Snn",83,106,70,176,80,78
"Ccdc92","Ccdc92",123,155,112,214,173,240
"Gm9725","Gm9725",0,2,1,2,1,11
"Wnk2","Wnk2",0,13,0,53,5,10
"Rmi2","Rmi2",42,47,66,489,278,419
"Rara","Rara",407,770,579,492,342,396
"Dhx38","Dhx38",2768,3730,2784,6466,4535,5116
"Slc9b2","Slc9b2",0,0,1,0,0,0
"Parp11","Parp11",371,315,336,716,426,480
"Acd","Acd",1558,2061,1750,1805,1144,1400
"Cramp1l","Cramp1l",167,184,151,233,143,161
"Hpf1","Hpf1",470,450,563,1712,1104,1264
"Dnajc22","Dnajc22",156,215,205,321,248,293
"Ccdc138","Ccdc138",13,45,22,131,73,60
"Dnah10","Dnah10",0,0,0,0,0,6
"Wipf2","Wipf2",121,173,134,178,104,152
"Fam120a","Fam120a",1678,2214,2021,2922,1506,1847
"Rapgefl1","Rapgefl1",9,9,1,0,2,2
"Mindy4","Mindy4",178,264,190,166,132,183
"Atp6v0a2","Atp6v0a2",1815,2028,1943,3483,2720,2538
"Dennd4c","Dennd4c",2483,2498,2976,1628,918,845
"Phf2","Phf2",188,202,198,175,132,119
"Tigar","Tigar",736,996,898,2014,1592,1672
"Igsf8","Igsf8",8582,11025,9729,12812,9585,11369
"Socs1","Socs1",10,3,4,322,208,276
"Gcc2","Gcc2",339,392,383,475,249,330
"Ptpdc1","Ptpdc1",274,377,328,468,255,293
"Mrm3","Mrm3",481,532,486,738,598,619
"Haus6","Haus6",427,505,409,1038,439,631
"Dexi","Dexi",236,176,233,292,192,198
"Kmt2c","Kmt2c",999,1091,873,1070,672,599
"Nod1","Nod1",321,544,325,1511,983,1332
"Smim3","Smim3",650,786,667,1234,833,923
"Dlec1","Dlec1",16,11,5,28,20,19
"Mturn","Mturn",1474,2009,2051,617,413,448
"Csf3","Csf3",0,0,0,332,512,477
"Rnf144b","Rnf144b",1094,1166,1435,1019,662,596
"Cdkn2aip","Cdkn2aip",233,316,272,495,214,264
"Galnt11","Galnt11",823,1187,929,1360,993,1039
"Fkbp14","Fkbp14",143,160,175,171,66,76
"Tmem237","Tmem237",389,495,428,895,658,737
"Kdm1b","Kdm1b",574,712,606,996,549,723
"Opa1","Opa1",2360,3006,2855,4792,2657,2839
"Cnbd2","Cnbd2",42,44,49,80,32,34
"Atp13a4","Atp13a4",39,58,16,131,114,115
"Sbno1","Sbno1",2638,3109,3000,6852,3449,3557
"Trappc11","Trappc11",2725,3085,3051,4092,2698,2927
"Phf20","Phf20",1903,2299,1965,3912,2145,2456
"Fam210a","Fam210a",412,407,492,1179,709,871
"Tbc1d32","Tbc1d32",292,334,320,688,343,351
"Mphosph9","Mphosph9",87,139,37,373,150,204
"Ccdc50","Ccdc50",1087,1316,1265,3513,1927,2227
"Tmem181a","Tmem181a",1345,1737,1708,2051,1430,1742
"Stox2","Stox2",0,0,0,0,0,0
"Snrk","Snrk",1345,1842,1481,1050,653,699
"Cd84","Cd84",5751,6243,5798,5528,3029,3302
"Ormdl3","Ormdl3",657,763,624,992,633,573
"Prdm1","Prdm1",145,209,303,56,53,52
"Spon1","Spon1",0,0,0,0,0,0
"Atg5","Atg5",825,1167,871,1946,1349,1322
"P3h2","P3h2",0,0,1,102,80,115
"Pde4dip","Pde4dip",1338,1556,1398,2717,1739,1901
"Ttc39b","Ttc39b",635,624,844,1597,850,993
"Enpp6","Enpp6",24,25,32,28,4,11
"Fam126b","Fam126b",588,830,933,672,291,481
"Mylip","Mylip",1265,1616,1589,1207,715,877
"Slc43a2","Slc43a2",2115,2952,2485,3465,2453,2692
"Slamf7","Slamf7",867,815,974,1276,727,849
"Spag4","Spag4",194,275,187,237,129,163
"Chpf2","Chpf2",2638,3283,3259,3446,2366,3027
"Btbd10","Btbd10",469,513,588,1022,614,722
"Kcna7","Kcna7",32,37,26,37,15,40
"Asb10","Asb10",427,450,312,28,22,21
"Prkab2","Prkab2",112,136,103,129,122,120
"Fbxo8","Fbxo8",1015,1200,1134,1205,592,740
"Pgap3","Pgap3",139,176,223,111,70,86
"Mfsd14b","Mfsd14b",1803,2197,2028,3774,2257,2282
"Tapbpl","Tapbpl",248,342,248,935,649,738
"Bend3","Bend3",126,163,160,210,154,162
"Cep44","Cep44",506,530,493,640,383,452
