"","F-Value","Pr(>F)","IL10-Control","LPS-Control","TGFB-Control","LPS-IL10","TGFB-IL10","TGFB-LPS","diff IL10-Control","diff LPS-Control","diff TGFB-Control","diff LPS-IL10","diff TGFB-IL10","diff TGFB-LPS"
"Rpl19",0.480294743160644,0.702020488969807,0.780733218524048,0.860465554477255,0.999951115865721,0.998353722505238,0.8067809803584,0.881945739638937,1.1830344225,0.978752615000001,0.0630202275000009,-0.204281807499999,-1.120014195,-0.9157323875
"Eftud2",0.705133941123642,0.567089745837791,0.499802958474445,0.931037287112161,0.855922097125071,0.83283636424202,0.91462951108142,0.997148462552281,2.0193698375,0.836831807499998,1.11265397,-1.18253803,-0.906715867499997,0.275822162500003
"Hnrnpa3;Gm6793",0.759392042804935,0.538145672878728,0.47939371970211,0.960124634293486,0.939897164708835,0.758420330135095,0.799905092700129,0.999815488222568,1.265588525,0.418646577499999,0.485969545,-0.8469419475,-0.779618979999999,0.0673229675000009
"Cd44",1.75125944275798,0.209846488955028,0.690667370840607,0.99798498050455,0.232058151795314,0.787263651957855,0.796701869915474,0.298170691159898,-1.0065374375,-0.158772470000002,-1.8377771375,0.847764967499998,-0.831239699999998,-1.6790046675
"Set;BC085271",0.321352467553648,0.809867414286675,0.782304289206717,0.955610465218685,0.894525556113763,0.971042007365849,0.994706105104184,0.997285921111895,1.4317204975,0.770369054999996,1.0638339525,-0.661351442499999,-0.367886544999998,0.293464897500002
"Zdbf2",0.442005825693073,0.727247542764762,0.992113231401504,0.717331185783019,0.887912943597339,0.859814742655005,0.970214548491408,0.985247172108995,-0.368925569999995,-1.41125488499999,-0.953781129999992,-1.042329315,-0.584855559999998,0.457473755000002
"Clta",4.11215235374866,0.0319849886586532,0.128791137387423,0.0317302334080327,0.0762530990734416,0.84171563452214,0.988481591116421,0.955501487828917,-0.911451339999996,-1.2239489575,-1.03131056,-0.3124976175,-0.119859220000002,0.192638397499998
"Rpsa",1.13497950932194,0.374154894725439,0.550468145557486,0.94032778572712,0.384587088635176,0.859685194145472,0.989279678417664,0.699674116466563,-1.2540621775,-0.525185109999999,-1.540525915,0.728877067500001,-0.2864637375,-1.015340805
"Dip2b",0.271490779425075,0.844777322733963,0.997200646201081,0.970565766836884,0.932393414118227,0.918973862950417,0.858430279207738,0.998624448795452,-0.229071380000001,0.5138325675,0.694188114999999,0.7429039475,0.923259495,0.1803555475
"Epb41l2;Epb4.1l2",1.78867081854059,0.202832233643266,0.293510732959807,0.209709506179837,0.430245753126021,0.995379033271351,0.990790604673919,0.951478552177085,2.3849720975,2.68163109,2.0097858925,0.296658992500003,-0.375186204999999,-0.671845197500001
"Flna",2.0943225735877,0.154450354848258,0.235085080621408,0.659528026421465,0.16089690029784,0.82797594786566,0.994295385281574,0.694751537864007,-1.5565714875,-0.897823335000002,-1.74856901,0.658748152499999,-0.191997522499999,-0.850745674999999
"Anxa1",0.553211329888712,0.65568242760502,0.846069607157704,0.793480042520349,0.999843644979346,0.999532285354669,0.810227301273702,0.753916871830884,0.786247015000004,0.889665125000004,-0.0717081999999927,0.10341811,-0.857955214999997,-0.961373324999997
"Nap1l4",0.864826484686934,0.485890259659806,0.592246263882999,0.987234351909169,0.592246074497326,0.7785479978861,1,0.778547825819454,-0.933698652500004,-0.239270922500005,-0.933698890000004,0.694427729999999,-2.37500000110913e-07,-0.694427967499999
"Hnrnpa2b1",0.640113395708969,0.603648859281169,0.993472341010119,0.816502930141967,0.860971134844305,0.674528832229722,0.728556524579782,0.999676769567181,0.242038727500002,-0.815026997499995,-0.726955649999997,-1.057065725,-0.9689943775,0.0880713474999979
"Ddx3x;D1Pas1",0.778146953014604,0.528468816815321,0.999980874421883,0.989250558027553,0.58060794493785,0.985087858841996,0.559257355737384,0.757716580636795,0.0359621049999994,-0.301138160000001,-1.266227005,-0.337100265,-1.30218911,-0.965088845
"Rap1a;Gm9392",0.0746822058978542,0.972451946589603,0.990323189809558,0.990135782902832,0.999895192652033,0.999999997105564,0.982841428124043,0.982572653467422,0.240505217500008,0.242091655000007,-0.0525193199999912,0.00158643749999854,-0.293024537499999,-0.294610974999998
"Rps19",1.18594081731881,0.356281627539517,0.563867589021135,0.990898373398405,0.958457355168548,0.732357709399785,0.309550624088444,0.858580046151958,1.62109803999999,0.35622930249999,-0.605517862500008,-1.2648687375,-2.2266159025,-0.961747164999998
"Mov10",0.682255645933607,0.579720048908646,0.889941760699274,0.77882794543632,0.523630191570817,0.995028505087674,0.900835406188543,0.968855486601656,-0.946346522500004,-1.2614398025,-1.855207445,-0.315093279999996,-0.908860922499997,-0.593767642500001
"Qdpr",2.82805554117949,0.0834293927024579,0.96875480939478,0.401804986072119,0.60769468708536,0.651700979523568,0.365004540491625,0.0585069305078191,0.50783706,1.84204698,-1.4197235075,1.33420992,-1.9275605675,-3.2617704875
"Rps5",3.2709960904233,0.058981164901588,0.854240262130579,0.89969951807916,0.155523617170803,0.475037833966784,0.47247174795725,0.0494110759298654,-0.839282752500008,0.724035024999989,-2.40755343250003,1.5633177775,-1.56827068000003,-3.13158845750002
"Acsl1",1.45378087821955,0.276297881502961,0.935311198875971,0.787313201143259,0.744008719307762,0.984360268599269,0.415465958446463,0.259403763568706,0.6139812475,0.984258412499997,-1.069094895,0.370277164999997,-1.6830761425,-2.0533533075
"Eif4g1",0.999639121525624,0.426370291671846,0.746879892525921,0.995109732202068,0.448023089980016,0.864772666244713,0.951196479235458,0.58032919576792,-0.829791547500005,-0.194037200000004,-1.26177764,0.635754347500001,-0.431986092499997,-1.06774044
"Usp14",2.60199479996549,0.10029169050651,0.954717320671227,0.890641565525691,0.092235204093476,0.997016984680489,0.208752594293601,0.279489258040848,-0.413742300000003,-0.57529139,-2.109485625,-0.161549089999998,-1.695743325,-1.534194235
"Cadm1",0.051568913443002,0.983786953979303,0.999882409767542,0.999771188592153,0.989970337346667,0.998674016902132,0.981980638617899,0.996178975187479,0.0938255800000007,-0.11718273,-0.418577667499999,-0.21100831,-0.5124032475,-0.3013949375
"Psap",0.146504598060056,0.929946529994218,0.998386759314529,0.999796110346833,0.969622718794307,0.999796831569104,0.928213849875849,0.951431429428117,0.153083797499995,0.0765871974999968,-0.418038845000002,-0.0764965999999987,-0.571122642499997,-0.494626042499998
"Gm20390;Nme2;Nme1",0.28270199704582,0.836923101448125,0.838018906429644,0.878839322132849,0.922824909099583,0.999704009882888,0.996540710231678,0.99937797451633,0.966266632499998,0.859460827500001,0.72253847,-0.106805804999997,-0.243728162499998,-0.136922357500001
"44811",1.18046703836292,0.358157040604565,0.981373986148077,0.998560724199324,0.444022138562085,0.950129633327428,0.656024699463821,0.365475354587378,-0.312841177499994,0.130907535000002,-1.2923061875,0.443748712499996,-0.979465010000002,-1.4232137225
"Apob",4.20668293193759,0.0299641660362705,0.0343885045230689,0.682451034484683,0.995549574825126,0.220546605217408,0.0511479808543163,0.807483464637375,-3.50578403499999,-1.23740959499999,-0.251809119999994,2.26837444,3.253974915,0.985600474999998
"Psmd13",2.46702957039746,0.112208688504243,0.288143868074892,0.975509968963423,0.154331303688592,0.486541268910149,0.974505294557988,0.285790025569042,-1.457374575,-0.319424865000002,-1.7813470375,1.13794971,-0.323972462499999,-1.4619221725
"Itgam",0.295268745788102,0.828117637314293,0.990040131212636,0.830859848256821,0.999870096555418,0.945646461238743,0.995415118173114,0.862980626482698,-0.3134701275,-0.883011342500003,-0.0728147050000025,-0.569541215000003,0.240655422499998,0.810196637500001
"Ahnak",0.385258673162224,0.765610548969142,0.776653951614763,0.802900198897551,0.932290357210304,0.999950959533582,0.983002505782379,0.98900174317661,1.449706315,1.373022795,0.900261162500005,-0.0766835199999996,-0.549445152499999,-0.472761632499999
"Dst",1.88971297340911,0.185166169179103,0.718385394416909,0.140353521256137,0.512224901350568,0.585121622765538,0.98360082011069,0.787689294711852,2.00406742,4.442988635,2.6791424725,2.438921215,0.675075052500002,-1.7638461625
