"","F-Value","Pr(>F)","2-1","3-1","4-1","3-2","4-2","4-3","diff 2-1","diff 3-1","diff 4-1","diff 3-2","diff 4-2","diff 4-3"
"Fasn",0.797727246828226,0.518544034571283,0.456053167476656,0.952160575357784,0.922940815372158,0.75304862639537,0.805950361393315,0.999616664988885,0.4864253975,0.166968342499999,0.199069972499998,-0.319457055000001,-0.287355425000001,0.0321016299999997
"Mat2a",2.64322245548389,0.0969448571945319,0.480187659115513,0.99999977094971,0.148628360780506,0.475569154362696,0.834442023624213,0.146646813204341,-0.580615045000002,0.00331950249999835,-0.911124230000004,0.5839345475,-0.330509185000002,-0.914443732500002
"Atxn2l",0.929648682070503,0.456285678386974,0.997821736406663,0.652030094127166,0.971118164849594,0.754062332290945,0.925196807037391,0.408292748917908,-0.114815235000009,-0.751704455000006,0.278391837499992,-0.636889219999997,0.393207072500001,1.0300962925
"Mapk3",2.48283138113982,0.110732994946268,0.993876023620565,0.999949065695455,0.147895779770473,0.996837969864238,0.219201356780906,0.160356530634631,0.0886726350000018,0.0177927000000011,0.806856630000002,-0.0708799350000007,0.718183995,0.789063930000001
"Ppp4c",0.861037284056316,0.487679077772317,0.487583449061837,0.578117850942152,0.756357691299939,0.998476245702833,0.964238076317996,0.989068047644334,0.859528302499998,0.765888449999998,0.583289144999998,-0.0936398524999991,-0.276239157499999,-0.182599305
"Bub3",0.426328335543796,0.737737466944386,0.947742965605412,0.917362795728708,0.681357471027683,0.999621516206134,0.934135942979651,0.960532946873073,-0.702204944999998,-0.832387447499997,-1.4667925825,-0.130182502499999,-0.7645876375,-0.634405135000002
"Spcs2",0.607279109954716,0.622886680530054,0.822054359581023,0.999982937703669,0.753618674612718,0.804356111956379,0.999136959685129,0.734028216339746,-0.621778727499999,0.0255017275000018,-0.716327667499998,0.647280455000001,-0.0945489399999992,-0.741829395
"Tyrobp",0.721170245982865,0.558387592495988,0.808301381256275,0.628329800758295,0.567279272368247,0.987709185692161,0.972471635194253,0.999562615961962,-1.65116954,-2.248911145,-2.442694425,-0.597741605,-0.791524885000001,-0.193783280000002
"Ptov1",4.11302614048113,0.0319656006349764,0.624385048482673,0.995302940021221,0.0365091315426265,0.757243818772356,0.268268695338202,0.0546594096848827,-1.715581895,-0.326530932500003,-4.4156258125,1.3890509625,-2.7000439175,-4.08909488
"Dhcr7",0.364893411300353,0.779616143281839,0.933385356529166,0.972719228239723,0.983795534946955,0.998389560620977,0.781690138535133,0.86073545896149,0.311276675000002,0.225536345000002,-0.187989234999998,-0.0857403300000001,-0.49926591,-0.41352558
"Psmc4",0.106453434385757,0.954708070940255,0.97820922786106,0.950378972910073,0.996945440041608,0.999084076070098,0.997298553621153,0.987258837451674,0.188092232500004,0.252119545000006,0.095994950000005,0.0640273125000022,-0.0920972824999993,-0.156124595000001
