X,BV2_control_1_cell,BV2_TGFB_1_cell,BV2_IL10_1_cell,BV2_LPS_1_cell,BV2_control_2_cell,BV2_TGFB_2_cell,BV2_IL10_2_cell,BV2_LPS_2_cell,BV2_control_3_cell,BV2_TGFB_3_cell,BV2_IL10_3_cell,BV2_LPS_3_cell,BV2_control_4_cell,BV2_TGFB_4_cell,BV2_IL10_4_cell,BV2_LPS_4_cell
Anxa1,18.88414001,18.66427994,19.98718071,17.95668221,18.98776436,19.39878464,20.58792686,18.7079258,19.90929604,19.51918411,20.86733055,17.87026787,19.12340927,19.74050522,20.33864975,18.44673538
Ndrg1,18.75139999,15.9677887,19.91807365,16.03342247,19.12227249,19.03555679,19.84386635,16.53645897,20.23561287,18.80634117,21.54297638,16.08984375,19.49580002,19.58187294,20.70277786,13.31140137
Osbpl8,17.31822586,16.32115364,18.54525185,17.11816978,17.47919655,16.42729568,17.72633743,18.20127296,17.63594437,16.90124321,18.48140526,16.74910927,16.52737045,16.39070702,17.26865196,17.13330269
Qdpr,16.85841751,16.3052063,17.08711052,16.66788864,16.88952827,16.6660862,18.18659782,17.41129494,17.80681419,16.87819481,18.4093914,17.01203537,17.4472599,17.41913795,17.63012505,16.74004364
Arap1,14.15061951,12.89804554,15.80251598,16.05951309,14.29591274,13.05097103,15.48163319,16.60329247,14.68573475,14.53126812,14.96317291,15.19694805,13.42362881,14.60420609,15.87387657,15.82816124
Setdb1,18.12666321,18.41707802,17.61762619,20.38521767,18.5968895,17.97101593,15.35269547,21.22434998,18.83651924,17.87903214,19.98008347,20.20490456,18.36529732,18.28405571,17.76920509,20.39288712
Acsl1,16.38517189,16.25222206,17.23444366,17.77661324,16.20752907,15.80823517,17.27794075,18.74149323,16.54201889,15.88860035,18.01105309,17.57496262,16.04804039,16.03630257,16.99556923,17.26901627
Tpd52,18.9345665,18.94500923,19.90980721,16.3537159,18.49740028,18.36755943,19.93747139,19.00796318,19.36161804,18.41749001,21.01188469,18.21247673,18.76425552,19.0340519,19.51439476,17.67604065
Gls,16.56222725,15.44385052,15.66216755,15.8283844,16.54901695,14.51428127,12.79231262,16.61223412,16.66275215,16.00967598,14.26883698,16.5024128,16.82426262,15.63043785,13.60508633,16.82189941
Abhd12,16.12238312,17.33498955,16.39864349,16.96443176,15.66491985,17.22966385,13.94696903,16.9924736,16.49302673,18.02647972,16.66871834,16.33345222,16.5999279,17.40407753,16.52012825,16.09286118
Npepps,17.24720383,16.67617798,17.84113503,17.80511475,17.08648872,16.72067261,17.9031868,17.43493843,17.65885353,16.86592674,18.76923752,17.0502739,16.0431118,17.31884193,17.91467667,16.53244781
Ahnak,21.32377625,20.44849205,20.87612724,20.00278282,21.63635254,19.7803669,21.06493568,20.97854805,21.90705109,20.62889671,22.47154617,20.35541534,21.36565018,21.27497673,21.42136765,20.0609169
Myo1e,17.21788216,14.97015095,15.91891003,13.62422466,16.14374161,15.56125832,17.04889107,14.4126358,15.1109724,15.39261913,17.06350136,12.99481487,15.56777763,15.30702305,15.98735237,13.1994772
Ctss,14.42644596,16.84757042,17.23369408,16.29055977,16.27661514,16.39240074,16.41119576,14.4438343,16.72174072,16.3669548,17.52993393,15.93525696,15.17578316,17.43518257,16.86266136,15.8225956
Bak1,16.80511475,17.95304871,16.71772957,17.71390915,16.83071327,17.14946938,13.95036888,17.36367226,17.14001083,17.51622391,16.15989113,18.09202385,17.35112953,17.13280106,17.097229,18.02133751
Ahnak2,17.21769333,18.16049194,17.52764511,18.32799149,17.77815437,17.57983208,17.52106285,18.22881889,17.55794144,17.89864922,18.74658585,19.24237442,17.83083725,17.87867355,17.95492363,18.47163582
Ncf1,17.40074539,18.24223518,18.74560165,19.22055244,17.20590782,19.24039459,17.97039795,18.09764099,18.25801468,18.67407417,18.99849129,19.16751671,17.96741676,18.341259,18.26915359,18.69791794
Spp1,18.36521149,18.73905563,19.53235245,16.12064362,18.5042057,18.70222092,18.03633499,16.04857254,17.5439682,18.87318611,19.84946632,17.34256172,17.67899895,18.89299965,18.87234497,17.41584015
Serpinb6;Serpinb6a,18.44139671,18.48302078,18.61751747,18.14504623,18.27598763,18.51356506,18.54381752,17.95781708,18.58908081,18.34931564,19.37122345,17.7796936,17.96538925,19.30983543,18.42836761,17.99014854
Tra2b,13.43502331,16.6617775,17.04761314,17.2765789,14.18153572,18.20079231,16.90312958,17.16359138,13.96260452,18.20179939,14.76311684,17.20007515,17.42938995,17.76661873,17.08938789,17.21665192
Ctsa,18.87609673,19.87017822,19.6937561,19.57294846,18.35737228,19.78921509,19.11753654,19.77098083,19.40420151,20.37220192,19.89365196,18.39079094,18.87201309,20.42326736,19.42971802,19.16277885
Mtss1,15.6128397,15.64751434,16.66233444,14.60917854,15.3625946,15.4493103,15.84473038,14.47706223,16.95685196,15.79083252,17.6580162,15.50509834,16.17311096,14.86549187,16.85817528,14.7875967
Psme2,18.57710457,17.23734093,17.20943451,18.9726162,18.0745697,17.36247444,12.65769386,20.06500053,17.88434982,15.37812519,14.9312458,19.13611031,16.73277664,17.99777412,17.39489746,18.87180328
Idi1,13.34788418,13.91242313,16.094841,16.05146408,15.0156765,15.90564537,17.08545113,15.87644482,16.83034134,13.39160919,17.56569672,16.19387245,15.31953144,14.32091713,17.01388931,15.66830349
Atp2b1,17.0372467,16.59283638,17.20933914,13.36899757,17.29463959,16.45821381,16.32734299,16.56838608,16.94169044,16.78634644,18.06707764,16.04454422,16.57471085,16.85050392,16.88405037,13.5514307
Cyb5a,16.64624977,14.22317219,16.4935112,15.72139263,14.51372719,14.58249474,14.07322121,19.1498661,14.70428181,13.41204071,12.92714787,14.84597969,14.19005585,13.18028259,14.32108212,17.78180885
Esd,20.32212639,20.45573235,21.30491066,22.61739731,20.43104362,21.83302498,21.45648384,21.70358086,21.18046761,21.55501366,22.00699806,22.36508942,21.07025146,20.95119858,21.13520813,22.13630486
Adssl1,16.46933937,18.16643715,17.64990234,15.9724865,16.8294754,19.45597267,17.62335205,16.23999023,17.18766212,19.54732323,17.93427849,15.94045162,18.85744667,19.40434837,17.65885353,14.98948288
Bsg,16.22817993,15.64041424,15.30078125,15.46945095,15.96088409,15.53025436,13.82916355,16.09895706,15.21158409,15.48683548,14.04638863,13.79249573,15.70163155,15.41409016,13.61347675,15.65180874
Dpysl2,16.70994568,17.52129364,17.75401306,17.0625515,16.71357536,16.98136711,18.2789402,17.76642609,17.81083488,17.34186554,18.91992188,16.77094841,17.63119125,17.87315559,18.15254211,17.06381607
Casp6,14.35940647,15.05570602,16.13004684,15.05998898,15.81743336,13.83006287,15.88094616,14.00799084,15.17289639,15.36040115,15.60666561,13.95773697,14.71772957,15.19533348,16.00417709,13.52024841
Prkcsh,16.55906296,18.86852074,16.42752647,18.82096481,17.05949211,19.54771996,13.95468235,16.63282394,16.87687683,19.78455734,17.04974174,19.73966599,18.98931694,17.69947815,16.36823273,18.05446625
Prdx4,20.97351265,21.12571907,21.56467438,23.38640213,20.67710686,21.07077599,21.70944023,22.96141052,21.04426956,20.14606667,21.94824409,22.25352478,20.05867386,20.40259933,21.48143578,23.19022369
Sdcbp,13.51631546,13.03161526,13.3841095,13.26096344,13.51965618,11.84877968,15.30509949,14.15595913,13.05648518,12.19337177,13.48167324,13.97360802,13.88213444,13.25263596,14.00734615,14.60813904
Psmb1,17.6714859,18.33603668,18.46845627,19.17252922,18.44560432,19.27589798,18.90239334,18.42664909,18.28079796,19.00599098,19.7195034,17.86870193,17.81020737,19.04556274,19.1705513,18.61468124
Gsto1,20.96324539,20.43766212,20.46473312,19.98217392,21.03711319,20.8536911,19.70105171,20.23934746,20.94220543,20.59996033,20.3231163,19.29815674,20.03630829,20.38015175,20.09918404,20.1639843
Rpl21,19.22135544,18.16820145,18.84404945,20.03898811,19.0564003,19.83445168,20.53999901,20.1316967,19.48451614,19.05189323,20.06039047,20.62863159,19.44667625,18.73796654,19.42996216,20.89881134
Gclm,16.24075317,17.58644485,17.73978043,18.90815163,16.9560585,17.0111618,17.47801208,18.54238129,17.48053741,17.5478878,16.39136124,19.13415527,17.26306725,17.05016708,17.13500786,17.52114105
Scarb2,15.30228233,15.85065079,15.04827404,15.56417942,14.97333908,16.54757309,15.54218578,16.21869659,14.72312737,16.31808472,16.23185921,15.17866516,15.40889359,16.81978035,14.64908791,15.24023247
Ddt;Gm20441,15.06760216,14.79243469,16.26413155,14.77143764,14.47161198,15.7298069,15.4116106,14.60559559,14.64993,15.3276577,16.4584713,15.15545082,13.74327946,15.24915028,14.83229637,13.8780508
Npc1,15.6504631,15.00553703,16.12708664,15.487463,16.12125015,16.50421333,15.74065018,14.45187759,16.16545677,16.50430679,16.00915146,14.89472294,15.85652256,16.79004288,16.26336098,15.46020031
Anxa3,19.29113388,18.49615097,18.90374565,18.05011368,19.31274033,18.41983604,19.58563805,18.72992516,18.81547165,18.63264656,19.58679199,18.08353043,18.32882309,18.66275215,18.80410576,17.9533329
Psmb10;MECL1,14.5541687,14.16443539,14.67606735,15.13418579,15.45037365,13.9262085,15.56370258,16.53764343,14.88116169,13.85919571,15.6141634,14.82858276,14.39265251,14.51643848,16.49348068,14.4893465
Copb2,18.11766434,17.52711105,18.57300377,17.47413445,17.49083519,18.04238701,18.58534431,17.90724182,18.2032814,18.09584045,18.40934944,17.55067253,18.29468346,18.15906334,17.81903076,17.59273529
Rpl35a,18.86117744,18.59707069,17.26407623,18.61938095,18.26279259,18.69040108,12.68077087,20.39790916,19.5243206,18.34780312,15.71791744,17.50533104,19.28378487,18.87222481,17.16388512,19.49886131
Gnpda1,18.45012474,19.86489868,18.57938957,18.64674187,18.14101028,19.22213364,18.61927414,18.13380432,19.2307663,19.23857689,19.01565933,18.40851974,18.79372978,19.22665596,17.75870514,17.93841934
Lgmn,19.75912666,20.81644058,21.55196762,20.88166428,20.34516335,22.25479507,21.18331718,19.98008347,20.44828987,22.07028389,22.40556335,20.6413002,21.44111252,21.06276321,21.74147606,20.19087029
Hprt1;Hprt,18.73145103,18.16182137,19.93135262,19.15276527,18.88845825,19.81199455,19.98773575,18.2931118,19.33836555,19.20423698,19.64339828,18.72060585,18.42176819,19.49515533,19.44437218,18.85771942
H2-K1,15.62890148,16.53566933,17.9296627,18.85209084,15.75083828,16.86266136,16.72800064,18.62313843,16.90242195,16.24263382,18.0270195,16.99214172,16.13554955,16.07374382,16.47538567,17.91093636
Fabp4,16.7600708,13.84401894,19.06268311,15.55269909,15.62978363,15.3837719,18.91453171,15.91256237,17.50106049,15.19140625,19.69086075,15.21988678,16.88285828,15.81480789,19.30817032,15.9190731
Tgfb1,13.54140472,15.71756935,15.08777046,15.87572575,13.47699642,16.08547211,13.79627895,15.47807407,14.4694767,16.15920067,15.68101883,16.33490181,14.42043114,16.30156708,13.9021244,13.35486221
Saa3,13.97480965,15.87125587,16.0086689,17.27939224,14.23955727,15.95726109,13.92541504,16.92763901,14.09932804,13.78234005,14.4364233,17.83904457,13.20401192,13.15183163,16.50197792,17.30358505
Aldoc,18.86495972,20.14370155,19.61286545,18.82814217,18.69084358,19.54213715,19.56322289,18.91143227,20.19604492,19.90856361,20.37718964,18.42636299,19.90393829,19.98607063,20.14320374,18.60414696
Got2,18.10896301,19.0340519,19.23978996,17.69676399,18.79623604,19.00409889,19.58264542,18.10077477,18.92146301,19.02158165,19.88317108,17.54026413,18.76415825,19.17062378,18.8399353,17.29086494
Me1,13.65161228,13.58618832,13.891119,14.37055111,13.44617844,14.35913181,13.99929523,14.65815544,13.82087708,14.39272022,14.39097214,14.79897785,13.84715557,13.33565617,14.33448315,14.21514225
Anxa2,19.91838074,19.93243408,20.93423462,19.8693943,19.65810394,20.44374466,20.90683174,19.58209419,20.72033691,20.4793148,21.66431618,20.07835388,21.00573158,20.39393425,21.1675415,19.86329651
Hsp90b1,21.07424355,21.75429916,21.47367859,21.73102951,20.79209518,21.587286,21.50542831,21.09016418,21.24312973,21.90587807,22.00877762,21.55749321,20.99893188,21.41890144,21.30173302,21.63582039
S100a10,16.75955009,17.98186874,17.93548775,17.97454834,17.45450783,16.6669178,18.66462708,17.77552032,18.41270256,16.63197327,19.59379196,16.37177658,17.98119926,17.37364769,18.40603065,17.56368828
Apoe,18.51117325,20.73562241,19.82979965,19.09062958,18.98584747,19.6417942,19.50109863,19.16981697,19.15528679,20.75246239,19.88897896,18.13676071,18.76923752,20.73859406,19.23137665,18.77143097
Mdh2,20.79883194,20.67719269,20.87522697,20.89200592,20.79336548,20.57283783,21.02675056,21.17517662,20.7282486,20.2406292,20.79018593,21.34380722,20.53592491,20.56811142,20.567276,20.81753349
Gnai2,18.34104156,18.93470955,18.84542847,18.08098412,18.17942238,18.62984085,18.48278427,18.24395561,18.26283836,18.66934204,19.35378075,18.47915649,18.48652077,18.8189373,18.42632294,18.35328484
Lyz2;Lyz1,16.23095894,18.63310814,16.29697037,19.08147812,15.18956661,17.27221107,16.15655708,19.16113281,17.40474319,18.02847862,17.73780251,19.73595238,18.44641304,16.53081703,16.41603851,19.04494858
Ncl,21.87301254,21.42608643,21.01807976,21.72083855,22.44002342,21.09777069,21.00195885,21.95027351,21.52821732,21.26859474,21.45703697,21.73797607,21.58311462,21.26120949,21.05245209,21.48084259
Sod2,17.16888809,16.89023972,17.64406776,18.33525085,17.38228607,17.55988503,17.54154968,18.04137039,17.1041069,16.59939003,18.41055107,17.43216705,16.9466095,17.52366829,17.36144638,18.54374123
Ctsb,19.64186478,20.59750748,21.04780006,19.92538071,18.61173058,20.35369301,21.05152321,20.28568268,19.185606,20.1157856,21.31462288,19.87821007,19.63583946,20.30863762,20.33603668,19.65670776
Gstm1,19.36198235,20.08990479,20.67796707,21.70349693,19.1577816,20.46692467,21.30089569,21.44445229,20.97323227,19.6992569,20.6906395,21.82590103,20.78668213,20.33352661,20.26270103,21.98071098
Oas1g;Oas1a,15.50565624,14.53739452,17.5810833,18.45193481,15.80863762,14.22487164,16.11323357,17.76454735,16.65843391,13.53157806,17.61654854,14.6892786,12.98359585,15.92200375,16.9751091,17.89041901
Gsn,20.68200302,21.66044617,21.4552803,20.36794281,20.4913044,21.11005974,20.92281342,19.92291451,21.84122658,21.68401718,22.31010818,20.8016777,21.76093102,21.62520027,21.65909767,19.92395973
Rps16,20.84605598,19.93315506,19.9859314,19.91349411,20.417202,19.93416214,20.08990479,20.69956207,20.86022377,19.96648788,20.3264122,20.47397614,20.24004555,19.84478569,20.08692932,20.08381653
Anxa6,17.57052231,18.60700607,18.95077324,18.09825897,17.75714302,18.66622353,18.70654297,18.18558121,18.75417709,18.88399124,19.7971859,17.88595772,17.58695793,18.54634476,18.72027016,17.85787201
Hmox1,17.87969017,17.74254608,20.93200111,19.82775497,17.85890388,18.83778191,20.16594696,20.40093422,18.56800079,19.2310009,21.04600143,19.38971901,18.40216255,18.93907928,20.2873745,20.04992867
Glul,16.79322243,15.8967104,16.96273804,12.69511127,17.03617287,16.72307396,15.20078373,14.81083107,15.61921692,15.62462425,15.30331707,14.44395447,15.33995438,15.97618389,16.02098083,13.30493355
Lgals1,20.49198914,20.63342857,20.75319672,19.82787895,20.53497505,20.47199249,21.0685482,19.58767128,20.9642334,20.65613174,21.06157684,20.03671074,20.27900696,21.06953049,20.78276825,20.40966034
Lgals3,21.07391739,18.10972786,21.25787544,17.50804138,20.04193115,18.32263184,21.84080315,18.85419273,20.02458763,17.77834702,20.25118637,17.42028999,20.11540413,19.51252365,20.51854897,18.91040802
Ass1,16.2031765,16.4511795,16.48453903,18.97317696,16.43342209,17.66705704,16.17451668,18.18218994,15.89652157,17.21788216,16.60796547,18.13545799,16.09248924,17.15837288,16.0873394,18.12611008
Lamp2,17.01268959,16.7534256,18.00722504,17.54540253,17.48785591,18.09254074,18.63417244,17.58314133,17.46809959,17.20160675,18.43110657,16.54359055,16.34687805,17.98365021,18.06007385,16.53759766
Ap2a1,16.77198029,16.43054962,17.78212738,16.83812141,16.9263649,16.92207336,17.74897957,17.3860817,17.30990219,16.69750977,17.88655472,15.98165607,16.36163521,17.36581039,17.37041473,16.43037033
Ap2a2,15.4448204,14.45462036,16.9950161,15.20254517,16.20024681,15.42649364,16.88857651,15.590909,15.51533031,13.51428413,15.29171371,13.7267561,15.66258526,15.62096405,15.91893291,13.11560059
Gba,18.66546059,18.87513733,18.01916695,19.2258091,18.96129799,19.83510017,17.86326599,19.53814316,18.05361748,19.83267593,18.0503273,19.91491127,17.33018112,19.04790688,17.6988678,18.89447975
Selenbp1;Selenbp2,16.53715706,15.76006985,18.11953926,14.01767826,16.4758606,16.30265617,18.28093338,14.33273602,18.75051689,16.77416992,19.1258831,15.25185204,19.16548157,16.5063858,18.29965591,14.57104111
Tpi1,21.80191422,22.03872108,22.13914871,21.41910553,21.5237751,22.15003967,22.26413345,21.75690651,22.37254715,22.01096344,22.18830681,21.64486885,22.12126732,22.08786774,22.23943329,21.57759285
Gstp1;Gstp2,19.16191864,18.75192261,19.46023941,19.43151474,19.19899559,18.64572144,19.53351212,19.58213043,19.51416397,18.79265022,20.56746292,19.78303909,19.23713112,19.24476814,19.82203865,19.67733002
Cox4i1,18.53168678,18.93658066,19.86387253,18.58501434,18.25852013,18.34503174,20.7803669,19.68903542,19.28926659,18.18122101,19.32647705,18.21081352,18.51580048,18.15120506,19.48640251,18.81925011
Hspa5,21.44939804,21.74657059,21.84003639,21.45427704,21.43389893,21.24080276,22.221138,21.94870567,21.40098572,21.49969864,21.96250534,21.43058586,21.31478882,21.63356018,21.74205208,21.80581474
Hexb,16.24280167,17.53077126,17.07785797,16.42542839,17.1201973,17.33263016,17.95310593,15.71231174,17.33437729,18.70428276,18.1696701,16.554245,16.67424774,18.59739876,17.95390129,15.90517521
Prdx3,17.91543579,17.57953644,18.02209663,18.08824921,18.6127758,17.32228088,18.44503975,18.9665451,18.18432236,17.34957504,18.62006187,17.99346924,17.6667099,17.7250061,17.78193665,17.98270416
Vim,23.11135101,23.16401482,23.76577377,22.70588112,22.92632866,22.87308884,23.9392128,22.75896072,23.37636757,22.83377647,23.96595955,22.67648315,23.71837425,23.39584541,23.919981,22.80996132
Mfge8,16.67535019,17.29095459,17.72587204,18.86625862,16.93560219,16.84450912,17.92931557,18.84601021,17.75707817,16.84597969,17.77474785,17.85756874,16.22644997,17.19113541,18.05563164,18.85817528
Ap1g1,16.10322571,16.58105278,17.48597145,16.97723579,16.37726212,17.05547333,17.33786583,17.38742828,17.13490677,17.22769165,18.34888458,16.77828217,17.0712738,16.75942039,17.51529884,16.91730309
Pnp;Pnp2,18.52848434,19.15829849,19.94392204,18.68212318,18.46610832,18.83682632,20.08666992,18.88309669,19.35988235,19.35431862,20.76652336,19.107687,18.3440361,19.51795387,19.31990051,18.29122543
Glb1,14.47744179,15.53116798,15.06730843,15.45114708,14.80074787,15.34207439,14.61235046,15.72656441,15.05210114,15.61758232,14.84509754,15.92499828,13.52132511,15.47566986,14.88312054,14.68885136
Cat,17.24349022,18.14872551,19.14165878,19.9779892,17.04878426,18.6403656,18.91207695,19.76127243,18.72050476,18.3610611,18.66947937,19.05478477,18.47084236,17.83707428,18.67186546,20.18422699
Tln1,18.94974709,18.29768562,19.18611336,18.68130112,18.85765839,18.40673637,19.46187973,19.07253075,19.45285988,18.56777763,20.41359138,18.42033005,18.91496849,18.95063019,19.42123413,18.33494568
Msn,20.73372078,21.52707291,21.19056892,21.93131638,20.56411552,22.00415421,21.06019211,21.31135559,20.9349556,21.86287308,21.26051903,22.15196037,20.98509789,21.50494385,21.18198395,21.63847542
Pdia3,21.95517921,22.40719795,22.62638283,21.93034172,22.21014786,22.14920235,22.40436745,22.17682076,21.88888931,22.23137093,22.32709694,22.13232422,21.75861549,22.46650124,22.42508698,21.71175194
Marcksl1,16.23230934,17.88536263,17.2575531,18.86420441,17.22609138,17.4803009,13.75659847,18.57300377,16.67120934,17.44911575,13.94867325,17.0231266,17.41650009,16.72400665,13.65653038,17.47492599
Hexa,14.97297955,16.50512886,16.77815437,16.05708122,15.84933186,16.58912468,18.98359489,14.66343594,16.4600563,17.02788353,17.49012947,16.34667015,16.17195892,17.1582737,16.20640373,15.53991604
Casp1,15.69106197,16.51928329,16.99755478,16.79182434,16.20187569,16.37710953,16.70859909,16.79093361,16.51026917,16.25150108,17.93663788,16.02749634,16.29426193,15.53132057,16.89225769,16.5130024
Scp2,16.13490677,15.78217888,17.28002739,15.35249138,14.93525696,15.55257893,17.26425934,16.47951126,16.60411835,15.61157227,17.61302757,15.63529301,15.31164169,16.02136993,16.98392868,16.16628075
Prdx1,22.22640991,22.42111206,22.83298492,23.76405334,21.86045074,22.05318069,22.59541321,23.66828156,22.10139656,21.41941452,20.17414093,23.7039814,22.14030457,22.03496552,22.73799515,24.28347969
Ptpn1,14.27073288,14.095397,16.38275909,15.17301369,13.6785202,14.59170246,18.26265526,17.54162598,14.63428211,13.51694107,17.02355957,15.78672886,13.43854618,14.69462967,15.24388027,15.18812561
Por,17.55674553,17.10523415,19.09462929,19.27063751,18.34737015,18.30639076,18.5788002,19.39738655,18.32179642,18.27834892,19.35530853,18.85665703,17.70083237,17.49973679,18.45735741,19.73752213
Hmgcl,17.80719185,16.38066483,17.56807518,14.52196884,16.95753288,15.51690006,16.88094711,16.52820969,17.5290947,16.05101776,18.21953773,15.22614861,16.39201546,16.55921364,17.60754776,15.07773399
Hspa9,21.0673008,20.35831642,20.30507851,20.72691917,21.07939529,20.19736481,20.31672287,20.97239113,20.64253426,20.17609024,20.45633507,20.8931179,19.98175621,20.36356544,20.26373291,20.64473724
Cd9,18.58424377,18.68236351,17.5629425,17.76907539,18.78742981,19.55779266,19.07501411,17.65682983,18.08046341,20.2406292,20.23794746,17.25174141,17.80932808,18.79277802,18.75766373,17.7534256
Akr1b8,14.99863434,14.99757671,16.80435753,17.94312096,15.55671597,16.84696007,17.08762932,16.73991203,15.94129944,16.4550705,17.04825211,17.26599884,16.59003067,16.04322052,16.92879677,17.95917511
Acadm,16.95446968,17.69492912,17.36050415,15.94747734,17.74379539,17.22693825,16.63325119,17.09197235,17.81871986,16.8625412,18.27721405,15.44203663,16.88237953,18.04606819,16.78379059,15.79146862
Gsr,15.72003078,15.95866585,17.58541679,18.75844383,15.95253658,17.17650414,16.18119049,19.19472313,16.69723892,16.83343315,15.93849945,18.40934944,17.19161797,13.16946125,15.89609623,18.72903061
Syk,15.57964039,17.027668,17.21162224,18.76781654,15.46754169,16.52417374,14.9724865,19.04692078,15.81282902,15.57474136,17.68722534,16.71679306,16.59153748,16.32377625,16.2133503,19.10441399
Ahcy,17.50680351,16.73251152,17.44013977,16.38491821,17.55172348,16.40620422,17.46371651,17.01748276,17.07702446,16.17199707,17.72380829,15.73761749,16.36168671,16.91765213,17.10502815,16.05875206
Atp6v1a,20.61629677,20.49619102,21.03744698,20.94442368,20.58655357,20.7833271,20.96684074,20.72633743,20.70210075,20.60792542,21.70484734,20.65569496,20.66942787,20.75082779,20.9717598,20.81940651
Pa2g4,20.18785477,19.00519753,19.54877281,19.20445251,20.43308449,19.02480507,19.46736336,19.4367485,19.73333931,18.98061371,20.13307762,19.07177162,19.46391487,18.91380119,19.17194366,19.38582802
Hdgf,20.36879539,20.38131523,19.93107796,19.63583946,20.70682907,19.76469421,19.67479897,19.73976326,20.22293663,19.93560219,19.3736248,19.76062202,20.24411774,20.07287025,19.89179802,19.91277885
Rab2a,16.67300606,16.48461914,17.11288834,16.44976044,16.61984825,16.78225517,17.05896378,17.1683979,16.60335159,16.73529243,18.59892464,16.07219505,16.19976807,16.69791794,17.24079132,16.51127434
Stom,15.85683918,16.00371552,16.95299149,15.72855854,16.01754761,15.21112823,17.59747124,17.45386505,17.02225876,15.75527859,18.38540649,15.87967873,15.5562067,15.78560543,17.27275658,16.07282257
Erp29,18.32250023,19.30694771,19.17167473,18.65302086,18.70018959,19.4113369,18.9851532,18.16834831,18.98773575,19.24051094,19.64368057,17.55074692,18.24595261,19.417696,19.23182106,17.67528152
Snrpa1,16.37490273,15.83533478,16.25349617,15.69541836,16.68044281,15.67727947,16.55554771,15.58323002,16.63551903,15.93177605,16.1953907,15.96065807,15.83259296,15.82706928,16.2194519,14.9724865
Ppp2r4,16.98125458,18.12807465,17.27830505,17.27330399,17.58556366,17.86719513,17.15333366,17.23322678,17.30242538,17.45859909,17.90206909,16.12634087,17.11319351,18.28174973,17.69703484,16.41103172
Actr2,17.93243408,18.76997948,19.08127022,18.29463959,18.47698402,18.23374176,20.08043671,18.82419968,18.63736153,18.0356369,19.63092422,17.82021713,17.8470211,18.9426918,19.06368446,18.6090641
Ap1s1,16.13550949,15.9257164,15.21203995,16.16148567,14.11396313,15.67681122,14.5460453,18.15001488,13.79567051,15.77334499,14.09926605,15.58164215,15.86742401,16.51683807,15.00698376,16.08258629
Rps8,20.18374252,20.09158516,19.76627922,20.06486893,19.94177628,20.05218506,20.20776749,20.85733986,19.5235157,20.19532394,19.57379913,20.99334526,20.3999958,19.41365242,19.83599472,21.25222588
Ywhae,21.60747528,21.39681244,21.15856934,21.1157856,21.64574814,21.38763809,21.90683174,21.17736816,21.45432663,22.08362198,21.70531082,21.17852402,21.3808918,22.01916695,21.89977074,21.14083481
Rps18;Gm10260,20.55609131,20.04219818,20.17682076,19.64521217,20.48532295,20.57468605,19.65600967,19.03526115,20.10341644,20.06104851,19.77198029,19.62101173,20.02323532,20.25361252,20.13633537,19.96691132
Snrpf,17.47943306,17.16643715,15.97897816,16.09275627,16.98237038,16.81653404,14.81017208,15.98977184,16.56336021,15.94943905,14.23766804,16.551754,17.16996384,16.50059319,16.38264084,16.66719437
Arf6,16.40012932,17.11948776,17.48510551,16.98392868,16.58247948,17.22213364,16.65214539,16.66233444,16.64610863,17.84297562,18.30781364,17.38591385,16.7123661,17.6316185,17.4765873,17.32122421
Rps4x;Rps4l,19.94320679,19.76901054,19.55463028,20.37358284,19.89646339,19.99934578,20.06184006,20.41503525,19.59446716,20.27900696,20.1022625,20.38237,19.7665863,19.62998199,19.68030548,21.20967293
Cycs,19.73287582,19.38289833,20.3231163,20.70244026,19.63732529,20.03617287,20.20275497,20.59003067,19.42154312,19.62934303,20.65219688,20.08770561,20.15338326,19.50781059,20.395504,20.79384232
Gnas,16.12692642,18.16093445,17.04345512,17.97952652,16.44253922,18.33516312,16.75850868,17.20838737,17.41113091,18.30251312,18.01247215,16.98937225,17.05864716,17.36888123,16.97578049,16.77840996
Slc9a3r1,16.95435524,16.80044556,17.71169472,15.74507046,16.71772957,15.88419437,17.34732819,17.46976852,17.61288261,15.27819538,17.92009735,16.22955132,15.85289478,15.48793411,17.29392052,15.71928215
Ctps1,15.81703377,15.93523407,15.16274548,16.53343582,15.92284012,15.86176586,15.0743103,15.6435461,16.05706024,15.42282009,15.08663368,16.42155457,16.36857414,15.23758602,14.35834312,16.33587837
Cct6a,19.64832306,19.19815636,18.96143913,19.02580452,19.93574715,18.93973923,19.30041504,19.51879883,19.6720047,19.04273415,19.21159935,19.25587273,19.45913887,19.32625771,19.54545784,18.99443626
Nucb2,15.23365688,13.38994503,15.36163521,16.46510315,16.33289337,15.52003574,15.62713528,17.21759796,15.58763123,16.26764679,15.80571842,16.07687759,15.72996616,15.30983162,15.70773697,17.24970627
Arf5;Arf4,17.21361732,14.7516489,17.54630661,14.42835999,17.10031319,14.40173054,17.40266228,15.12494659,17.76545525,15.74441338,18.86933517,14.60952473,13.8237114,17.50564194,17.04878426,14.61958981
Ap2m1,16.0301075,16.21905518,18.2544651,16.52435875,15.85491753,16.12430382,17.60610199,16.46507263,16.49147797,16.52999496,18.44293594,16.41579056,16.4139576,17.35707092,17.97824097,16.18468094
Anxa4,20.58554649,19.46195984,20.62818527,19.99796867,20.39403915,19.9192524,21.32388687,20.01984596,20.82811165,20.10239029,20.69879913,19.61556053,20.59085464,20.34992027,20.94742203,20.34656906
