X,BV2_control_1_cell,BV2_TGFB_1_cell,BV2_IL10_1_cell,BV2_LPS_1_cell,BV2_control_2_cell,BV2_TGFB_2_cell,BV2_IL10_2_cell,BV2_LPS_2_cell,BV2_control_3_cell,BV2_TGFB_3_cell,BV2_IL10_3_cell,BV2_LPS_3_cell,BV2_control_4_cell,BV2_TGFB_4_cell,BV2_IL10_4_cell,BV2_LPS_4_cell
Ptgr1,16.95787239,18.38839531,17.95838356,20.52276993,16.27755928,17.91473579,16.89711189,20.14855194,18.20757675,17.10850334,18.63863373,19.97784996,17.50804138,17.20438004,17.72906303,20.72800064
Acaa1a;Acaa1b,17.19517899,17.78385544,18.86190414,18.46562958,17.23827362,17.93945313,18.70954132,18.33206367,18.25566483,17.57975769,19.0663414,18.59017754,18.23734093,17.66795731,18.06202507,18.19911575
Far1,14.01131439,14.4195652,16.23009491,14.48230362,14.40475559,14.21750355,16.42045403,16.99335861,14.47084904,13.87987041,17.30153275,14.430583,14.32706165,14.81925583,14.81287956,14.03454113
Blvrb,16.26512146,16.18845367,18.66306496,18.86873245,17.06160355,17.19229317,19.15881729,18.99487877,17.67272949,15.82741737,19.41139984,17.30224609,16.46170235,17.31176567,18.44742203,19.04497528
Sec14l2,14.99845791,15.14214706,16.18460464,13.68060112,14.81232738,17.4636364,16.27164459,13.61746788,16.46325302,18.35865974,14.39692783,13.54998684,14.97598267,17.34672165,16.06430054,13.8812952
Mvd,15.69100761,16.66038513,16.79956055,16.28317833,15.65600586,15.8833828,16.88417053,16.82550621,16.54058266,16.533041,17.39372635,16.95492363,16.25190735,16.45975113,16.53846169,16.58635521
Adi1,15.7844305,15.82662296,15.29178238,15.66636276,15.08169174,15.71995068,15.63908672,15.45053482,15.93532658,16.18285942,14.05782223,15.9540596,15.35362911,15.6337328,14.46407127,15.75125599
Hadhb,17.14210701,16.91520309,17.40174675,16.51622391,17.36281776,16.79842186,17.42603493,16.89971161,17.24803925,17.15699196,18.07571983,16.37776947,17.24924278,17.31265259,17.05483818,15.98158932
Vwa5a,18.91724396,17.20628929,18.80555534,17.64329338,18.13991165,17.49106979,18.45499039,18.07634544,18.17845154,18.19882774,19.07182312,17.21086121,17.49529266,17.9688797,18.3869648,17.99827003
Hibadh,16.23513603,16.33254433,17.14120865,16.65354538,16.18791199,16.77198029,17.36632156,16.35827255,16.65130424,15.04899788,17.2758522,15.92717648,15.92074871,16.49377823,16.73951721,16.19325638
Igf2bp3,17.0941391,16.53179359,17.05038071,16.03325081,17.25007629,15.90124416,17.19710159,16.10242653,17.16986656,15.43097496,17.26114082,16.58065605,16.35159492,15.80476093,17.11675072,16.77545547
Glo1,16.04499245,16.47081757,16.64920044,15.7957859,16.23591995,15.92796326,16.32535744,15.65821171,16.62685013,16.01384544,17.09825897,16.25090981,15.89595413,16.39541626,16.3003521,15.47794819
Cotl1,20.61378288,22.3925724,21.23940468,21.74451828,20.81636238,23.14883041,21.58989525,20.90013885,21.48089218,22.73902702,20.98210526,21.43257523,21.29468346,22.24350739,21.30657959,21.22535133
Mri1,18.40934944,18.10390282,17.57621765,16.69927406,18.61973953,17.87669754,18.19887733,17.1059494,18.53753662,17.7393856,18.82077789,16.86193466,18.15916252,18.74376297,18.03553009,17.03939056
Txndc12,15.354249,18.102314,17.21428108,16.30240631,16.08083916,18.40856171,17.94403648,16.81778336,16.63126183,16.96555901,18.3413887,16.09314919,16.06739235,16.09298325,17.22590446,15.39104176
Ykt6,14.99055004,16.8750782,15.15754414,15.63976479,14.93833923,16.00079155,14.96587467,15.88199806,15.87524509,15.85766506,15.32182217,16.47858047,15.43179131,15.93670654,15.05123615,16.24868774
Hsbp1,17.74149323,13.80813694,14.48594189,17.46483231,17.35173225,12.92996597,16.2787571,16.53328323,16.02119637,16.6706562,17.09393311,17.14897346,17.18862724,16.06244659,16.15287971,17.16673279
Slc25a11,14.91419697,16.38355255,17.24924278,18.04297447,15.46451378,18.14822769,17.2555275,17.93704033,16.52961349,15.51920605,18.02944946,15.75347805,13.98607159,15.67601204,16.6842823,17.40332794
Gdpd1,16.0520153,14.60894775,16.09251022,17.3724575,16.5907917,16.74806213,15.55791283,17.75401306,16.10868835,16.35734558,17.13811111,17.03628159,15.41253662,15.73938465,16.16835785,17.22307777
Dph5,13.74940205,13.1569519,15.24436378,14.3169508,16.60831261,14.24219227,15.38579464,15.79565907,15.83207417,13.91435432,16.63254166,15.22930717,15.40484238,14.26199055,16.11105347,13.27338028
Atp6ap2,15.32863998,14.89045429,16.41531181,16.68359756,15.40882683,16.14164734,15.34672165,16.7773838,15.60975552,16.21722031,16.48072624,16.21327591,15.3855257,15.5878067,16.1830349,16.35669327
Cs,18.58005333,18.77889252,19.8392601,20.48246956,19.19402504,20.39079094,19.67300606,20.32882309,19.13187218,19.8510685,20.71607208,19.90936852,18.28306198,19.41499519,19.47385597,20.27617073
Dynll2,16.66344643,18.29041481,15.92617989,17.92172432,16.92218971,17.61705208,13.84088993,16.50489616,16.43729782,18.14554405,14.56347084,17.97292328,16.95832634,17.2854557,15.91872311,17.59616089
Cndp2,19.68493271,19.15587997,20.44778633,19.94420815,19.22846603,19.24344444,20.34765244,19.91384506,19.63383675,19.4562149,20.89607811,19.88775826,18.8887558,19.60891914,20.29501915,19.52561951
