"","control_Evs_1","control_Evs_2","control_Evs_3","LPS_Evs_1","LPS_Evs_2","LPS_Evs_3"
"mmu-mir-5126",32.9456067296429,18.7984134355975,15.7847694586466,117.206354034516,225.367338160376,119.025454703065
"mmu-mir-3535",70.8330544687322,75.19365374239,51.6592455010252,82.5027966946873,102.787936101475,140.08049903682
"mmu-mir-6345",28.0037657201964,29.2419764553739,14.3497904169514,3.27392050375743,0.638434385723444,1.71877912928614
"mmu-mir-1843b",28.0037657201964,6.26613781186583,5.73991616678058,41.2513983473437,43.4135382291942,87.2280408112715
"mmu-mir-664",16.4728033648214,33.4194016632844,109.058407168831,260.604072099092,376.676287576832,165.432491193791
"mmu-mir-29c",4.94184100944643,2.08871260395528,5.73991616678058,6.54784100751487,0.638434385723444,5.58603217017995
"mmu-mir-5108",65.8912134592857,50.1291024949266,28.6995808339029,1.30956820150297,3.83060631434067,7.30481129946609
"mmu-mir-7688",0,27.1532638514186,11.4798323335612,3.27392050375743,0.638434385723444,3.86725304089381
"mmu-let-7i",19.7673640377857,4.17742520791055,11.4798323335612,8.51219330976933,7.02277824295789,8.16420086410916
"mmu-mir-677",46.1238494215,29.2419764553739,30.134559875598,41.9061824480952,34.475456829066,46.4070364907258
"mmu-mir-146a",31.2983263931607,25.0645512474633,4.30493712508543,9.16697741052081,65.7587417295148,36.5240564973304
"mmu-mir-5100",126.840585909125,10.4435630197764,14.3497904169514,2.61913640300595,0,1.71877912928614
"mmu-mir-423",4.94184100944643,0,7.17489520847572,9.16697741052081,24.2605066574909,29.2192451978644
"mmu-mir-21a",3.29456067296429,10.4435630197764,14.3497904169514,19.6435230225446,8.29964701440477,23.2035182453629
"mmu-mir-142a",16.4728033648214,12.5322756237317,28.6995808339029,30.7748527353199,19.1530315717033,32.6568034564366
"mmu-mir-378b",1.64728033648214,4.17742520791055,0,3.92870460450892,3.83060631434067,8.59389564643069
"mmu-mir-5119",41.1820084120536,29.2419764553739,28.6995808339029,7.85740920901784,1.27686877144689,3.86725304089381
"mmu-mir-3968",26.3564853837143,10.4435630197764,2.86995808339029,1.96435230225446,1.91530315717033,0.429694782321535
"mmu-mir-6516",4.94184100944643,14.6209882276869,1.43497904169514,9.8217615112723,21.7067691145971,24.4926025923275
"mmu-mir-6538",0,6.26613781186583,0,4.58348870526041,10.8533845572986,13.3205382519676
"mmu-mir-5099",517.246025655393,300.77461496956,259.731206546821,130.302036049546,120.664098901731,168.01065988772
"mmu-mir-1843a",18.1200837013036,0,1.43497904169514,13.0956820150297,15.3224252573627,24.922297374649
"mmu-mir-3068",11.530962355375,18.7984134355975,17.2197485003417,24.8817958285565,18.5145971859799,16.3284017282183
"mmu-mir-3069",19.7673640377857,6.26613781186583,2.86995808339029,7.85740920901784,5.10747508578755,12.4611486873245
"mmu-mir-3544",28.0037657201964,25.0645512474633,22.9596646671223,5.89305690676338,3.19217192861722,3.86725304089381
"mmu-mir-203",34.592887066125,33.4194016632844,31.5695389172932,7.85740920901784,1.27686877144689,6.44542173482302
"mmu-mir-1896",276.743096529,580.662103899567,269.776059838687,117.861138135268,18.5145971859799,44.6882573614396
"mmu-mir-1983",16.4728033648214,22.975838643508,22.9596646671223,9.16697741052081,11.491818943022,4.29694782321535
"mmu-let-7d",47.7711297579822,33.4194016632844,51.6592455010252,57.6210008661308,51.713185243599,70.8996390830532
"mmu-let-7f-1",87.3058578335536,154.564732692691,143.497904169514,158.45775238186,251.543147975037,156.83859554736
"mmu-let-7a-1",256.975732491214,227.669673831125,265.471122713602,262.568424401346,470.526142278178,285.317335461499
"mmu-mir-7a-1",23.06192471075,16.7097008316422,2.86995808339029,9.8217615112723,6.38434385723444,4.29694782321535
"mmu-mir-23b",70.8330544687322,68.9275159305242,78.9238472932329,73.990603384918,74.0583887439195,67.4620808244809
"mmu-mir-24-1",39.5347280755714,33.4194016632844,40.179413167464,45.1801029518526,45.3288413863645,61.0166590896579
"mmu-mir-692-3",37.8874477390893,152.476020088735,213.811877212576,92.3245582059596,97.0420266299635,50.7039843139411
"mmu-mir-682",37.8874477390893,56.3952403067925,70.313973043062,42.5609665488466,24.8989410432143,14.1799278166106
"mmu-mir-378c",3.29456067296429,4.17742520791055,0,5.89305690676338,10.8533845572986,9.45328521107376
"mmu-mir-320",0,0,2.86995808339029,20.9530912240476,61.9281354151741,40.3913095382243
"mmu-mir-19a",3.29456067296429,2.08871260395528,1.43497904169514,15.0600343172842,5.10747508578755,15.8987069458968
"mmu-mir-19b-1",3.29456067296429,39.6855394751503,1.43497904169514,16.3696025187872,17.237728414533,20.6253495514337
"mmu-mir-92a-1",0,0,20.089706583732,7.85740920901784,5.10747508578755,4.72664260553688
"mmu-let-7c-2",138.3715482645,135.766319257093,126.278155669173,94.9436946089656,186.422840631246,129.338129478782
"mmu-let-7b",69.18577413225,48.0403898909714,78.9238472932329,35.3583414405803,79.1658638297071,65.7433016951948
"mmu-mir-688",0,4.17742520791055,5.73991616678058,2.61913640300595,5.10747508578755,6.87511651714455
"mmu-mir-130b",3.29456067296429,6.26613781186583,4.30493712508543,3.92870460450892,8.29964701440477,2.57816869392921
"mmu-mir-690",9.88368201889286,6.26613781186583,11.4798323335612,2.61913640300595,0.638434385723444,5.58603217017995
"mmu-let-7c-1",126.840585909125,123.234043633361,121.973218544087,102.146319717232,185.784406245522,130.197519043425
"mmu-mir-125b-2",16.4728033648214,20.8871260395528,10.044853291866,0,0,1.2890843469646
"mmu-mir-692-1",21.4146443742679,104.435630197764,80.3588263349281,53.6922962616219,45.967275772088,39.9616147559027
"mmu-let-7e",57.654811776875,52.2178150988819,50.22426645933,49.1088075563615,89.3808140012822,52.8524582255488
"mmu-mir-877",1.64728033648214,60.572665514703,4.30493712508543,15.7148184180357,14.6839908716392,4.72664260553688
"mmu-mir-7b",16.4728033648214,0,0,9.8217615112723,5.10747508578755,1.71877912928614
"mmu-mir-1949",26.3564853837143,12.5322756237317,11.4798323335612,10.4765456120238,7.02277824295789,15.0393173812537
"mmu-mir-378a",4.94184100944643,4.17742520791055,1.43497904169514,6.54784100751487,14.6839908716392,12.031453905003
"mmu-mir-3084-1",39.5347280755714,14.6209882276869,15.7847694586466,13.7504661157812,7.66121262868133,5.58603217017995
"mmu-mir-146b",16.4728033648214,4.17742520791055,0,1.96435230225446,37.0291943719598,18.9065704221475
"mmu-mir-3084-2",39.5347280755714,14.6209882276869,15.7847694586466,13.7504661157812,8.93808140012822,5.58603217017995
"mmu-mir-466b-8",1.64728033648214,2.08871260395528,1.43497904169514,7.85740920901784,0.638434385723444,6.01572695250149
"mmu-mir-669a-4",1.64728033648214,2.08871260395528,0,1.96435230225446,3.19217192861722,9.8829799933953
"mmu-mir-466c-1",0,2.08871260395528,2.86995808339029,1.30956820150297,12.7686877144689,12.890843469646
"mmu-mir-466c-2",0,2.08871260395528,7.17489520847572,3.92870460450892,10.8533845572986,8.59389564643069
"mmu-mir-466b-4",0,0,2.86995808339029,4.58348870526041,3.19217192861722,8.16420086410916
"mmu-mir-466c-3",0,4.17742520791055,5.73991616678058,3.27392050375743,9.57651578585166,12.031453905003
"mmu-mir-466p",3.29456067296429,4.17742520791055,4.30493712508543,3.27392050375743,4.46904070006411,4.72664260553688
"mmu-mir-669c",13.1782426918571,8.35485041582111,10.044853291866,13.7504661157812,30.0064161290019,9.45328521107376
"mmu-mir-669a-2",1.64728033648214,2.08871260395528,2.86995808339029,2.61913640300595,0.638434385723444,9.8829799933953
"mmu-mir-466d",0,2.08871260395528,0,3.27392050375743,12.7686877144689,10.7423695580384
"mmu-mir-466h",0,0,0,1.96435230225446,10.8533845572986,6.87511651714455
"mmu-mir-3960",18.1200837013036,18.7984134355975,20.089706583732,1.30956820150297,1.27686877144689,1.2890843469646
"mmu-mir-7000",51.0656904309464,20.8871260395528,34.4394970006835,15.0600343172842,0.638434385723444,5.58603217017995
"mmu-mir-674",1.64728033648214,27.1532638514186,11.4798323335612,11.7861138135268,45.967275772088,24.922297374649
"mmu-mir-1a-1",19.7673640377857,29.2419764553739,15.7847694586466,3.27392050375743,3.19217192861722,1.71877912928614
"mmu-let-7j",14.8255230283393,4.17742520791055,5.73991616678058,5.89305690676338,3.83060631434067,6.01572695250149
"mmu-mir-3963",163.080753311732,16.7097008316422,4.30493712508543,1.96435230225446,0,2.14847391160767
"mmu-mir-692-2",29.6510460566786,121.145331029406,190.852212545454,78.5740920901784,81.7196013726009,43.8288677967965
"mmu-mir-8117",14.8255230283393,14.6209882276869,12.9148113752563,1.96435230225446,0.638434385723444,1.2890843469646
"mmu-mir-6240",2166.17364247402,3039.07683875493,1723.40982907587,665.260646363511,597.574585037144,517.782212697449
"mmu-mir-7033",0,6.26613781186583,0,5.89305690676338,23.6220722717674,9.02359042875223
"mmu-mir-25",32.9456067296429,37.596826871195,41.6143922091592,38.6322619443377,40.8598006863004,72.1887234300178
"mmu-mir-93",1.64728033648214,2.08871260395528,4.30493712508543,9.8217615112723,14.6839908716392,10.3126747757168
"mmu-mir-183",14.8255230283393,12.5322756237317,25.8296227505126,16.3696025187872,17.237728414533,23.6332130276844
"mmu-mir-29a",8.23640168241072,2.08871260395528,22.9596646671223,20.2983071232961,6.38434385723444,14.6096225989322
"mmu-mir-5121",42.8292887485357,52.2178150988819,44.4843502925495,20.9530912240476,14.0455564859158,29.6489399801859
"mmu-mir-6238",75.7748954781786,505.468450157177,835.157802266574,1042.41628839637,2346.88480191938,995.602810638996
"mmu-mir-7a-2",32.9456067296429,14.6209882276869,0,15.0600343172842,6.38434385723444,2.57816869392921
"mmu-mir-1839",11.530962355375,2.08871260395528,7.17489520847572,18.9887389217931,11.491818943022,13.7502330342891
"mmu-mir-210",6.58912134592857,12.5322756237317,4.30493712508543,1.96435230225446,7.66121262868133,6.87511651714455
"mmu-mir-23a",69.18577413225,73.1049411384347,84.6637634600135,76.609739787924,81.0811669868774,76.0559764709116
"mmu-mir-24-2",39.5347280755714,33.4194016632844,40.179413167464,44.5253188511011,45.967275772088,61.4463538719795
"mmu-mir-328",9.88368201889286,6.26613781186583,7.17489520847572,1.30956820150297,10.2149501715751,8.16420086410916
"mmu-mir-1903",4.94184100944643,8.35485041582111,1.43497904169514,21.6078753247991,24.8989410432143,9.45328521107376
"mmu-let-7a-2",240.502929126393,231.847099039036,271.211038880382,263.877992602849,469.249273506732,284.028251114534
"mmu-mir-125b-1",16.4728033648214,20.8871260395528,10.044853291866,0,0,1.2890843469646
"mmu-mir-184",0,18.7984134355975,31.5695389172932,0,8.93808140012822,9.45328521107376
"mmu-let-7g",23.06192471075,35.5081142672397,41.6143922091592,5.89305690676338,14.6839908716392,15.4690121635752
"mmu-mir-191",82.3640168241072,12.5322756237317,28.6995808339029,32.7392050375743,22.983637886044,26.6410765039352
"mmu-mir-6236",19273.1799368411,25390.3904136804,19148.36033238,10262.4312110781,10310.7153294336,5546.92994498869
"mmu-mir-221",3.29456067296429,16.7097008316422,0,3.92870460450892,3.19217192861722,7.30481129946609
"mmu-mir-222",9.88368201889286,4.17742520791055,4.30493712508543,7.20262510826636,6.38434385723444,6.87511651714455
"mmu-mir-92a-2",1.64728033648214,0,17.2197485003417,7.85740920901784,4.46904070006411,3.86725304089381
"mmu-mir-19b-2",3.29456067296429,41.7742520791055,1.43497904169514,16.3696025187872,19.7914659574268,19.3362652044691
"mmu-mir-2137",80.716736487625,39.6855394751503,35.8744760423786,227.864867061517,499.894124021457,302.50512675436
"mmu-let-7f-2",82.3640168241072,125.322756237317,149.237820336295,154.529047777351,241.328197803462,165.002796411469
