"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Six5","Six5",63,75,73,99,53,70
"Szrd1","Szrd1",1124,1138,1105,1306,1123,1604
"Tiprl","Tiprl",867,1298,1126,1187,880,1336
"Sft2d2","Sft2d2",4453,5055,4979,5723,4489,6280
"Psme4","Psme4",835,1184,984,1315,528,1024
"Plekhh2","Plekhh2",1,0,0,6,8,0
"Reps2","Reps2",439,455,522,1689,1162,2172
"Erf","Erf",45,36,84,93,85,126
"Bsdc1","Bsdc1",869,1001,1062,950,766,1001
"Crocc","Crocc",219,252,191,258,166,184
"Ino80d","Ino80d",131,136,187,205,203,268
"Osbpl10","Osbpl10",19,35,22,9,15,23
"Wdr25","Wdr25",294,394,421,462,294,480
"Tmem205","Tmem205",2693,3183,2965,2897,2721,2989
"Gfer","Gfer",584,731,571,556,461,553
"Atp1a3","Atp1a3",5917,8171,6988,11439,9395,10972
"Fbxw4","Fbxw4",303,395,354,503,386,521
"Slc19a2","Slc19a2",655,745,696,545,466,866
"S100pbp","S100pbp",405,518,460,493,303,622
"Rfx3","Rfx3",21,10,19,41,47,63
"Ulk4","Ulk4",285,329,276,197,242,264
"Arhgef1","Arhgef1",4048,5521,5084,6016,4923,6352
"Tet2","Tet2",548,607,798,908,638,1195
"Rcc2","Rcc2",933,1430,1113,1667,465,528
"Mgl2","Mgl2",894,1263,1011,363,229,343
"Rps19","Rps19",16009,16780,15610,17942,14932,17083
"Arhgef10l","Arhgef10l",2941,3722,3137,2730,2376,3030
"Gm11992","Gm11992",450,588,425,573,396,551
"Sh3kbp1","Sh3kbp1",3148,3745,3472,5621,4403,6395
"Abhd4","Abhd4",5908,7026,6516,7437,6173,7794
"Npnt","Npnt",0,0,1,0,0,0
"Trim62","Trim62",265,241,268,296,130,236
"Cmtm8","Cmtm8",14,21,18,180,99,95
"Iffo2","Iffo2",180,165,157,123,92,101
"Ghitm","Ghitm",15306,17835,17473,13478,10933,14913
"Gm17018","Gm17018",719,870,784,955,818,932
"Irgq","Irgq",693,922,889,860,673,1094
"Fam117b","Fam117b",552,747,560,2224,545,818
"Wdr43","Wdr43",2115,2486,2524,2402,1843,3230
"Wwp1","Wwp1",1194,1406,1396,1511,1104,1727
"Pif1","Pif1",172,228,186,128,139,292
"Fzd7","Fzd7",1099,1351,1133,3896,2111,2851
"Rwdd2b","Rwdd2b",294,402,212,221,236,334
"Ostc","Ostc",1344,1645,1482,1598,1377,2083
"Tspyl2","Tspyl2",672,671,774,730,638,732
"Elmo1","Elmo1",1015,1110,1156,1471,1061,1615
"Iqsec2","Iqsec2",354,451,426,326,239,373
"Msantd4","Msantd4",497,571,609,637,484,815
"H2afv","H2afv",777,963,861,1393,1231,1764
"Zfp598","Zfp598",372,443,308,390,223,337
"N4bp2l1","N4bp2l1",1413,1440,1525,1069,852,999
"Smc1a","Smc1a",1962,2092,2259,2738,1976,3259
"Ripk2","Ripk2",422,439,416,512,431,677
"Tmco4","Tmco4",571,579,460,482,468,515
"Dnah7b","Dnah7b",1,1,0,0,0,0
"Brca2","Brca2",210,196,204,237,181,337
"Osgin2","Osgin2",690,676,790,394,266,512
"Otud3","Otud3",193,233,251,174,91,168
"Zmiz2","Zmiz2",792,1050,998,886,565,662
"Lonp1","Lonp1",9732,11313,10924,7809,6149,7510
"Hectd2","Hectd2",91,128,134,122,56,100
"Prkd2","Prkd2",383,507,568,574,484,575
"Rpusd1","Rpusd1",315,482,352,416,305,427
"Pla2g2d","Pla2g2d",0,7,2,14,14,3
"Trir","Trir",1727,1888,1637,1647,1487,1837
"Yeats2","Yeats2",666,1011,912,942,622,1120
"Arhgap11a","Arhgap11a",1426,1800,1548,1863,1496,3162
"Elovl6","Elovl6",51,65,28,10,15,66
