"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Gnai3","Gnai3",4499,5973,5861,5462,4345,7551
"Cdc45","Cdc45",691,1007,756,847,695,1079
"Narf","Narf",999,1432,1243,1288,1017,1331
"Cav2","Cav2",402,470,492,689,516,986
"Klf6","Klf6",1660,1734,1934,1309,844,1471
"Scmh1","Scmh1",862,989,966,973,726,1112
"Cox5a","Cox5a",1531,1904,1647,2091,1790,2419
"Wnt9a","Wnt9a",145,112,100,87,57,59
"Fer","Fer",545,555,596,697,478,890
"Xpo6","Xpo6",3642,4676,4091,3898,3301,4369
"Tfe3","Tfe3",3410,4640,3863,4525,3693,5055
"Brat1","Brat1",2274,3139,2936,3522,2819,3357
"Gna12","Gna12",480,578,562,1383,489,669
"Slc22a18","Slc22a18",253,255,251,283,196,221
"Pih1d2","Pih1d2",13,21,12,21,8,33
"Dlat","Dlat",2988,3355,3540,3539,2731,3825
"Sdhd","Sdhd",6188,7779,6563,7714,6348,9895
"Ccnd2","Ccnd2",0,1,0,0,0,4
"Gpr107","Gpr107",4107,4903,4670,4468,3811,4480
"Tspan32","Tspan32",1398,1908,1675,1580,1394,1547
"Lhx2","Lhx2",72,66,55,39,21,59
"Gmpr","Gmpr",1692,1997,1571,2415,2131,2523
"Trim25","Trim25",5902,6776,6462,5131,3946,5681
"Dgke","Dgke",110,164,196,112,116,211
"Scpep1","Scpep1",12021,13902,13511,15997,13214,16224
"Mnt","Mnt",703,871,901,759,620,761
"Itgb2","Itgb2",16393,19421,18764,12532,10059,12390
"Hddc2","Hddc2",316,431,378,439,360,488
"Pemt","Pemt",91,128,68,64,84,62
"Cdh4","Cdh4",29,14,18,63,61,69
"Ckmt1","Ckmt1",4,0,0,0,0,0
"Clec10a","Clec10a",787,1035,793,324,285,432
"Alox12","Alox12",2,7,4,7,19,11
"Arvcf","Arvcf",162,168,170,164,119,243
"Comt","Comt",4144,5023,4069,5791,5104,6000
"Rtca","Rtca",802,1010,905,851,728,891
"Dbt","Dbt",379,477,450,431,391,615
"Dazap2","Dazap2",12570,16616,14192,17750,13948,21194
"Mcts1","Mcts1",602,792,769,827,668,968
"Rem1","Rem1",193,156,153,149,187,162
"Trappc10","Trappc10",1189,1408,1321,1568,1030,1282
"Ccm2","Ccm2",1788,2208,1981,1587,1394,1933
"Tbrg4","Tbrg4",705,901,786,575,626,679
"Mx1","Mx1",0,0,5,0,0,0
"Ndufa9","Ndufa9",4472,5129,4631,4444,3848,4631
"Lck","Lck",251,226,226,167,133,145
"Cttnbp2","Cttnbp2",0,4,0,2,0,1
"Galnt1","Galnt1",535,635,660,936,439,587
"Mkrn2","Mkrn2",690,877,726,663,636,705
"Raf1","Raf1",2485,2856,2766,2072,1732,2236
"Pdgfb","Pdgfb",1218,1382,1467,1346,947,1090
"Acvrl1","Acvrl1",1722,2134,1972,2093,1611,2274
"Grasp","Grasp",34,78,58,85,33,53
"Acvr1b","Acvr1b",104,112,88,122,95,126
"Tom1l2","Tom1l2",1733,1886,1714,1045,948,960
"Zfp385a","Zfp385a",2509,3324,2873,3362,2767,3740
"Itga5","Itga5",13184,13120,14556,19054,15372,18074
"Wdr77","Wdr77",2068,2519,2257,2221,2048,2459
"Adora3","Adora3",6,33,12,25,20,19
"Atp5f1","Atp5f1",11452,14398,12411,13924,11396,16669
"Hnrnpd","Hnrnpd",778,945,907,1452,441,516
"Dynlt1c","Dynlt1c",188,150,173,224,169,175
"C1d","C1d",454,532,462,543,481,888
"Gm2a","Gm2a",14111,18048,16898,15655,12711,14425
"Krit1","Krit1",393,507,464,589,436,578
"Clcn4","Clcn4",1010,990,1094,1651,953,1810
"Hk2","Hk2",4093,5123,5461,6745,4602,6384
"Myo18a","Myo18a",3077,3637,3506,3169,2957,3705
"Haao","Haao",108,157,120,298,250,232
"Cd52","Cd52",2083,2296,1972,1628,1447,1655
"Abhd15","Abhd15",86,135,100,185,159,216
"Loxl3","Loxl3",35,27,62,70,37,66
"Kat2b","Kat2b",140,138,177,107,37,121
"Rab5b","Rab5b",1684,1955,1907,1986,1655,2308
"Dnmt3l","Dnmt3l",140,152,100,63,65,141
"Icosl","Icosl",342,365,390,563,457,572
"Spg7","Spg7",2005,2458,2297,2587,2037,2618
"Sult5a1","Sult5a1",0,0,2,0,0,0
"Rpl13","Rpl13",26024,33689,29820,30514,25710,30326
"Chmp1a","Chmp1a",6667,8708,7833,8951,7059,9293
"Rpa1","Rpa1",2173,3006,2561,2589,2242,3533
"Serpinf1","Serpinf1",225,303,179,137,95,260
"Tubgcp3","Tubgcp3",1093,1337,1073,1132,810,1300
"Oprm1","Oprm1",0,0,0,0,0,1
"Polr3d","Polr3d",421,616,644,542,462,508
"Ddx3x","Ddx3x",4054,5246,5073,5614,4323,7761
"Il12rb1","Il12rb1",371,382,376,221,71,157
"Kcnn3","Kcnn3",2,2,4,8,1,6
"Usp32","Usp32",373,380,405,637,407,883
"Txnrd3","Txnrd3",480,561,591,456,405,419
"Zfp512b","Zfp512b",482,658,554,674,270,340
"Dnajc5","Dnajc5",5922,6829,6515,8476,6669,9282
"Tpd52l2","Tpd52l2",2929,3636,3444,4021,3468,4663
"Fmr1","Fmr1",438,600,555,682,460,805
"Bcl11a","Bcl11a",0,0,0,0,0,0
"Il4","Il4",25,41,36,17,8,26
"Pxmp4","Pxmp4",771,1097,806,1252,1077,1404
"Dlg3","Dlg3",21,25,40,85,48,97
"Gnb1l","Gnb1l",154,171,180,151,150,141
"Smarcb1","Smarcb1",1300,1552,1412,1357,1273,1627
"Hip1r","Hip1r",52,67,56,81,53,70
"Nsun5","Nsun5",685,957,728,600,613,788
"Top1mt","Top1mt",356,514,447,394,370,437
"Mmp14","Mmp14",11,14,9,98,104,137
"Slc7a7","Slc7a7",87,82,39,281,209,348
"Oxa1l","Oxa1l",1501,1947,1799,1904,1699,1852
"Heatr6","Heatr6",820,1126,1005,890,747,899
"Ccl3","Ccl3",2663,2216,2668,733,686,698
"Ilf2","Ilf2",2008,2412,2103,2270,1779,2822
"Chtop","Chtop",2340,2950,3045,3055,2428,3363
"Snapin","Snapin",2066,2558,2329,3080,2489,3682
"S100a4","S100a4",37,51,34,13,14,38
"S100a3","S100a3",20,12,7,8,2,15
"S100a6","S100a6",6267,6504,5702,3521,3018,3825
"Icam2","Icam2",105,93,82,50,27,58
"Mapk7","Mapk7",1508,1908,1643,858,775,839
"Epn2","Epn2",225,316,311,165,115,140
"B9d1","B9d1",41,50,70,53,46,35
"Sec24b","Sec24b",2495,3110,3005,2679,1917,2647
"N4bp3","N4bp3",525,546,641,365,326,325
"Rmnd5b","Rmnd5b",2108,2600,2237,1994,1696,1875
"Nhp2","Nhp2",3189,4200,3299,2824,2481,3528
"Vps9d1","Vps9d1",399,429,399,548,401,619
"Zfp276","Zfp276",323,500,539,527,416,569
"Mfsd10","Mfsd10",1519,2199,1819,2444,1898,2655
"Luzp1","Luzp1",462,555,699,1901,1349,2538
"Kctd10","Kctd10",849,1146,1026,1145,879,1254
"Poldip2","Poldip2",4117,5143,4494,5090,4250,5206
"Ift20","Ift20",314,335,317,338,256,477
"Lgals9","Lgals9",3844,4785,4280,6084,5289,7156
"Araf","Araf",2487,3150,2824,2012,1741,2345
"Cfp","Cfp",4761,6043,5251,237,248,330
"Uxt","Uxt",339,360,359,332,273,359
"Cnnm3","Cnnm3",93,71,42,100,72,93
"Lman2l","Lman2l",1801,2003,2145,1936,1648,1855
"Mcm3ap","Mcm3ap",2039,2475,2290,2265,1697,2695
"Pcnt","Pcnt",505,692,707,783,574,1052
"Mxd1","Mxd1",1098,1580,1165,881,597,740
"Gmcl1","Gmcl1",886,1115,1173,1126,708,1100
"Snrnp27","Snrnp27",560,756,690,588,454,611
"Oas1c","Oas1c",44,110,52,72,30,112
"Ocrl","Ocrl",33,37,11,31,26,40
"Calm1","Calm1",9099,10685,9124,11684,8754,13769
"Agpat3","Agpat3",2285,2641,2297,3082,1877,2228
"Slc26a3","Slc26a3",0,1,0,0,0,0
"Sema6b","Sema6b",323,541,445,357,311,411
"Uhrf1","Uhrf1",1736,2870,1938,2430,1799,3498
"Dpp9","Dpp9",2178,2685,2407,2277,1903,2820
"Lsr","Lsr",33,17,28,20,11,16
"Gramd1a","Gramd1a",1307,1643,1532,1753,1300,1714
"Hpn","Hpn",0,0,0,1,0,0
"Ckb","Ckb",3186,3628,3424,1107,861,1426
"Sp1","Sp1",549,671,729,1141,545,1279
"Itgb7","Itgb7",1466,2170,1750,1408,1030,1167
"Myg1","Myg1",1770,2084,1917,1750,1493,1762
"Rarg","Rarg",146,233,308,142,107,178
"Pfdn5","Pfdn5",2204,2422,2184,2839,2087,2817
"Rrp15","Rrp15",337,452,432,438,320,492
"Rnd2","Rnd2",202,231,190,178,191,138
"Srr","Srr",334,243,322,368,315,364
"Acp5","Acp5",1479,1866,1634,2973,2375,2888
"Fbxo9","Fbxo9",180,238,226,446,235,486
"Vps50","Vps50",2588,3067,2928,3726,2611,4285
"Hars","Hars",2094,2643,2353,2160,1832,2611
"Zmat2","Zmat2",854,903,855,1119,855,1147
"Ube2c","Ube2c",1164,1760,1189,1525,1390,2195
"Smg5","Smg5",1039,1186,1211,970,921,1067
"Cct3","Cct3",13805,17649,15015,15283,12772,18317
"Glmp","Glmp",23167,27037,25149,35756,30362,34347
"Mef2d","Mef2d",6943,8389,8262,8611,6917,7125
"Tmem79","Tmem79",16,13,13,18,18,23
"Snd1","Snd1",9838,12599,10676,10940,9191,11446
"Col18a1","Col18a1",228,217,278,424,383,448
"Slc19a1","Slc19a1",713,967,1043,976,878,1002
"Kpnb1","Kpnb1",1262,1658,1222,1570,1110,2198
"Npepps","Npepps",2592,3232,2745,2260,1546,2527
"Mrpl10","Mrpl10",1589,1718,1684,1718,1359,1773
"Cyp51","Cyp51",977,1113,978,1784,1329,2555
"Tcf25","Tcf25",9171,11780,10690,9629,7745,9765
"Tubb6","Tubb6",2878,4532,3311,2631,2205,3460
"Def8","Def8",1782,2444,2078,2718,2355,2959
"Itga3","Itga3",35,59,35,67,50,64
"Foxm1","Foxm1",580,822,636,520,532,1014
"Itfg2","Itfg2",186,229,224,161,164,131
"Nrip2","Nrip2",3,2,0,0,0,1
"Tulp3","Tulp3",114,149,130,118,91,122
"Gtf2h4","Gtf2h4",1437,1838,1522,1357,1278,1645
"Tubb5","Tubb5",7703,11383,8659,10708,8638,12991
"Ell2","Ell2",745,982,910,1638,1469,2323
"Jup","Jup",419,602,502,449,322,448
"Nom1","Nom1",951,1139,1139,1154,1097,1581
"Ergic1","Ergic1",6554,7644,7113,4667,4145,5701
"Acap1","Acap1",1921,2492,2187,1423,1184,1368
"Tcea3","Tcea3",23,21,15,11,10,24
"Ifrd1","Ifrd1",2357,2448,2858,1219,1100,1024
"Stk38l","Stk38l",1058,945,1034,2514,1778,3108
"Brpf1","Brpf1",2002,2418,2235,2076,1868,2488
"Akr1b3","Akr1b3",4374,5805,4765,6305,5322,7273
"Hoxc6","Hoxc6",126,164,121,142,86,183
"Gstt3","Gstt3",256,340,307,398,338,379
"Ddt","Ddt",85,91,78,117,78,112
"Marveld3","Marveld3",0,0,0,0,0,0
"Ddx18","Ddx18",1440,1777,1540,1684,1337,1692
"Ubl3","Ubl3",5755,7104,6573,7063,2905,3772
"Gramd3","Gramd3",313,248,326,361,234,454
"Eef1e1","Eef1e1",1062,1363,981,938,889,1024
"Akt1","Akt1",4051,5574,4370,8363,2902,2856
"Il16","Il16",852,949,951,564,535,495
"Tcirg1","Tcirg1",16466,20336,18243,15817,13499,16211
"Naglu","Naglu",8435,10099,9070,11343,9427,10076
"Coasy","Coasy",3207,3738,3638,3082,2475,3290
"Smo","Smo",797,965,720,729,766,1183
"Crnkl1","Crnkl1",776,1189,931,1069,890,1321
"Rin2","Rin2",1610,2220,1751,3581,2395,4842
"Chordc1","Chordc1",789,1065,990,1150,768,1300
"Rtcb","Rtcb",3780,4520,3818,7218,6500,7912
"Pwp1","Pwp1",3654,4001,3851,3560,3409,4139
"Fbxo7","Fbxo7",710,837,965,1026,825,951
"Capns1","Capns1",3441,3863,3426,3513,2775,3453
"Folr1","Folr1",206,237,192,243,224,263
"Clpb","Clpb",3146,4145,3289,2262,2348,2647
"X45176","45176",1679,2151,1878,2397,1794,3119
"Zdhhc4","Zdhhc4",1166,1347,1345,1659,1510,1808
"Rac1","Rac1",7945,10274,8778,11466,5656,6351
"Nup214","Nup214",3944,5102,4485,4244,3754,4975
"Ltbp1","Ltbp1",0,0,0,1,0,1
"Ugp2","Ugp2",7512,8681,8783,4939,3211,5491
"Trmt1","Trmt1",2263,2939,2653,2263,2005,2024
"Nacc1","Nacc1",1260,1586,1448,1447,1163,1408
"Nfix","Nfix",118,134,125,232,177,245
"Slc1a5","Slc1a5",4510,5295,5266,3082,2464,3369
"Uba1","Uba1",11415,14070,12811,11272,9882,12458
"Vwf","Vwf",3598,3961,4248,4412,3805,4303
"Siae","Siae",2094,2006,2034,2075,1628,2131
"Spa17","Spa17",64,50,45,30,13,27
"Fam50a","Fam50a",2997,3309,3148,3401,2717,3531
"Emd","Emd",1133,1137,1114,1029,907,1027
"Taco1","Taco1",257,302,255,221,298,326
"Npas1","Npas1",22,28,16,11,6,19
"Sipa1l2","Sipa1l2",2054,2419,2389,4103,2245,2522
"Ap4e1","Ap4e1",910,1273,1151,1497,1112,1825
"Blvra","Blvra",4399,5369,4613,4733,4128,5630
"Srpk3","Srpk3",272,456,333,327,352,280
"Idh3g","Idh3g",7595,10056,8109,8427,7435,8791
"Ssr4","Ssr4",3340,3587,3245,4484,4165,4934
"Bcap31","Bcap31",5720,6810,5771,7159,6329,7986
"Fam98a","Fam98a",699,984,1012,941,655,1118
"Ltbp2","Ltbp2",9,0,6,0,0,6
"Kmt2a","Kmt2a",1016,844,1111,911,688,824
"Ift46","Ift46",404,545,467,546,468,532
"Trappc6a","Trappc6a",1462,1884,1768,1906,1548,1615
"Supt6","Supt6",4200,4597,4224,4540,3832,4635
"Spag5","Spag5",517,679,510,634,670,985
"Unc119","Unc119",1766,1862,1639,1802,1759,2034
"Rab34","Rab34",0,0,1,0,0,0
"Sdf2","Sdf2",941,1177,1101,1162,979,1249
"Ccne1","Ccne1",528,775,566,640,546,957
"Bbc3","Bbc3",1023,1090,1036,463,426,382
"Mybpc3","Mybpc3",10,15,9,11,23,18
"Psmc3","Psmc3",6759,8239,7163,7804,6977,8790
"Acp2","Acp2",3543,3341,3545,4044,3183,3828
"Rapsn","Rapsn",14,10,6,34,30,49
"Slc39a13","Slc39a13",920,1009,991,1363,937,1498
"Celf2","Celf2",630,971,901,1065,803,1272
"Nr1h3","Nr1h3",333,489,459,447,391,477
"Ddb2","Ddb2",181,221,238,222,193,190
"Spi1","Spi1",10371,12535,11665,9405,7985,10149
"Sf3a1","Sf3a1",1686,2221,2065,2349,2079,2589
"Stat6","Stat6",9216,11026,10451,10104,8878,10640
"Napsa","Napsa",4971,5373,4906,4981,4085,5023
"Vrk3","Vrk3",1475,1734,1696,1309,1017,1372
"Smg9","Smg9",364,400,433,429,361,463
"Paxip1","Paxip1",777,1077,837,917,568,875
"Rmnd5a","Rmnd5a",904,946,1055,1843,509,837
"Mov10","Mov10",6281,7604,6758,7560,6198,8337
"Ppm1j","Ppm1j",1382,1568,1633,2262,1984,2300
"Rhoc","Rhoc",5446,5695,5708,3890,3567,4350
"Ppard","Ppard",83,93,82,98,57,92
"Def6","Def6",968,1529,1380,1442,1177,1482
"Metrn","Metrn",30,18,19,23,26,34
"Lmf1","Lmf1",965,1178,1007,1353,1024,1234
"Narfl","Narfl",1643,2110,1780,1706,1538,1951
"Dbf4","Dbf4",403,489,441,435,512,827
"Daxx","Daxx",1434,2029,1742,1667,1436,2133
"Cd320","Cd320",643,798,671,1046,965,1270
"Ipo4","Ipo4",1148,1524,1417,1286,1057,1154
"Tm9sf1","Tm9sf1",1434,1769,1631,2000,1717,2395
"Irf9","Irf9",884,1097,973,735,519,683
"Gmpr2","Gmpr2",186,236,170,233,207,298
"Mdp1","Mdp1",253,272,274,425,326,408
"Dhrs1","Dhrs1",1599,1716,1700,1465,1291,1682
"Tmem161a","Tmem161a",1166,1438,1473,1375,1193,1229
"Armc6","Armc6",301,315,337,194,249,297
"Borcs8","Borcs8",525,663,563,844,594,843
"Slc25a42","Slc25a42",129,128,91,166,154,200
"Snx9","Snx9",2160,2450,2236,2926,2243,3178
"Ranbp3","Ranbp3",3067,4169,3684,3467,3128,3793
"Ndufa11","Ndufa11",1466,1517,1344,1393,1273,1536
"Nr2f6","Nr2f6",476,548,608,577,370,450
"Use1","Use1",2049,2712,2297,2013,1726,1854
"Ocel1","Ocel1",438,459,372,367,266,399
"Dyrk1b","Dyrk1b",195,251,188,257,199,225
"Braf","Braf",540,702,722,849,429,814
"Ndufb2","Ndufb2",71,91,82,112,98,132
"Hltf","Hltf",212,458,334,483,371,669
"Prpf6","Prpf6",5569,6220,6122,6659,5576,6965
"Rgs19","Rgs19",2224,2815,2510,3109,2738,3596
"Rgs20","Rgs20",96,108,94,106,67,116
"Snrpd1","Snrpd1",583,813,577,703,683,1085
"Tchp","Tchp",114,85,138,106,93,127
"Tiam1","Tiam1",0,3,1,7,1,3
"Tsc2","Tsc2",5351,6237,5495,6064,4796,6261
"Rpl3l","Rpl3l",11,14,19,9,3,5
"Puf60","Puf60",4714,6165,5488,5677,4949,5634
"Golga2","Golga2",2182,2264,2504,2583,1955,2526
"Uck1","Uck1",909,1160,931,1141,858,1284
"Mien1","Mien1",418,421,322,450,331,494
"Axl","Axl",13,0,0,51,63,75
"Tgfb1","Tgfb1",3919,4877,4100,4483,3785,4419
"Ccdc97","Ccdc97",1357,1452,1518,1564,1195,1515
"Zfp40","Zfp40",12,12,31,14,12,55
"Akap8l","Akap8l",1033,1161,1107,993,932,1089
"Pdcd2l","Pdcd2l",1064,1221,1114,1007,897,1025
"Gtf2f1","Gtf2f1",2289,2629,2810,2343,2061,2605
"Clpp","Clpp",2377,2792,2416,2059,2161,2129
"Alkbh7","Alkbh7",611,748,685,556,527,549
"Dennd1c","Dennd1c",623,751,619,577,624,628
"Med6","Med6",371,365,386,365,289,498
"Lcp2","Lcp2",2987,3604,3542,3571,2481,3569
"Cse1l","Cse1l",3057,3692,3195,3755,2644,4677
"Naa20","Naa20",2902,3441,2999,3529,3071,4489
"Prkra","Prkra",762,907,677,857,638,855
"Fkbp7","Fkbp7",38,49,60,117,109,96
"Plekha3","Plekha3",508,568,427,555,145,143
"Ykt6","Ykt6",2202,2411,2455,3773,2956,5308
"Baz1b","Baz1b",1835,2080,1926,2360,1622,2341
"Pex6","Pex6",1904,2507,2385,2636,1383,1269
"Mrpl2","Mrpl2",2428,2814,2496,2527,2420,2589
"Mea1","Mea1",1893,2238,1890,1684,1539,1890
"Kdelr1","Kdelr1",1240,1358,1482,1533,1410,1539
"Tmem143","Tmem143",253,276,279,275,194,244
"Pdxk.ps","Pdxk-ps",9,0,7,3,1,7
"Ggct","Ggct",81,83,102,124,70,85
"Jag2","Jag2",764,950,814,1098,930,1021
"Btbd6","Btbd6",623,478,580,748,619,647
"Nudt14","Nudt14",1887,2380,1953,2831,2293,2657
"Flii","Flii",5858,6849,6753,5614,4473,5927
"Top3a","Top3a",789,1042,1049,1025,927,1150
"Atg4d","Atg4d",813,935,818,688,635,696
"Qtrt1","Qtrt1",720,807,741,597,496,644
"Hdgfl2","Hdgfl2",1800,2077,1938,1928,1483,1948
"Chaf1a","Chaf1a",912,1278,1141,1229,947,1872
"Adprh","Adprh",2635,3249,2872,2882,2504,2734
"Tmem39a","Tmem39a",540,601,566,602,507,604
"Timmdc1","Timmdc1",157,163,131,164,157,185
"Pla1a","Pla1a",829,1125,1017,889,784,864
"Mcm2","Mcm2",2933,4261,3537,3705,3182,5057
"Tpra1","Tpra1",3683,4238,4042,3346,2743,3295
"Nab1","Nab1",729,958,678,1147,265,324
"Adgre5","Adgre5",10,13,29,2,0,7
"Il17ra","Il17ra",969,1260,1046,3241,2526,3699
"Lamb1","Lamb1",10,5,25,11,31,54
"Kcnn1","Kcnn1",59,105,96,78,38,72
"Arrdc2","Arrdc2",265,371,383,403,362,365
"Cd36","Cd36",519,541,473,129,80,152
"Map2k7","Map2k7",754,1004,992,733,726,864
"Timm44","Timm44",1582,1875,1759,1877,1514,2124
"Ap2a2","Ap2a2",4502,5293,4904,4418,3693,4795
"Pnkp","Pnkp",2206,2403,2496,2017,1970,1999
"Med25","Med25",1492,1909,1753,1551,1316,1540
"Bcam","Bcam",10,2,4,7,14,1
"Clptm1","Clptm1",6435,7733,7218,7845,7160,8511
"Relb","Relb",697,747,915,543,532,456
"Tomm40","Tomm40",2549,3480,2840,2380,2182,3013
"Apoe","Apoe",413466,514752,452857,1546651,1237788,1454378
"Hbp1","Hbp1",3325,3882,3772,4070,3168,4522
"Prkar2b","Prkar2b",1081,1780,1428,974,606,1316
"Cdkn1b","Cdkn1b",56,77,43,43,25,34
"Klf4","Klf4",251,289,310,216,128,89
"Ap1m1","Ap1m1",3562,4671,4077,3812,2947,3723
"Rab8a","Rab8a",5214,6130,5702,6098,4674,6590
"Hmgn2","Hmgn2",1461,1928,1693,2747,2235,3605
"Fam32a","Fam32a",3659,4197,3737,3448,2646,3726
"Stard3nl","Stard3nl",466,547,503,624,577,889
"Stk11","Stk11",969,1042,939,896,666,1003
"Efna2","Efna2",37,78,30,67,54,61
"Atp5d","Atp5d",6933,8492,7566,6583,6139,6779
"Ppp5c","Ppp5c",1410,1727,1515,1264,1111,1502
"Cdk12","Cdk12",232,358,286,348,259,375
"Lipe","Lipe",226,327,268,276,221,373
"Pafah1b2","Pafah1b2",2298,2546,2601,2882,2207,3940
"Tbc1d8","Tbc1d8",19,43,21,10,18,23
"Cnot11","Cnot11",1583,1854,1674,1644,1295,1746
"Slc2a3","Slc2a3",24,19,24,5,5,8
"Foxj2","Foxj2",1099,1430,1492,1212,1073,1267
"Sri","Sri",1716,2087,1836,2266,1816,2572
"Dgcr2","Dgcr2",1092,1330,1157,1224,940,1351
"Irf3","Irf3",616,812,613,694,578,765
"Bcl2l12","Bcl2l12",22,38,37,35,48,50
"Zfp959","Zfp959",52,83,111,56,36,105
"Mpnd","Mpnd",5032,6391,5483,4262,3643,4232
"Sh3gl1","Sh3gl1",2382,2844,2662,2624,2069,2989
"Ebi3","Ebi3",31,29,44,21,13,16
"Yju2","Yju2",231,330,266,272,239,328
"Ranbp2","Ranbp2",2349,3102,3072,3738,2394,4749
"Grk5","Grk5",50,86,40,15,54,43
"Dvl3","Dvl3",1009,1205,1151,938,868,1167
"Abcf3","Abcf3",2497,3249,2780,2818,2385,2971
"Eif2b5","Eif2b5",2857,3485,3368,3645,2833,3372
"Cyth2","Cyth2",1535,1780,1668,1195,973,1281
"Sult2b1","Sult2b1",32,63,64,52,75,49
"Dlgap1","Dlgap1",20,7,2,14,9,4
"Hck","Hck",27,66,30,261,211,424
"Mrpl4","Mrpl4",3066,3864,3497,2778,2762,3073
"Keap1","Keap1",1002,1413,1369,1281,943,1284
"Glg1","Glg1",5053,5558,5891,5668,4215,6279
"Atp8b3","Atp8b3",187,202,220,320,350,269
"Btbd2","Btbd2",802,1118,916,1438,504,397
"Csnk1g2","Csnk1g2",2102,2380,2282,3438,961,969
"Abhd17a","Abhd17a",3327,4195,3527,4261,3995,4530
"Mob3a","Mob3a",249,232,267,434,454,573
"Cacnb3","Cacnb3",45,110,79,240,197,335
"Ccdc65","Ccdc65",28,10,47,75,56,59
"Fkbp11","Fkbp11",1559,1984,1522,1820,1471,1965
"Ddx23","Ddx23",197,234,199,207,205,258
"Pld3","Pld3",13191,14413,14791,19397,15677,16712
"Grik5","Grik5",17,14,11,11,15,3
"Rabac1","Rabac1",3053,3675,3186,2707,2397,2772
"Etv3","Etv3",1853,2217,2090,2342,1587,2468
"Prkcsh","Prkcsh",3311,3887,3672,3945,3475,4341
"Elavl3","Elavl3",1,0,0,0,0,0
"Rab3b","Rab3b",0,0,0,0,0,0
"St8sia6","St8sia6",0,0,0,0,2,1
"Fcgrt","Fcgrt",1784,2004,1928,2626,2129,2793
"Nosip","Nosip",845,1146,939,787,866,876
"Pih1d1","Pih1d1",429,461,405,451,427,491
"Rps11","Rps11",4803,5494,4425,5245,4366,5424
"Supt5","Supt5",5343,6519,6036,5964,4676,5618
"Paf1","Paf1",1361,1671,1406,2096,1999,2510
"Timm50","Timm50",2570,3129,2897,2359,2267,2540
"Med29","Med29",292,328,297,314,351,382
"Bicd1","Bicd1",0,0,0,0,0,1
"Ncstn","Ncstn",8066,9129,9295,11234,9151,12080
"Pex19","Pex19",2888,3581,3215,3892,3127,4269
"Crhr2","Crhr2",21,44,44,41,41,25
"Cyp4f18","Cyp4f18",343,505,463,7275,6357,7751
"Impdh1","Impdh1",1408,1929,1628,1366,1139,1516
"Dusp3","Dusp3",1811,2076,2206,1868,1483,1885
"Ess2","Ess2",1012,1218,950,1111,855,1039
"Slc25a1","Slc25a1",3779,4819,4085,4444,3670,4813
"Dgcr6","Dgcr6",796,1016,891,925,862,933
"Ddr1","Ddr1",14,18,34,26,22,37
"Ier3","Ier3",1524,2540,2105,1447,1039,1321
"Klc4","Klc4",3877,4863,4539,6120,5324,7325
"Ercc1","Ercc1",346,402,388,399,354,388
"As3mt","As3mt",0,0,0,0,0,0
"Homer3","Homer3",488,636,555,490,445,593
"Crtc1","Crtc1",547,809,786,664,662,722
"Rnf215","Rnf215",146,244,146,198,161,302
"Sec14l2","Sec14l2",896,1108,970,1114,964,1018
"Aven","Aven",643,619,597,586,297,364
"Cp","Cp",6,1,0,2,0,1
"Crot","Crot",693,903,890,1144,1037,1652
"Rps6ka1","Rps6ka1",6158,7902,7038,7255,5797,8222
"Snrnp200","Snrnp200",12694,14545,14173,14409,11718,15078
"Ciao1","Ciao1",2527,3497,3025,2830,2358,2966
"Taf6l","Taf6l",1125,1284,1052,1052,1128,1259
"Insig2","Insig2",3623,4088,4345,2104,1556,2111
"Kpna6","Kpna6",2173,2225,2320,2415,1858,2745
"Man1a","Man1a",1948,2361,2399,1746,1426,1933
"Itpkc","Itpkc",306,333,465,354,373,344
"Coq8b","Coq8b",691,872,675,630,617,596
"Brd8","Brd8",1457,1606,1521,2032,1366,2457
"Kif20a","Kif20a",807,1350,1031,1407,1098,2403
"Farsa","Farsa",3228,4640,3730,3177,2895,3474
"Gcdh","Gcdh",1019,1063,1063,1310,1088,1403
"Mast2","Mast2",1151,1365,1186,1298,491,426
"Dnase2a","Dnase2a",3651,4657,4670,4470,4535,4443
"Rad23a","Rad23a",3225,3576,3491,2939,2790,3021
"Calr","Calr",32277,38829,35622,56377,43980,61248
"Syce2","Syce2",439,496,366,366,386,483
"Nfat5","Nfat5",224,269,273,296,212,348
"Nob1","Nob1",1494,1870,1791,1142,1055,1225
"Nqo1","Nqo1",144,146,102,37,38,15
"Ppfia3","Ppfia3",40,47,35,48,21,50
"Gys1","Gys1",3421,4304,4125,3689,2734,3432
"Ruvbl2","Ruvbl2",2180,2853,2144,1949,1711,2301
"Bax","Bax",3909,4897,4446,3282,2842,3589
"Il7r","Il7r",15,9,6,2,0,8
"Tfam","Tfam",497,567,525,634,489,779
"Zfp81","Zfp81",102,134,106,60,42,123
"Mmd","Mmd",211,253,269,302,266,467
"Fam162a","Fam162a",468,695,576,997,729,1075
"Rpl8","Rpl8",11746,14835,12572,12246,10822,12774
"Fancl","Fancl",168,191,142,183,123,267
"Gstm5","Gstm5",803,826,779,1288,1088,1182
"Gstm3","Gstm3",22,32,30,9,7,9
"Stat3","Stat3",5874,6695,6859,5907,5018,6287
"Stat5a","Stat5a",836,985,906,1005,776,927
