Geneid,Treatment
control_Evs_1,Control
control_Evs_2,Control
control_Evs_3,Control
LPS_Evs_1,LPS
LPS_Evs_2,LPS
LPS_Evs_3,LPS
IL10_Evs_1,IL10
IL10_Evs_2,IL10
IL10_Evs_3,IL10
TGFB_Evs_1,TGFB
TGFB_Evs_2,TGFB
TGFB_Evs_3,TGFB
