"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Mknk2","Mknk2",422,1226,2988,373,179,516
"Zpbp","Zpbp",19,0,0,31,33,3
"Cabin1","Cabin1",2579,0,405,136,108,105
"Ap3d1","Ap3d1",4317,286,2332,20,267,496
"Phlda1","Phlda1",61,0,0,20,52,20
"Sf3a2","Sf3a2",522,81,41,24,25,61
"Mdm1","Mdm1",0,0,260,5,25,26
"Timm13","Timm13",1614,688,876,1245,367,956
"Vps13d","Vps13d",0,0,0,152,310,334
"Llph","Llph",1253,201,212,267,145,309
"Tmbim4","Tmbim4",2995,814,1194,894,450,1007
"Slc5a4b","Slc5a4b",0,0,0,3,64,144
"Irak3","Irak3",0,0,0,37,48,79
"Helb","Helb",547,21,170,17,103,139
"Prmt2","Prmt2",617,159,935,387,212,682
"Dip2a","Dip2a",575,0,13,65,172,92
"Hmg20b","Hmg20b",73,135,46,27,10,57
"X4930404N11Rik","4930404N11Rik",0,0,0,0,3,0
"Fzr1","Fzr1",1800,302,134,306,119,324
"Ncln","Ncln",3134,16,277,35,133,95
"Hcfc2","Hcfc2",276,0,0,0,48,40
"Nfyb","Nfyb",723,109,0,99,31,36
"Txnrd1","Txnrd1",3650,411,638,697,650,1429
"Ppm1m","Ppm1m",754,393,594,440,140,126
"D10Wsu102e","D10Wsu102e",295,532,989,386,573,703
"Aldh1l2","Aldh1l2",0,0,0,44,134,60
"Wdr82","Wdr82",0,496,72,220,173,263
"Glyctk","Glyctk",0,0,0,1,27,24
"Pofut2","Pofut2",836,86,32,257,139,505
"Slc36a1","Slc36a1",36,139,0,16,39,79
"Adarb1","Adarb1",72,107,424,147,113,193
"Appl2","Appl2",2337,218,0,16,55,73
"Slc36a2","Slc36a2",875,187,278,216,110,588
"Sumo3","Sumo3",2308,2523,1886,1196,664,1489
"Hint1","Hint1",2921,818,1010,1244,626,1245
"Lyrm7","Lyrm7",0,0,56,30,105,100
"Fbxw11","Fbxw11",2800,2844,1167,671,326,962
"Stk10","Stk10",0,37,0,12,70,132
"Papolg","Papolg",6,0,0,5,86,18
"Rel","Rel",0,0,46,25,40,32
"Pfkl","Pfkl",6592,1256,721,486,416,846
"Pus10","Pus10",922,125,0,9,97,64
"Pex13","Pex13",343,38,0,54,25,94
"X1810043G02Rik","1810043G02Rik",0,281,297,162,28,111
"Mpg","Mpg",21,33,0,10,16,39
"Ahsa2","Ahsa2",286,32,134,1,16,39
"Nprl3","Nprl3",320,52,1,203,64,19
"Xpo1","Xpo1",1859,529,447,152,151,558
"Hbq1a","Hbq1a",0,0,0,11,19,0
"Cpeb4","Cpeb4",1607,234,282,3,48,25
"Stc2","Stc2",0,0,0,0,1,40
"Asb3","Asb3",484,0,0,74,98,81
"Cdc34","Cdc34",1144,748,824,1241,529,1033
"Tpgs1","Tpgs1",945,238,183,146,123,274
"Chac2","Chac2",431,0,0,0,17,32
"Erlec1","Erlec1",33,30,0,14,33,112
"Shc2","Shc2",7,7,0,44,52,61
"Sptbn1","Sptbn1",41,7,24,51,176,174
"Wdpcp","Wdpcp",403,0,12,2,41,83
"Mdh1","Mdh1",6663,1707,1662,1010,470,1458
"Ccng1","Ccng1",3160,465,782,385,369,1124
"Nudcd2","Nudcd2",1154,337,433,173,142,162
"Polrmt","Polrmt",498,0,0,27,37,104
"Hmmr","Hmmr",544,34,315,203,290,399
"Hcn2","Hcn2",0,0,0,4,14,26
"Slc22a4","Slc22a4",1185,0,152,65,57,156
"Cyfip2","Cyfip2",4894,0,408,42,261,527
"Mgat1","Mgat1",981,196,871,64,91,140
"Ppp2ca","Ppp2ca",987,139,392,480,514,1107
"Hnrnpab","Hnrnpab",2864,502,914,1402,729,1611
"Phykpl","Phykpl",203,676,652,534,233,483
"Hspa4","Hspa4",6557,1265,1703,1218,674,1279
"Cnot6","Cnot6",515,1703,3149,513,330,487
"Zfp354a","Zfp354a",304,0,0,22,31,27
"Mapk9","Mapk9",824,507,195,98,183,196
"Canx","Canx",8676,889,875,410,583,1211
"Rack1","Rack1",8469,4713,5561,4028,1749,4986
"Rufy1","Rufy1",237,1,0,3,85,308
"Rnf130","Rnf130",897,554,1018,557,300,746
"Ltc4s","Ltc4s",0,0,0,0,2,8
"Rad50","Rad50",1624,304,0,272,147,175
"Mrnip","Mrnip",0,16,121,8,24,11
"Clk4","Clk4",995,72,11,48,36,26
"Sar1b","Sar1b",1606,126,710,420,96,279
"Jade2","Jade2",694,0,1,87,56,158
"Pdlim4","Pdlim4",325,0,0,48,143,171
"Cdkl3","Cdkl3",0,24,0,29,138,93
"Ube2b","Ube2b",1495,66,551,355,65,234
"Cdkn2aipnl","Cdkn2aipnl",3342,253,972,255,269,658
"Kremen1","Kremen1",413,7,0,14,13,9
"Nefh","Nefh",83,121,174,234,83,92
"Med7","Med7",72,0,0,1,8,38
"Havcr2","Havcr2",365,16,0,173,70,383
"Tnip1","Tnip1",2649,150,339,389,291,589
"Vdac1","Vdac1",2791,455,795,440,316,513
"Upp1","Upp1",596,48,165,171,135,60
"Slu7","Slu7",2284,274,973,442,217,470
"Ascc2","Ascc2",1233,222,265,265,102,375
"Hus1","Hus1",216,174,250,119,74,179
"Pttg1","Pttg1",250,70,153,502,120,247
"Zfp607a","Zfp607a",0,0,13,14,100,150
"Tns3","Tns3",979,39,53,88,112,146
"Btg2","Btg2",885,31,235,110,116,195
"Castor1","Castor1",456,10,506,43,39,64
"Pes1","Pes1",2159,115,751,321,231,229
"Tcn2","Tcn2",3686,519,196,65,102,690
"Osbp2","Osbp2",0,0,0,22,35,36
"Gabrg2","Gabrg2",0,0,0,73,142,40
"Myo1g","Myo1g",9,0,335,322,60,251
"Smtn","Smtn",344,78,171,14,75,46
"Arf5","Arf5",2300,961,747,509,269,542
"X2310033P09Rik","2310033P09Rik",58,0,9,17,9,31
"Guk1","Guk1",552,700,225,415,211,691
"Rnf185","Rnf185",795,35,368,64,31,3
"Limk2","Limk2",594,26,109,35,221,138
"Patz1","Patz1",0,68,171,74,26,81
"Eif4enif1","Eif4enif1",0,0,95,189,176,121
"Trim11","Trim11",1,14,64,18,50,17
"Ogdh","Ogdh",6827,1452,379,447,349,842
"Drg1","Drg1",2516,6570,6730,2447,996,2830
"Rtn4","Rtn4",195,219,495,200,101,127
"Mtif2","Mtif2",506,145,63,152,214,262
"Rps27a","Rps27a",7551,8405,10890,5758,2144,5795
"Cfap36","Cfap36",227,80,297,73,42,73
"Ppp4r3b","Ppp4r3b",1391,0,234,82,173,251
"Pnpt1","Pnpt1",1227,0,0,24,184,205
"Pold2","Pold2",517,384,249,330,125,176
"Zkscan17","Zkscan17",486,105,329,19,74,100
"Aebp1","Aebp1",0,0,0,12,5,10
"Polm","Polm",0,0,0,11,15,14
"Pgam2","Pgam2",59,0,0,0,13,17
"Dbnl","Dbnl",4780,286,459,156,172,322
"Mrps24","Mrps24",1267,687,1040,566,195,610
"Ccdc117","Ccdc117",277,1491,694,253,107,348
"Dynll2","Dynll2",73,154,284,353,205,385
"Xbp1","Xbp1",4031,584,1106,516,371,1186
"Supt4a","Supt4a",716,133,977,579,273,616
"X2810021J22Rik","2810021J22Rik",0,1,0,9,52,44
"Ska2","Ska2",0,0,0,62,86,177
"Prr11","Prr11",37,0,9,3,76,40
"Smg8","Smg8",1374,0,0,0,22,139
"Rnf187","Rnf187",609,741,828,815,349,868
"Tubd1","Tubd1",565,0,0,5,60,149
"Mrpl22","Mrpl22",867,109,558,287,123,435
"Cnot8","Cnot8",1043,242,145,226,186,457
"Rps6kb1","Rps6kb1",100,155,294,116,223,379
"Sap30l","Sap30l",28,161,336,140,47,183
"Galnt10","Galnt10",520,54,378,266,42,183
"Rnft1","Rnft1",636,436,143,323,37,102
"Mfap3","Mfap3",956,104,179,88,69,537
"Fam114a2","Fam114a2",956,56,589,163,171,264
"Gria1","Gria1",0,1,10,56,89,92
"Ppm1d","Ppm1d",165,131,78,0,43,1
"Znhit3","Znhit3",352,81,454,239,166,144
"Myo19","Myo19",0,0,1,82,92,56
"Prpsap2","Prpsap2",0,0,0,2,116,95
"Ggnbp2","Ggnbp2",1482,262,584,389,173,369
"Acaca","Acaca",808,429,0,100,198,167
"Shmt1","Shmt1",1199,163,317,127,200,369
"Llgl1","Llgl1",94,96,27,65,79,116
"Drg2","Drg2",2131,107,553,177,181,715
"Srebf1","Srebf1",2330,29,4,150,79,226
"Tom1l1","Tom1l1",356,60,7,5,69,72
"Cox11","Cox11",36,21,0,1,35,26
"Stxbp4","Stxbp4",7,0,245,51,94,131
"Bzw2","Bzw2",2972,997,1483,725,375,836
"Elac2","Elac2",0,0,538,160,167,415
"Pctp","Pctp",286,201,301,62,56,88
"Twistnb","Twistnb",834,327,78,161,62,235
"Atxn7l1","Atxn7l1",1214,302,45,118,156,312
"Atp6v1c2","Atp6v1c2",0,0,0,86,105,79
"Sypl","Sypl",2113,1185,1598,222,240,468
"Pdia6","Pdia6",10363,2009,4006,1177,850,2690
"Nampt","Nampt",3093,757,426,577,368,1139
"Pik3cg","Pik3cg",1326,19,0,177,124,272
"Nbas","Nbas",965,2,0,252,345,264
"Tspan13","Tspan13",332,179,176,102,93,242
"Rock2","Rock2",1406,303,514,410,584,443
"Matn3","Matn3",0,0,1,62,137,137
"Laptm4a","Laptm4a",4163,458,1080,611,247,762
"Fam49a","Fam49a",3566,0,102,124,390,336
"Snx13","Snx13",469,559,24,41,207,319
"Sdc1","Sdc1",2266,344,161,98,139,343
"Lpin1","Lpin1",1014,246,406,117,378,551
"Pum2","Pum2",408,24,436,241,108,150
"Nrcam","Nrcam",0,0,0,128,383,370
"Trib2","Trib2",0,103,59,87,153,158
"Arsg","Arsg",950,158,1,9,128,11
"Hs1bp3","Hs1bp3",1656,319,681,86,80,108
"Fam84a","Fam84a",0,0,0,50,177,72
"Smc6","Smc6",1471,893,1226,783,548,962
"Apob","Apob",6,0,4,67,210,141
"Amz2","Amz2",272,465,580,241,258,341
"Gna13","Gna13",916,2549,969,654,280,805
"Prkar1a","Prkar1a",3982,1633,1545,497,487,1307
"Abca8b","Abca8b",192,0,0,9,77,22
"Rdh14","Rdh14",145,0,0,108,28,92
"Map2k6","Map2k6",22,0,44,128,161,142
"Klhl29","Klhl29",0,0,0,67,104,112
"Trappc12","Trappc12",1525,470,349,136,554,443
"Adi1","Adi1",3913,682,951,883,379,1067
"Rnaseh1","Rnaseh1",170,0,163,84,129,205
"Ubxn2a","Ubxn2a",1278,195,502,184,278,593
"Fkbp1b","Fkbp1b",465,108,89,79,74,132
"Cmpk2","Cmpk2",0,0,0,89,92,139
"Pfn4","Pfn4",0,0,0,12,17,22
"Itsn2","Itsn2",552,12,204,141,270,665
"Rsad2","Rsad2",259,0,5,23,166,92
"Id2","Id2",3397,490,992,335,327,809
"Ncoa1","Ncoa1",17,35,0,86,218,280
"Dus4l","Dus4l",10,0,0,95,105,85
"Rrm2","Rrm2",687,1073,1374,420,256,395
"Bcap29","Bcap29",2454,1652,1023,741,297,625
"Slc26a4","Slc26a4",0,49,6,58,130,147
"Cenpo","Cenpo",686,277,220,46,199,134
"Klf11","Klf11",0,0,345,91,84,51
"Adcy3","Adcy3",0,0,0,58,142,171
"Dnajc27","Dnajc27",450,664,10,512,188,433
"Efr3b","Efr3b",6,380,236,126,156,157
"Cbll1","Cbll1",205,21,167,48,63,224
"Dnmt3a","Dnmt3a",5434,9818,7141,2553,1201,2797
"Dld","Dld",5953,281,2416,898,450,855
"Kif3c","Kif3c",0,0,0,54,85,110
"Sh3yl1","Sh3yl1",0,0,0,1,13,3
"Rab10","Rab10",4908,506,1324,514,568,1134
"Tpo","Tpo",0,0,0,22,187,87
"Pxdn","Pxdn",0,0,0,20,124,184
"Ddx52","Ddx52",532,383,167,177,80,153
"Taf15","Taf15",0,14,94,33,77,105
"Ace","Ace",216,0,0,1,26,34
"Cdc27","Cdc27",560,25,329,178,106,102
"Mettl2","Mettl2",247,172,576,153,106,77
"Nle1","Nle1",246,93,124,119,62,91
"Tlk2","Tlk2",0,136,523,117,116,97
"Rffl","Rffl",1040,809,287,198,123,189
"Lig3","Lig3",468,281,0,0,82,210
"Map3k3","Map3k3",4,191,272,135,79,190
"Ddx42","Ddx42",3446,74,384,314,278,161
"Ftsj3","Ftsj3",3880,44,699,271,243,359
"Rnf135","Rnf135",253,0,181,11,45,118
"Psmc5","Psmc5",2446,416,916,923,371,906
"Tcam1","Tcam1",423,19,0,63,162,241
"Ern1","Ern1",297,38,59,68,108,117
"Nf1","Nf1",1,4,136,102,205,94
"Pecam1","Pecam1",0,0,0,47,94,112
"Polg2","Polg2",24,38,47,80,69,94
"Ddx5","Ddx5",3928,503,710,195,321,532
"Psmd12","Psmd12",3655,310,852,175,316,696
"Helz","Helz",223,383,13,317,514,578
"Rab37","Rab37",127,0,0,12,51,42
"Slc9a3r1","Slc9a3r1",4212,1,691,202,161,285
"Nt5c","Nt5c",1112,92,87,50,73,192
"Jpt1","Jpt1",2285,606,1067,718,389,865
"Sumo2","Sumo2",1130,424,492,417,221,415
"Nup85","Nup85",957,513,381,236,294,300
"Gga3","Gga3",851,0,276,90,101,90
"Cluh","Cluh",2763,293,429,227,320,378
"Mif4gd","Mif4gd",1209,110,265,127,68,251
"Slc25a19","Slc25a19",345,89,135,248,186,346
"Pafah1b1","Pafah1b1",409,254,172,93,84,254
"Tmem94","Tmem94",22,0,0,78,89,49
"Recql5","Recql5",662,0,40,105,159,126
"Sap30bp","Sap30bp",660,58,64,288,84,329
"Itgb4","Itgb4",0,0,0,11,61,80
"Galk1","Galk1",3744,646,782,195,311,599
"Unk","Unk",19,288,418,260,81,726
"Trim47","Trim47",245,70,206,109,50,35
"Mrpl38","Mrpl38",1318,77,726,257,184,351
"Fbf1","Fbf1",14,0,1,7,133,108
"Acox1","Acox1",1769,289,171,764,236,470
"Ten1","Ten1",592,205,277,77,96,116
"Srp68","Srp68",4642,343,382,438,264,556
"Tsen54","Tsen54",485,383,0,167,59,273
"Llgl2","Llgl2",357,0,0,5,34,5
"Ncbp3","Ncbp3",12,18,29,117,271,308
"Atp2a3","Atp2a3",0,0,1,1,20,66
"Ankfy1","Ankfy1",3344,1082,999,439,338,219
"Exoc7","Exoc7",1000,0,0,308,204,240
"Ube2g1","Ube2g1",1649,367,8,152,86,150
"Spns3","Spns3",0,8,0,13,29,20
"Med31","Med31",185,44,66,0,41,63
"Ube2o","Ube2o",0,0,0,0,26,85
"Txndc17","Txndc17",1933,758,1003,1096,364,1069
"Rhbdf2","Rhbdf2",1628,2,0,30,60,16
"X4933427D14Rik","4933427D14Rik",0,0,0,1,28,59
"Pimreg","Pimreg",209,32,232,152,39,43
"X1810032O08Rik","1810032O08Rik",88,33,18,0,11,22
"Rabep1","Rabep1",2584,617,973,685,310,792
"Mfsd11","Mfsd11",1641,336,615,233,192,600
"Kif1c","Kif1c",592,2953,3343,1013,318,1284
"Sec14l1","Sec14l1",311,310,198,317,277,446
"Nos2","Nos2",1214,108,339,209,276,242
"Mink1","Mink1",304,19,219,31,41,117
"Pld2","Pld2",0,270,689,115,193,325
"Slc46a1","Slc46a1",31,115,0,102,14,88
"Eral1","Eral1",0,0,431,9,64,246
"Dhrs13","Dhrs13",504,0,0,40,34,35
"Coro6","Coro6",0,0,0,1,10,0
"Blmh","Blmh",1477,903,1962,605,346,861
"Cpd","Cpd",867,93,0,69,181,103
"Timm22","Timm22",792,54,212,377,138,84
"Nxn","Nxn",0,10,37,16,25,21
"Rflnb","Rflnb",0,222,89,25,58,40
"Ywhae","Ywhae",4500,653,942,544,396,1106
"Prpf8","Prpf8",200,0,10,46,192,335
"Spag9","Spag9",3134,292,47,265,394,449
"Luc7l3","Luc7l3",349,163,256,177,116,243
"Ankrd40","Ankrd40",53,88,297,172,121,247
"Abcc3","Abcc3",0,0,0,16,133,267
"Cacna1g","Cacna1g",0,0,0,43,52,63
"Xylt2","Xylt2",1491,0,0,7,50,91
"Lrrc59","Lrrc59",4716,977,2106,1113,565,1257
"Dlx4","Dlx4",0,10,0,0,19,0
"Slc35b1","Slc35b1",859,237,465,260,194,294
"Snx11","Snx11",0,350,64,139,125,83
"Scrn2","Scrn2",0,0,0,24,6,10
"Fbxl20","Fbxl20",0,290,357,119,133,187
"Dlg4","Dlg4",0,408,339,163,247,358
"Dvl2","Dvl2",1168,0,0,60,92,112
"Nr1d1","Nr1d1",0,0,0,8,7,6
"Alox8","Alox8",0,102,115,164,66,118
"Aloxe3","Aloxe3",0,0,0,16,69,50
"Per1","Per1",307,96,2,42,19,23
"Vamp2","Vamp2",195,30,10,13,17,78
"Tmem107","Tmem107",226,38,29,48,31,16
"Aurkb","Aurkb",518,117,334,30,176,321
"Ctc1","Ctc1",1674,88,51,56,153,587
"Pfas","Pfas",879,24,0,30,94,84
"Myh10","Myh10",595,1,0,22,144,67
"Pik3r5","Pik3r5",813,442,342,638,293,440
"Ntn1","Ntn1",0,0,0,14,26,23
"Stx8","Stx8",442,220,157,325,172,294
"Myh3","Myh3",0,0,0,18,94,80
"Adprm","Adprm",785,8,0,1,13,177
"Top2a","Top2a",3418,349,812,319,399,480
"Acly","Acly",3712,1321,852,279,309,972
"Kat2a","Kat2a",890,0,474,154,28,129
"Stat5b","Stat5b",1041,0,94,94,173,415
"Tmem101","Tmem101",0,0,4,101,76,198
"Lsm12","Lsm12",784,138,282,370,146,364
"Ubtf","Ubtf",1765,164,121,251,150,512
"Ccdc43","Ccdc43",833,106,0,18,12,146
"Eftud2","Eftud2",4438,194,685,383,274,637
"Ccdc103","Ccdc103",0,0,0,0,7,8
"Dcakd","Dcakd",487,0,4,139,34,53
"Nmt1","Nmt1",1300,474,445,165,162,351
"Plcd3","Plcd3",0,0,16,46,44,109
"Map3k14","Map3k14",0,0,190,0,78,97
"Gosr2","Gosr2",2607,371,353,1238,339,1220
"Klhl28","Klhl28",0,11,10,0,78,25
"Fkbp3","Fkbp3",1726,237,412,385,244,536
"Scfd1","Scfd1",1143,186,196,402,445,538
"Strn3","Strn3",16,69,31,67,257,141
"Ap4s1","Ap4s1",182,50,0,116,14,28
"Dtd2","Dtd2",405,165,0,306,209,239
"Ston2","Ston2",0,0,0,107,150,197
"Gtf2a1","Gtf2a1",486,235,23,158,183,98
"Sel1l","Sel1l",6737,597,0,167,348,617
"Dnaaf2","Dnaaf2",57,51,0,40,25,5
"Pole2","Pole2",166,0,0,17,74,71
"Klhdc2","Klhdc2",883,188,337,183,153,327
"Nemf","Nemf",855,34,610,162,380,536
"Sec23a","Sec23a",0,0,322,96,135,257
"L2hgdh","L2hgdh",219,0,315,14,211,137
"X4930512B01Rik","4930512B01Rik",0,1,1,21,134,124
"Trappc6b","Trappc6b",1588,117,474,141,190,376
"Pnn","Pnn",362,408,564,312,298,551
"Mia2","Mia2",2476,265,117,226,370,595
"Galc","Galc",874,118,193,129,298,458
"Spata7","Spata7",361,3,0,158,261,241
"Ptpn21","Ptpn21",0,111,0,9,123,181
"Npas3","Npas3",0,0,0,56,188,202
"Zc3h14","Zc3h14",2238,598,301,208,307,595
"Ttc8","Ttc8",221,0,0,52,110,101
"Polr2h","Polr2h",519,177,183,253,103,167
"Ppp2r3c","Ppp2r3c",323,56,89,134,165,75
"X1110008L16Rik","1110008L16Rik",474,177,310,131,62,75
"Psma6","Psma6",4907,226,1405,1257,706,1479
"Nfkbia","Nfkbia",2319,476,640,1038,471,865
"Ralgapa1","Ralgapa1",876,0,0,54,293,190
"Mbip","Mbip",7,0,132,1,22,53
"Gstz1","Gstz1",937,137,0,154,185,111
"Sptlc2","Sptlc2",1084,340,572,223,122,627
"Ahsa1","Ahsa1",1836,159,275,876,303,572
"Vipas39","Vipas39",1980,0,517,38,193,526
"Snw1","Snw1",1529,235,580,504,318,629
"Adck1","Adck1",275,255,0,30,55,18
"Mthfd1","Mthfd1",3503,26,207,4,147,439
"Ppp2r5e","Ppp2r5e",348,0,134,124,184,102
"Sgpp1","Sgpp1",0,45,54,73,50,288
"Sptb","Sptb",0,1,0,0,64,91
"Rab15","Rab15",0,0,232,21,28,34
"Fut8","Fut8",0,0,0,1,41,40
"Atl1","Atl1",222,0,0,6,11,34
"Sav1","Sav1",0,0,126,14,107,66
"Nin","Nin",1758,117,4,140,383,616
"Trim9","Trim9",0,0,6,91,161,67
"Tmx1","Tmx1",1550,368,584,40,147,54
"Actr10","Actr10",2267,292,796,396,661,1027
"Timm9","Timm9",396,308,508,93,157,256
"Rtn1","Rtn1",41,46,1,13,49,68
"Serpina3n","Serpina3n",91,0,0,8,12,78
"Dhrs7","Dhrs7",566,66,184,64,85,140
"Ppm1a","Ppm1a",165,34,244,213,367,192
"Clmn","Clmn",8,0,1,102,50,90
"Glrx5","Glrx5",1728,1723,1640,1531,554,1375
"Mnat1","Mnat1",26,83,0,87,31,61
"Prkch","Prkch",1832,323,453,190,157,183
"Hif1a","Hif1a",1477,351,301,5,202,482
"Papola","Papola",6089,1205,443,1061,563,1213
"Mpp5","Mpp5",763,23,20,71,111,85
"Snapc1","Snapc1",33,0,109,64,89,137
"Atp6v1d","Atp6v1d",4148,684,1068,817,388,1033
"Vrk1","Vrk1",880,112,189,167,118,439
"Eif2s1","Eif2s1",3683,444,1087,501,337,574
"Pigh","Pigh",157,61,0,1,21,26
"Rdh12","Rdh12",0,0,0,12,14,4
"Vti1b","Vti1b",2462,2465,1707,1497,566,1743
"Zfp36l1","Zfp36l1",259,0,69,7,21,45
"Erh","Erh",1816,377,760,613,357,935
"Susd6","Susd6",802,116,1032,14,232,66
"Srsf5","Srsf5",2672,205,775,158,171,629
"Slc10a1","Slc10a1",73,0,0,9,197,112
"Smoc1","Smoc1",0,0,23,12,66,7
"Pcnx","Pcnx",457,65,83,73,126,425
"Pacs2","Pacs2",1145,336,1391,296,191,199
"Mta1","Mta1",0,253,0,180,95,87
"Wdr37","Wdr37",0,31,0,87,99,72
"Gtpbp4","Gtpbp4",935,355,1144,751,415,643
"Zmynd11","Zmynd11",636,69,100,160,133,241
"Esyt2","Esyt2",2661,418,4,19,150,382
"Cdca7l","Cdca7l",1520,1076,479,320,246,91
"Efcab11","Efcab11",0,0,32,7,199,131
"Tdp1","Tdp1",0,122,195,215,198,136
"Psmc1","Psmc1",4816,848,1657,1154,587,1178
"Nrde2","Nrde2",1815,10,3,175,45,319
"Rps6ka5","Rps6ka5",783,0,0,37,242,288
"Ccdc88c","Ccdc88c",0,1,15,154,296,230
"Dglucy","Dglucy",966,271,351,95,163,286
"Trip11","Trip11",1983,0,385,42,136,187
"Atxn3","Atxn3",119,710,850,150,210,492
"Lgmn","Lgmn",24537,4133,5916,735,1377,3358
"Golga5","Golga5",1282,229,11,33,225,206
"Pitrm1","Pitrm1",3062,0,663,100,146,347
"Pfkp","Pfkp",3487,1373,651,726,450,1240
"Unc79","Unc79",0,0,0,16,231,131
"Otub2","Otub2",517,0,0,33,37,28
"Net1","Net1",888,532,12,1020,372,331
"Tshz3","Tshz3",0,0,0,17,77,36
"Gdi2","Gdi2",2615,1092,1212,707,610,1212
"Dcaf4","Dcaf4",1851,116,27,7,60,249
"Numb","Numb",751,342,305,94,78,190
"Acot2","Acot2",0,0,0,0,41,35
"Fam161b","Fam161b",310,21,28,7,23,42
"Coq6","Coq6",208,147,174,0,57,38
"Entpd5","Entpd5",339,410,878,94,64,106
"Aldh6a1","Aldh6a1",895,154,79,7,84,88
"Abcd4","Abcd4",1503,0,0,92,165,208
"Isca2","Isca2",653,269,467,128,96,304
"Npc2","Npc2",10473,3212,7480,2320,1111,3067
"Fcf1","Fcf1",573,310,360,669,441,859
"Ylpm1","Ylpm1",331,0,0,27,98,244
"Mlh3","Mlh3",0,320,341,196,115,263
"Tmed10","Tmed10",2902,528,1550,779,338,821
"Fos","Fos",0,0,0,17,0,61
"Erg28","Erg28",534,118,364,110,47,186
"Gpatch2l","Gpatch2l",172,154,987,116,135,357
"Angel1","Angel1",0,0,0,30,38,31
"Ccnk","Ccnk",100,94,31,36,45,51
"Cyp46a1","Cyp46a1",0,0,0,1,25,31
"Hhipl1","Hhipl1",0,0,0,2,34,26
"Evl","Evl",0,0,0,42,56,39
"Yy1","Yy1",66,45,386,114,122,193
"Slc25a29","Slc25a29",0,0,0,2,19,35
"Wars","Wars",5421,3209,4326,910,553,1158
"Meg3","Meg3",16,10,62,16,121,103
"Hsp90aa1","Hsp90aa1",7175,1672,2183,5419,2795,6612
"Zfp839","Zfp839",1166,85,305,93,127,64
"Fdft1","Fdft1",2553,488,0,493,161,604
"Tecpr2","Tecpr2",774,19,1,72,169,275
"Cinp","Cinp",291,205,608,287,285,471
"Traf3","Traf3",999,2389,1322,717,371,895
"Cdc42bpb","Cdc42bpb",472,153,63,118,96,284
"Exoc3l4","Exoc3l4",1067,167,187,241,131,318
"Tnfaip2","Tnfaip2",35040,3990,6441,3456,2830,6542
"Eif5","Eif5",7172,1991,1611,2828,1217,3133
"Ppp1r13b","Ppp1r13b",0,110,235,50,74,139
"Zfyve21","Zfyve21",480,125,116,54,69,153
"Xrcc3","Xrcc3",0,115,28,20,83,19
"Klc1","Klc1",1281,221,549,109,169,290
"Atp5mpl","Atp5mpl",2256,927,1316,892,439,1171
"Kif26a","Kif26a",0,0,0,23,61,102
"Gpr132","Gpr132",319,100,254,224,44,146
"Hecw1","Hecw1",0,0,1,45,119,159
"Ggps1","Ggps1",492,136,274,72,90,213
"Gng4","Gng4",359,139,0,0,44,55
"Gpr137b","Gpr137b",4645,792,2078,414,383,639
"Mtr","Mtr",713,99,0,56,83,160
"Ryr2","Ryr2",0,0,0,46,126,101
"Aoah","Aoah",685,56,0,190,105,152
"Trim27","Trim27",1183,322,681,274,139,449
"Zkscan3","Zkscan3",708,0,243,11,86,61
"Carmil1","Carmil1",0,0,0,64,174,105
"Mrs2","Mrs2",0,72,180,105,51,114
"Irf4","Irf4",13,0,0,5,48,6
"Exoc2","Exoc2",2470,0,1201,144,240,403
"Gcnt2","Gcnt2",0,0,0,10,23,64
"Tmem14c","Tmem14c",1992,756,1012,463,364,702
"Mak","Mak",0,0,0,48,70,100
"Nedd9","Nedd9",0,0,0,15,132,178
"Hivep1","Hivep1",7,0,115,45,80,42
"Tbc1d7","Tbc1d7",88,0,259,96,185,167
"Mcur1","Mcur1",127,264,701,299,258,514
"Nup153","Nup153",2026,87,352,90,118,52
"Kif13a","Kif13a",1,240,66,219,127,139
"Tpmt","Tpmt",139,1,4,53,98,168
"Dek","Dek",461,50,404,194,92,143
"Id4","Id4",0,15,0,63,137,68
"Susd3","Susd3",167,0,95,35,103,194
"Ippk","Ippk",1009,126,495,295,215,414
"Cenpp","Cenpp",8,0,318,1,17,32
"Nol8","Nol8",45,217,0,83,252,163
"Spin1","Spin1",572,886,385,475,354,467
"Wrnip1","Wrnip1",507,367,0,154,33,141
"Serpinb9b","Serpinb9b",522,90,105,176,64,213
"Ripk1","Ripk1",409,0,0,102,185,388
"Prpf4b","Prpf4b",874,229,72,64,115,62
"Eci2","Eci2",1291,82,330,109,178,458
"Rpp40","Rpp40",683,147,0,154,90,356
"Fars2","Fars2",262,0,156,44,103,155
"Ly86","Ly86",337,0,0,20,105,44
"Ssr1","Ssr1",5865,3166,4033,1385,1046,1857
"Riok1","Riok1",744,103,316,222,523,515
"Snrnp48","Snrnp48",423,5,304,54,169,159
"Slc35b3","Slc35b3",309,87,366,21,140,76
"Sema4d","Sema4d",4626,692,391,313,171,490
"Gadd45g","Gadd45g",1622,335,211,851,312,892
"Syk","Syk",2490,0,0,310,306,412
"X2010111I01Rik","2010111I01Rik",1256,306,253,201,199,223
"Auh","Auh",756,182,0,137,210,250
"Fancc","Fancc",0,160,0,130,72,60
"Ptch1","Ptch1",237,6,5,125,321,329
