"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"R74862","R74862",0,0,48,1,0,0
"Naa38","Naa38",346,75,144,65,32,150
"Cdyl","Cdyl",300,250,41,5,7,0
"Rpl11","Rpl11",4272,5632,5478,6320,5933,5354
"Slc27a4","Slc27a4",551,214,279,290,0,0
"Tonsl","Tonsl",0,0,0,0,0,0
"Csf2ra","Csf2ra",1700,74,142,22,92,159
"Wdr83os","Wdr83os",306,70,176,81,0,95
"Fxn","Fxn",681,531,514,365,360,352
"Mamld1","Mamld1",0,0,119,0,0,0
"Ppp2r5d","Ppp2r5d",830,133,0,236,70,343
"Fxyd2","Fxyd2",321,44,70,32,0,156
"Zfp933","Zfp933",0,0,0,6,17,104
"Max","Max",170,20,0,87,76,17
"Bcas3","Bcas3",958,197,0,0,84,0
"Hadhb","Hadhb",1836,931,631,528,269,861
"Ptk2b","Ptk2b",1832,252,329,58,56,292
"Gm7331","Gm7331",29,4,17,10,14,29
"Mbtd1","Mbtd1",821,260,269,70,29,1
"Zfp426","Zfp426",0,1,0,8,0,8
"B3gnt8","B3gnt8",80,0,0,0,0,0
"X2610301B20Rik","2610301B20Rik",592,0,361,24,0,6
"Kbtbd2","Kbtbd2",383,327,296,203,214,402
"Arhgef12","Arhgef12",0,0,0,0,0,148
"Fcgr3","Fcgr3",16037,2277,3664,1189,1290,4453
"Znhit1","Znhit1",618,151,269,250,182,242
"Uqcr10","Uqcr10",2279,719,1299,537,495,1544
"Tcea2","Tcea2",0,0,0,0,0,241
"Trp53","Trp53",2382,260,408,24,160,100
"Ccdc28a","Ccdc28a",107,0,0,2,46,0
"Tor4a","Tor4a",1658,443,300,447,446,361
"Nsmce2","Nsmce2",825,28,219,81,296,662
"Calcrl","Calcrl",0,0,0,0,0,0
"Gm10069","Gm10069",0,0,0,0,0,0
"Taf1b","Taf1b",885,235,473,0,203,0
"Zfp637","Zfp637",284,240,158,92,1,680
"Akap17b","Akap17b",0,153,0,0,0,0
"Rcan3","Rcan3",1083,3144,2775,2828,1956,1677
"Flot1","Flot1",1718,682,522,130,588,1157
"Ndufs8","Ndufs8",2946,755,1076,547,987,2217
"Kcnh7","Kcnh7",0,0,0,0,11,0
"Fdps","Fdps",63,12,0,71,29,104
"Rps3a3","Rps3a3",17,19,17,8,10,16
"Slx1b","Slx1b",284,62,96,72,78,5
"Rps26.ps1","Rps26-ps1",22,8,20,16,15,28
"Rpl13.ps6","Rpl13-ps6",8,11,12,37,10,14
"Nrm","Nrm",150,87,27,81,40,0
"Eif4a1","Eif4a1",18280,2191,3248,1015,704,6638
"Rgs3","Rgs3",128,112,128,0,14,0
"Atl2","Atl2",1475,11,462,169,28,593
"Nkapd1","Nkapd1",464,42,0,99,6,0
"Dbp","Dbp",0,0,0,8,0,183
"Sclt1","Sclt1",166,0,7,0,0,0
"Zfp874b","Zfp874b",0,0,0,27,0,0
"Zfp341","Zfp341",0,0,0,0,0,0
"Kmt5c","Kmt5c",587,286,461,87,127,232
"Hydin","Hydin",0,0,0,0,0,0
"Tnip2","Tnip2",578,399,15,59,79,0
"Zfp422","Zfp422",441,1,539,233,116,0
"Irak4","Irak4",273,9,213,244,119,27
"Ube4a","Ube4a",712,0,11,40,1,73
"Ptp4a3","Ptp4a3",174,162,30,579,357,116
"Zfp930","Zfp930",450,14,0,94,104,12
"Tmem40","Tmem40",1179,58,309,26,168,23
"Mug1","Mug1",0,0,0,0,0,0
"X4930453N24Rik","4930453N24Rik",393,6,248,190,406,594
"Unc5c","Unc5c",0,0,0,0,0,5
"Grb2","Grb2",2321,279,391,201,281,1036
"X9430015G10Rik","9430015G10Rik",0,77,241,82,0,404
"Hspa2","Hspa2",337,108,0,0,2,0
"Zfp74","Zfp74",0,47,0,51,78,0
"Taok2","Taok2",0,0,286,0,0,164
"Fcrl1","Fcrl1",903,0,11,42,81,12
"Atxn7l3","Atxn7l3",206,530,353,596,358,129
"Chpt1","Chpt1",45,235,234,85,50,69
"Kif13b","Kif13b",235,92,36,13,1,0
"Gm10073","Gm10073",13,16,13,25,23,21
"H2afj","H2afj",1131,586,327,754,581,619
"Ctf2","Ctf2",48,196,147,172,168,204
"Rpl3","Rpl3",25974,11299,10053,11823,9152,12853
"Dhps","Dhps",1077,50,230,149,115,188
"Alox5ap","Alox5ap",1567,366,555,383,427,618
"Psma3","Psma3",5159,1511,1690,950,1060,2328
"Rp2","Rp2",73,67,113,0,0,0
"Prmt7","Prmt7",2488,162,11,433,140,997
"Gemin2","Gemin2",394,128,0,101,0,226
"Tpt1","Tpt1",3554,1866,2062,1862,1767,2637
"Atp8b4","Atp8b4",3280,117,30,162,313,32
"Gm10076","Gm10076",2259,1321,1703,1465,1356,1989
"Serpinb6a","Serpinb6a",2136,593,1326,174,203,2270
"BC002059","BC002059",229,0,0,4,0,0
"Pop5","Pop5",236,192,276,137,177,0
"Zdhhc8","Zdhhc8",94,0,205,19,0,33
"Slc35e3","Slc35e3",369,17,45,104,0,22
"Pcnx2","Pcnx2",0,0,0,0,0,0
"Arrb2","Arrb2",1928,467,874,423,78,690
"Pyroxd2","Pyroxd2",2205,306,211,26,0,541
"Alyref2","Alyref2",142,10,58,2,38,32
"Pwwp2b","Pwwp2b",0,272,696,781,797,232
"Gtf2i","Gtf2i",1018,227,345,551,132,538
"Ap2a1","Ap2a1",2556,1671,942,1112,747,917
"Ppih","Ppih",264,84,64,85,22,195
"X2610008E11Rik","2610008E11Rik",0,0,0,0,0,0
"Tmc2","Tmc2",0,0,23,0,2,0
"Zfp937","Zfp937",0,0,0,0,0,0
"Caln1","Caln1",0,0,0,8,0,0
"Hnrnpc","Hnrnpc",6567,1045,1048,341,667,2485
"Bckdha","Bckdha",78,66,108,35,0,113
"Zfp128","Zfp128",0,0,0,0,0,0
"Olfr1369.ps1","Olfr1369-ps1",0,12,36,36,23,2
"Rps16.ps2","Rps16-ps2",100,93,136,148,92,127
