"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Gnai3","Gnai3",3709,914,1717,884,478,1404
"Cdc45","Cdc45",366,0,417,58,0,0
"Narf","Narf",1424,0,0,119,0,0
"Cav2","Cav2",387,151,6,74,0,0
"Klf6","Klf6",2203,495,64,251,104,0
"Scmh1","Scmh1",0,231,0,25,0,171
"Cox5a","Cox5a",1415,389,576,239,205,825
"Wnt9a","Wnt9a",0,0,16,0,0,0
"Fer","Fer",0,0,0,91,29,0
"Xpo6","Xpo6",0,225,0,71,290,1
"Tfe3","Tfe3",1219,78,825,289,0,114
"Brat1","Brat1",1644,455,139,39,0,0
"Gna12","Gna12",4,1092,833,810,761,1439
"Slc22a18","Slc22a18",301,0,0,0,0,207
"Pih1d2","Pih1d2",246,0,1,12,73,0
"Dlat","Dlat",1860,87,94,338,422,863
"Sdhd","Sdhd",5748,1010,699,963,927,3044
"Ccnd2","Ccnd2",0,6,0,0,0,4
"Gpr107","Gpr107",4030,833,137,215,275,340
"Tspan32","Tspan32",805,456,454,221,657,472
"Lhx2","Lhx2",21,0,0,17,0,0
"Gmpr","Gmpr",952,48,324,273,117,470
"Trim25","Trim25",3181,19,286,321,306,480
"Dgke","Dgke",0,3,0,4,1,0
"Scpep1","Scpep1",10915,612,2008,150,363,2069
"Mnt","Mnt",228,97,224,220,282,287
"Itgb2","Itgb2",9791,1271,959,315,572,1869
"Hddc2","Hddc2",404,378,370,250,119,169
"Pemt","Pemt",0,0,0,32,0,0
"Cdh4","Cdh4",0,0,0,0,0,0
"Ckmt1","Ckmt1",0,4,0,0,0,0
"Clec10a","Clec10a",0,64,170,95,98,153
"Alox12","Alox12",0,0,0,0,0,0
"Arvcf","Arvcf",0,0,0,62,0,0
"Comt","Comt",2486,264,1018,634,545,1628
"Rtca","Rtca",1398,504,1076,753,495,978
"Dbt","Dbt",786,0,41,89,0,0
"Dazap2","Dazap2",8421,873,2820,1147,121,3642
"Mcts1","Mcts1",496,85,305,10,138,188
"Rem1","Rem1",0,51,3,0,0,30
"Trappc10","Trappc10",243,95,95,64,121,28
"Ccm2","Ccm2",1497,328,187,313,77,846
"Tbrg4","Tbrg4",365,34,510,368,78,5
"Mx1","Mx1",0,0,73,65,176,197
"Ndufa9","Ndufa9",3068,219,722,486,273,589
"Lck","Lck",191,42,0,17,168,548
"Cttnbp2","Cttnbp2",0,0,0,2,0,0
"Galnt1","Galnt1",0,34,85,76,267,0
"Mkrn2","Mkrn2",251,597,230,793,596,400
"Raf1","Raf1",870,84,118,214,120,670
"Pdgfb","Pdgfb",304,15,3,196,0,247
"Acvrl1","Acvrl1",560,256,509,30,183,803
"Grasp","Grasp",0,21,66,43,26,83
"Acvr1b","Acvr1b",0,50,14,93,35,54
"Tom1l2","Tom1l2",2505,235,479,167,26,11
"Zfp385a","Zfp385a",582,135,265,232,83,52
"Itga5","Itga5",3761,778,1149,0,0,0
"Wdr77","Wdr77",1071,837,473,1293,685,686
"Adora3","Adora3",0,0,0,14,0,0
"Atp5f1","Atp5f1",10757,2947,3104,2290,1113,5017
"Hnrnpd","Hnrnpd",118,43,1,172,279,67
"Dynlt1c","Dynlt1c",118,15,38,9,14,0
"C1d","C1d",1061,415,362,444,359,109
"Gm2a","Gm2a",7576,971,927,392,560,2387
"Krit1","Krit1",1075,0,0,55,0,684
"Clcn4","Clcn4",903,1,0,118,1,0
"Hk2","Hk2",2397,30,459,125,93,125
"Myo18a","Myo18a",249,435,0,110,150,0
"Haao","Haao",336,0,0,0,8,0
"Cd52","Cd52",3566,366,910,224,111,2478
"Abhd15","Abhd15",0,0,0,26,0,362
"Loxl3","Loxl3",0,0,0,0,0,0
"Kat2b","Kat2b",223,18,7,119,26,383
"Rab5b","Rab5b",398,75,108,50,33,193
"Dnmt3l","Dnmt3l",0,142,84,124,0,300
"Icosl","Icosl",863,0,7,36,42,0
"Spg7","Spg7",650,193,38,278,280,389
"Sult5a1","Sult5a1",0,0,0,0,0,0
"Rpl13","Rpl13",25924,21084,21262,26440,21145,27203
"Chmp1a","Chmp1a",6734,3003,2230,3143,2241,3019
"Rpa1","Rpa1",497,188,1022,197,91,1114
"Serpinf1","Serpinf1",0,137,51,167,87,236
"Tubgcp3","Tubgcp3",0,0,1,8,1,448
"Oprm1","Oprm1",0,0,0,0,0,0
"Polr3d","Polr3d",0,96,149,12,26,527
"Ddx3x","Ddx3x",2252,482,226,531,207,1587
"Il12rb1","Il12rb1",0,0,70,29,0,0
"Kcnn3","Kcnn3",0,0,0,0,0,0
"Usp32","Usp32",357,0,15,85,0,0
"Txnrd3","Txnrd3",0,0,0,0,0,0
"Zfp512b","Zfp512b",12,98,514,174,288,0
"Dnajc5","Dnajc5",1719,7486,6424,13208,8580,6479
"Tpd52l2","Tpd52l2",2124,63,531,88,344,1090
"Fmr1","Fmr1",0,0,50,72,0,150
"Bcl11a","Bcl11a",0,0,0,0,0,0
"Il4","Il4",0,30,0,0,0,0
"Pxmp4","Pxmp4",395,127,185,0,175,143
"Dlg3","Dlg3",0,0,0,0,0,0
"Gnb1l","Gnb1l",0,0,0,0,0,0
"Smarcb1","Smarcb1",1420,176,110,0,114,38
"Hip1r","Hip1r",0,0,0,0,0,0
"Nsun5","Nsun5",217,0,0,29,0,424
"Top1mt","Top1mt",485,26,183,106,206,493
"Mmp14","Mmp14",0,0,43,0,1,0
"Slc7a7","Slc7a7",0,0,0,0,0,0
"Oxa1l","Oxa1l",993,189,18,392,154,422
"Heatr6","Heatr6",0,162,0,78,0,0
"Ccl3","Ccl3",7738,408,2866,617,362,5614
"Ilf2","Ilf2",2100,142,526,183,420,816
"Chtop","Chtop",2023,731,462,799,718,1254
"Snapin","Snapin",2292,350,1526,385,98,968
"S100a4","S100a4",47,4,15,7,12,13
"S100a3","S100a3",0,1,44,26,1,45
"S100a6","S100a6",2918,674,1282,419,556,1884
"Icam2","Icam2",0,49,0,35,0,0
"Mapk7","Mapk7",426,0,284,78,0,339
"Epn2","Epn2",999,107,0,0,0,83
"B9d1","B9d1",108,0,0,0,0,0
"Sec24b","Sec24b",1751,7,425,24,0,0
"N4bp3","N4bp3",0,16,1,104,64,494
"Rmnd5b","Rmnd5b",543,0,578,134,254,335
"Nhp2","Nhp2",4476,2074,2428,2457,1805,2645
"Vps9d1","Vps9d1",219,181,0,119,105,0
"Zfp276","Zfp276",207,157,0,0,0,6
"Mfsd10","Mfsd10",775,86,364,1,0,595
"Luzp1","Luzp1",0,616,184,1055,507,2238
"Kctd10","Kctd10",607,567,400,840,290,435
"Poldip2","Poldip2",4105,1138,2129,1906,1736,2196
"Ift20","Ift20",379,305,240,170,94,273
"Lgals9","Lgals9",3633,365,713,85,357,1971
"Araf","Araf",737,691,1301,272,129,845
"Cfp","Cfp",4381,156,868,272,372,1112
"Uxt","Uxt",191,100,67,4,34,283
"Cnnm3","Cnnm3",0,173,69,287,73,33
"Lman2l","Lman2l",1608,475,0,136,86,183
"Mcm3ap","Mcm3ap",356,34,0,201,40,806
"Pcnt","Pcnt",217,92,30,78,18,0
"Mxd1","Mxd1",384,67,190,364,552,0
"Gmcl1","Gmcl1",776,1056,931,1253,1489,1249
"Snrnp27","Snrnp27",882,161,232,106,36,595
"Oas1c","Oas1c",0,0,0,0,0,167
"Ocrl","Ocrl",751,12,16,20,5,14
"Calm1","Calm1",9115,1532,3811,1429,1686,5346
"Agpat3","Agpat3",851,572,553,119,410,260
"Slc26a3","Slc26a3",0,0,0,0,0,0
"Sema6b","Sema6b",0,45,0,0,6,1
"Uhrf1","Uhrf1",606,542,0,413,118,747
"Dpp9","Dpp9",1318,0,739,180,6,530
"Lsr","Lsr",0,0,0,0,0,0
"Gramd1a","Gramd1a",901,1061,523,1010,191,1180
"Hpn","Hpn",0,0,0,0,0,0
"Ckb","Ckb",1826,407,345,148,242,143
"Sp1","Sp1",351,217,52,542,89,2
"Itgb7","Itgb7",1112,191,828,559,182,0
"Myg1","Myg1",792,126,152,207,305,309
"Rarg","Rarg",175,0,0,7,0,1
"Pfdn5","Pfdn5",1560,1235,1972,1611,926,1177
"Rrp15","Rrp15",492,67,0,4,0,0
"Rnd2","Rnd2",0,80,0,119,48,11
"Srr","Srr",315,28,120,19,0,242
"Acp5","Acp5",1529,36,734,105,148,734
"Fbxo9","Fbxo9",0,88,215,69,105,463
"Vps50","Vps50",479,245,0,4,40,545
"Hars","Hars",1506,0,129,561,259,260
"Zmat2","Zmat2",477,177,393,52,9,339
"Ube2c","Ube2c",1891,261,494,161,19,758
"Smg5","Smg5",943,199,222,236,311,159
"Cct3","Cct3",16166,3166,6788,2770,2152,7549
"Glmp","Glmp",15530,1438,2156,242,872,6919
"Mef2d","Mef2d",2528,421,230,276,75,283
"Tmem79","Tmem79",0,1,0,14,31,0
"Snd1","Snd1",4451,1110,2655,344,416,1035
"Col18a1","Col18a1",0,23,0,0,0,0
"Slc19a1","Slc19a1",690,114,0,30,20,522
"Kpnb1","Kpnb1",637,2022,1800,3435,833,1264
"Npepps","Npepps",2283,197,744,132,146,404
"Mrpl10","Mrpl10",2258,339,538,296,188,777
"Cyp51","Cyp51",694,372,694,255,497,310
"Tcf25","Tcf25",5364,5052,4149,5852,2386,4644
"Tubb6","Tubb6",3302,172,604,215,395,1571
"Def8","Def8",2233,402,734,961,125,806
"Itga3","Itga3",0,0,1,1,0,1
"Foxm1","Foxm1",917,33,0,168,97,239
"Itfg2","Itfg2",206,0,6,0,0,0
"Nrip2","Nrip2",4,47,47,51,47,49
"Tulp3","Tulp3",21,71,8,39,37,58
"Gtf2h4","Gtf2h4",311,341,169,142,58,502
"Tubb5","Tubb5",5943,1269,2488,2148,1156,3191
"Ell2","Ell2",1382,215,58,80,65,468
"Jup","Jup",508,1,121,0,0,0
"Nom1","Nom1",312,426,2,299,80,1630
"Ergic1","Ergic1",2531,254,654,612,0,1395
"Acap1","Acap1",847,0,79,42,0,56
"Tcea3","Tcea3",0,0,0,0,0,0
"Ifrd1","Ifrd1",2245,293,532,280,206,1770
"Stk38l","Stk38l",1,107,137,106,0,733
"Brpf1","Brpf1",544,282,243,7,8,24
"Akr1b3","Akr1b3",5105,843,1161,784,616,2071
"Hoxc6","Hoxc6",0,16,3,9,0,0
"Gstt3","Gstt3",1,87,0,15,5,0
"Ddt","Ddt",35,11,11,0,18,102
"Marveld3","Marveld3",0,0,0,0,0,0
"Ddx18","Ddx18",868,219,712,27,146,458
"Ubl3","Ubl3",1118,499,612,564,546,285
"Gramd3","Gramd3",251,0,0,1,0,0
"Eef1e1","Eef1e1",656,136,63,147,180,908
"Akt1","Akt1",584,553,370,1249,416,659
"Il16","Il16",96,61,0,0,0,0
"Tcirg1","Tcirg1",10082,641,1132,530,438,3402
"Naglu","Naglu",4262,167,483,0,143,594
"Coasy","Coasy",2401,182,41,281,153,1647
"Smo","Smo",1,301,262,644,329,0
"Crnkl1","Crnkl1",975,129,229,56,0,0
"Rin2","Rin2",956,22,8,304,39,575
"Chordc1","Chordc1",1717,78,380,142,194,244
"Rtcb","Rtcb",2842,600,582,390,200,1252
"Pwp1","Pwp1",4329,1108,1391,329,425,875
"Fbxo7","Fbxo7",691,144,208,88,0,0
"Capns1","Capns1",806,86,310,23,258,219
"Folr1","Folr1",0,0,194,0,0,174
"Clpb","Clpb",1732,185,24,98,196,0
"X45176","45176",1222,48,321,318,3,795
"Zdhhc4","Zdhhc4",1380,492,323,742,442,532
"Rac1","Rac1",1494,446,867,458,381,558
"Nup214","Nup214",375,131,0,140,127,0
"Ltbp1","Ltbp1",0,0,0,6,0,0
"Ugp2","Ugp2",6526,576,1596,559,470,2041
"Trmt1","Trmt1",1420,173,1436,720,453,52
"Nacc1","Nacc1",614,71,12,58,6,0
"Nfix","Nfix",7,176,141,214,162,34
"Slc1a5","Slc1a5",3386,290,219,555,208,1014
"Uba1","Uba1",4080,392,704,249,399,1297
"Vwf","Vwf",1184,0,0,164,16,0
"Siae","Siae",1762,399,266,6,93,686
"Spa17","Spa17",0,9,0,22,0,0
"Fam50a","Fam50a",2654,22,554,8,91,879
"Emd","Emd",1,106,0,0,1,188
"Taco1","Taco1",0,0,0,30,0,0
"Npas1","Npas1",0,0,0,0,0,0
"Sipa1l2","Sipa1l2",216,117,48,98,0,0
"Ap4e1","Ap4e1",552,105,3,67,8,495
"Blvra","Blvra",3949,1907,2931,1427,931,2773
"Srpk3","Srpk3",250,0,1,15,0,0
"Idh3g","Idh3g",5065,490,843,319,641,1516
"Ssr4","Ssr4",2639,703,722,453,285,884
"Bcap31","Bcap31",5837,263,1662,149,599,1481
"Fam98a","Fam98a",962,141,0,47,12,295
"Ltbp2","Ltbp2",646,0,0,0,0,0
"Kmt2a","Kmt2a",223,208,4,244,0,6
"Ift46","Ift46",222,63,280,8,0,0
"Trappc6a","Trappc6a",1386,248,347,176,215,514
"Supt6","Supt6",1620,1,340,50,9,1
"Spag5","Spag5",0,204,0,179,8,1
"Unc119","Unc119",1094,289,174,84,113,805
"Rab34","Rab34",0,0,1,0,0,0
"Sdf2","Sdf2",324,134,0,165,2,383
"Ccne1","Ccne1",1221,229,177,255,290,0
"Bbc3","Bbc3",394,30,132,7,24,88
"Mybpc3","Mybpc3",0,0,0,30,0,0
"Psmc3","Psmc3",4760,1029,1461,583,936,2355
"Acp2","Acp2",2566,467,292,17,224,303
"Rapsn","Rapsn",100,0,0,0,0,0
"Slc39a13","Slc39a13",588,351,370,0,0,0
"Celf2","Celf2",0,45,321,440,522,277
"Nr1h3","Nr1h3",0,30,1,24,85,0
"Ddb2","Ddb2",285,0,0,0,0,0
"Spi1","Spi1",5546,568,1112,831,548,2480
"Sf3a1","Sf3a1",1435,203,720,0,113,853
"Stat6","Stat6",4824,108,936,417,8,1094
"Napsa","Napsa",2219,223,649,109,197,644
"Vrk3","Vrk3",683,354,1043,233,599,328
"Smg9","Smg9",260,0,17,61,0,0
"Paxip1","Paxip1",282,141,4,78,44,0
"Rmnd5a","Rmnd5a",154,717,186,940,426,535
"Mov10","Mov10",5653,379,127,114,19,551
"Ppm1j","Ppm1j",1476,76,551,123,94,200
"Rhoc","Rhoc",5066,538,1033,363,319,1550
"Ppard","Ppard",15,4,0,8,6,28
"Def6","Def6",732,78,1,216,155,14
"Metrn","Metrn",55,136,318,482,39,46
"Lmf1","Lmf1",681,530,172,58,0,669
"Narfl","Narfl",1331,17,0,52,0,1488
"Dbf4","Dbf4",689,1404,725,2156,931,636
"Daxx","Daxx",281,12,68,331,250,289
"Cd320","Cd320",181,80,242,90,131,0
"Ipo4","Ipo4",743,69,324,167,185,206
"Tm9sf1","Tm9sf1",951,261,469,24,65,440
"Irf9","Irf9",554,162,257,51,11,429
"Gmpr2","Gmpr2",162,0,163,63,39,121
"Mdp1","Mdp1",259,0,0,35,0,0
"Dhrs1","Dhrs1",1373,62,128,0,86,0
"Tmem161a","Tmem161a",984,243,1061,732,822,1108
"Armc6","Armc6",0,122,0,96,204,2
"Borcs8","Borcs8",518,0,98,142,199,104
"Slc25a42","Slc25a42",0,0,150,0,0,0
"Snx9","Snx9",1763,176,166,140,36,552
"Ranbp3","Ranbp3",1239,183,596,401,254,667
"Ndufa11","Ndufa11",1020,306,435,154,112,429
"Nr2f6","Nr2f6",95,35,11,63,83,23
"Use1","Use1",1656,760,814,600,520,1088
"Ocel1","Ocel1",0,208,89,162,185,0
"Dyrk1b","Dyrk1b",132,90,154,115,51,51
"Braf","Braf",324,187,22,169,182,2
"Ndufb2","Ndufb2",86,48,17,10,22,59
"Hltf","Hltf",542,92,1,0,0,0
"Prpf6","Prpf6",3290,0,192,291,241,760
"Rgs19","Rgs19",965,298,273,212,0,777
"Rgs20","Rgs20",127,0,0,0,0,0
"Snrpd1","Snrpd1",828,184,486,219,239,535
"Tchp","Tchp",0,28,64,21,0,0
"Tiam1","Tiam1",0,0,0,0,0,0
"Tsc2","Tsc2",1332,0,566,65,15,648
"Rpl3l","Rpl3l",68,0,21,4,6,18
"Puf60","Puf60",2594,333,1,157,44,725
"Golga2","Golga2",128,68,0,116,0,448
"Uck1","Uck1",820,360,435,153,311,632
"Mien1","Mien1",254,57,109,30,8,105
"Axl","Axl",0,0,0,0,0,1
"Tgfb1","Tgfb1",1355,313,95,142,143,445
"Ccdc97","Ccdc97",644,136,165,27,264,0
"Zfp40","Zfp40",0,0,0,0,0,0
"Akap8l","Akap8l",251,0,100,14,208,0
"Pdcd2l","Pdcd2l",937,162,440,38,169,251
"Gtf2f1","Gtf2f1",3147,197,9,209,7,463
"Clpp","Clpp",1409,189,463,279,289,398
"Alkbh7","Alkbh7",512,47,127,62,54,0
"Dennd1c","Dennd1c",367,0,0,55,0,1
"Med6","Med6",313,213,187,58,132,167
"Lcp2","Lcp2",2287,243,676,57,291,345
"Cse1l","Cse1l",2556,182,617,297,469,0
"Naa20","Naa20",2412,335,490,403,402,1102
"Prkra","Prkra",878,123,71,27,0,74
"Fkbp7","Fkbp7",0,0,87,0,0,0
"Plekha3","Plekha3",84,94,197,261,133,79
"Ykt6","Ykt6",862,334,870,1129,629,312
"Baz1b","Baz1b",752,306,2,285,507,170
"Pex6","Pex6",220,0,0,11,6,185
"Mrpl2","Mrpl2",2306,452,905,225,136,783
"Mea1","Mea1",1949,489,388,366,291,877
"Kdelr1","Kdelr1",722,6,67,25,115,0
"Tmem143","Tmem143",0,0,9,8,0,0
"Pdxk.ps","Pdxk-ps",0,0,0,0,0,0
"Ggct","Ggct",114,26,121,19,4,56
"Jag2","Jag2",4,240,96,530,636,292
"Btbd6","Btbd6",268,0,437,129,89,0
"Nudt14","Nudt14",1341,398,423,120,323,953
"Flii","Flii",1657,421,499,189,47,1606
"Top3a","Top3a",0,0,0,38,106,284
"Atg4d","Atg4d",0,927,1166,1690,646,681
"Qtrt1","Qtrt1",199,56,0,20,0,0
"Hdgfl2","Hdgfl2",811,505,510,1098,770,2093
"Chaf1a","Chaf1a",630,346,549,404,421,611
"Adprh","Adprh",1474,56,124,54,239,203
"Tmem39a","Tmem39a",0,0,4,82,92,52
"Timmdc1","Timmdc1",30,48,0,7,2,250
"Pla1a","Pla1a",987,10,0,50,20,98
"Mcm2","Mcm2",1807,184,1,181,9,315
"Tpra1","Tpra1",3213,464,0,77,147,471
"Nab1","Nab1",239,150,346,224,259,75
"Adgre5","Adgre5",0,0,0,0,0,0
"Il17ra","Il17ra",796,128,5,129,164,0
"Lamb1","Lamb1",0,0,0,1,0,0
"Kcnn1","Kcnn1",0,0,0,0,0,0
"Arrdc2","Arrdc2",104,0,6,128,255,0
"Cd36","Cd36",0,0,0,51,0,0
"Map2k7","Map2k7",583,139,7,117,225,198
"Timm44","Timm44",2380,94,403,145,271,166
"Ap2a2","Ap2a2",3165,2233,1479,3228,2290,773
"Pnkp","Pnkp",1563,343,0,124,207,0
"Med25","Med25",839,171,78,145,228,220
"Bcam","Bcam",0,0,0,0,0,0
"Clptm1","Clptm1",3031,292,358,225,201,700
"Relb","Relb",495,91,243,356,0,0
"Tomm40","Tomm40",2860,403,1273,852,571,1133
"Apoe","Apoe",280409,65484,70796,6697,30182,91739
"Hbp1","Hbp1",1966,777,609,227,220,616
"Prkar2b","Prkar2b",2399,179,14,158,129,440
"Cdkn1b","Cdkn1b",7,0,4,0,0,93
"Klf4","Klf4",43,40,4,0,12,51
"Ap1m1","Ap1m1",1949,550,469,276,254,1586
"Rab8a","Rab8a",3815,684,1280,258,324,1061
"Hmgn2","Hmgn2",1683,715,763,654,347,1016
"Fam32a","Fam32a",3466,1207,3027,2474,2010,2864
"Stard3nl","Stard3nl",275,174,850,205,305,332
"Stk11","Stk11",0,313,194,597,117,285
"Efna2","Efna2",0,0,0,3,109,0
"Atp5d","Atp5d",5206,1374,2044,1238,1097,3017
"Ppp5c","Ppp5c",1059,244,94,150,347,600
"Cdk12","Cdk12",101,0,0,3,26,0
"Lipe","Lipe",0,0,0,2,0,0
"Pafah1b2","Pafah1b2",3032,839,648,1204,395,942
"Tbc1d8","Tbc1d8",0,34,0,0,0,0
"Cnot11","Cnot11",511,17,172,66,0,0
"Slc2a3","Slc2a3",0,15,7,31,24,19
"Foxj2","Foxj2",577,0,0,108,0,4
"Sri","Sri",1312,591,427,161,144,765
"Dgcr2","Dgcr2",816,0,10,65,17,0
"Irf3","Irf3",629,0,166,127,6,425
"Bcl2l12","Bcl2l12",76,0,17,1,0,0
"Zfp959","Zfp959",0,0,0,59,0,0
"Mpnd","Mpnd",2431,312,937,212,351,808
"Sh3gl1","Sh3gl1",1072,0,195,99,10,312
"Ebi3","Ebi3",65,0,0,0,0,110
"Yju2","Yju2",346,0,0,0,0,0
"Ranbp2","Ranbp2",2075,139,183,68,81,5
"Grk5","Grk5",724,0,0,0,0,0
"Dvl3","Dvl3",139,0,0,22,0,0
"Abcf3","Abcf3",1567,0,587,104,0,0
"Eif2b5","Eif2b5",1631,99,113,413,0,952
"Cyth2","Cyth2",1696,161,398,39,123,348
"Sult2b1","Sult2b1",0,12,0,1,0,0
"Dlgap1","Dlgap1",0,0,0,0,14,8
"Hck","Hck",0,0,0,0,0,0
"Mrpl4","Mrpl4",1693,196,99,143,275,1015
"Keap1","Keap1",371,527,60,173,47,786
"Glg1","Glg1",2495,706,8,160,295,887
"Atp8b3","Atp8b3",0,0,0,0,0,0
"Btbd2","Btbd2",254,0,0,0,0,313
"Csnk1g2","Csnk1g2",155,113,158,499,426,80
"Abhd17a","Abhd17a",2656,1398,807,1348,764,810
"Mob3a","Mob3a",0,70,10,20,39,0
"Cacnb3","Cacnb3",0,0,1,50,0,1
"Ccdc65","Ccdc65",0,0,0,0,0,0
"Fkbp11","Fkbp11",1672,685,938,806,402,896
"Ddx23","Ddx23",0,4,0,1,0,286
"Pld3","Pld3",6945,842,2422,135,86,2720
"Grik5","Grik5",0,1,0,0,12,0
"Rabac1","Rabac1",1253,570,825,255,400,808
"Etv3","Etv3",27,807,345,1190,1415,992
"Prkcsh","Prkcsh",1746,513,20,83,0,298
"Elavl3","Elavl3",0,0,0,0,1,0
"Rab3b","Rab3b",0,0,0,0,0,0
"St8sia6","St8sia6",0,0,0,0,0,0
"Fcgrt","Fcgrt",1354,234,570,182,137,240
"Nosip","Nosip",524,76,132,76,0,185
"Pih1d1","Pih1d1",260,106,69,138,91,138
"Rps11","Rps11",3298,2122,2596,2718,2669,3839
"Supt5","Supt5",3341,703,713,353,149,430
"Paf1","Paf1",0,112,1,76,0,0
"Timm50","Timm50",2506,320,705,134,45,893
"Med29","Med29",302,106,183,4,15,56
"Bicd1","Bicd1",0,0,0,0,0,0
"Ncstn","Ncstn",5750,330,0,31,501,1170
"Pex19","Pex19",3164,308,402,210,152,1357
"Crhr2","Crhr2",132,0,3,0,4,0
"Cyp4f18","Cyp4f18",124,152,137,0,1,439
"Impdh1","Impdh1",1101,170,24,32,1,1024
"Dusp3","Dusp3",399,372,666,789,488,1121
"Ess2","Ess2",1459,0,95,74,0,0
"Slc25a1","Slc25a1",1600,904,422,541,569,1326
"Dgcr6","Dgcr6",845,242,409,395,241,523
"Ddr1","Ddr1",0,0,0,0,0,0
"Ier3","Ier3",1874,411,400,350,321,414
"Klc4","Klc4",2904,841,822,1010,1386,2605
"Ercc1","Ercc1",313,0,0,0,0,139
"As3mt","As3mt",0,0,0,0,0,0
"Homer3","Homer3",201,6,75,88,1,221
"Crtc1","Crtc1",245,69,76,115,119,73
"Rnf215","Rnf215",0,0,0,54,0,0
"Sec14l2","Sec14l2",201,18,219,50,0,80
"Aven","Aven",239,101,121,139,173,75
"Cp","Cp",0,0,0,0,0,0
"Crot","Crot",1037,0,231,16,0,544
"Rps6ka1","Rps6ka1",2787,761,815,227,265,541
"Snrnp200","Snrnp200",1387,316,812,566,926,3702
"Ciao1","Ciao1",1285,312,368,484,230,1126
"Taf6l","Taf6l",366,0,0,28,0,21
"Insig2","Insig2",2486,885,1850,1604,1502,1574
"Kpna6","Kpna6",1254,262,357,1056,987,430
"Man1a","Man1a",1119,109,197,0,308,26
"Itpkc","Itpkc",0,0,0,0,0,0
"Coq8b","Coq8b",0,51,41,0,41,84
"Brd8","Brd8",451,256,78,117,88,116
"Kif20a","Kif20a",1321,243,204,0,136,0
"Farsa","Farsa",2266,331,634,68,622,341
"Gcdh","Gcdh",1433,0,145,80,0,547
"Mast2","Mast2",32,357,337,104,573,1111
"Dnase2a","Dnase2a",3682,277,212,235,348,857
"Rad23a","Rad23a",1213,149,324,232,23,452
"Calr","Calr",23001,3165,6171,1875,2628,5691
"Syce2","Syce2",469,106,417,335,118,417
"Nfat5","Nfat5",3,0,1,38,0,49
"Nob1","Nob1",918,114,26,214,225,4
"Nqo1","Nqo1",234,0,0,0,0,2
"Ppfia3","Ppfia3",0,0,0,34,0,0
"Gys1","Gys1",1977,1295,1148,1595,1700,1726
"Ruvbl2","Ruvbl2",1317,316,398,116,180,25
"Bax","Bax",2840,595,892,444,471,960
"Il7r","Il7r",0,0,0,0,0,0
"Tfam","Tfam",1154,9,358,293,133,324
"Zfp81","Zfp81",0,195,1,10,0,20
"Mmd","Mmd",1034,185,100,130,94,14
"Fam162a","Fam162a",616,286,168,201,71,576
"Rpl8","Rpl8",7339,9301,10033,12564,10491,11668
"Fancl","Fancl",506,38,0,0,72,0
"Gstm5","Gstm5",393,372,389,43,26,460
"Gstm3","Gstm3",21,0,1,0,0,3
"Stat3","Stat3",5601,662,222,388,323,1901
"Stat5a","Stat5a",528,190,0,29,263,0
"Map3k11","Map3k11",377,458,2,186,277,648
"Akt2","Akt2",977,907,842,789,280,376
"Dnaja3","Dnaja3",1604,449,816,158,374,954
"Hmox2","Hmox2",349,102,170,110,44,899
"Cdip1","Cdip1",1474,969,1085,501,69,490
"Map3k20","Map3k20",1925,591,485,856,591,441
"Cwc15","Cwc15",1262,290,448,228,252,734
"Col5a3","Col5a3",0,0,1,0,0,0
"Dnmt1","Dnmt1",3121,283,726,216,337,538
"Ppan","Ppan",1016,170,320,141,353,58
"Angptl2","Angptl2",1983,554,1113,158,534,1109
"Cacna1e","Cacna1e",0,0,0,2,0,0
"Cacna1b","Cacna1b",0,0,0,10,5,0
"Trmt10a","Trmt10a",0,144,5,4,4,11
"Etv1","Etv1",233,22,200,94,37,315
"Kifc2","Kifc2",0,0,0,0,0,0
"Psap","Psap",52594,8386,16091,6235,4852,23352
"Ikbkg","Ikbkg",1769,331,480,664,940,662
"Wars2","Wars2",2,9,278,10,73,0
"Phb2","Phb2",4089,1390,1903,1754,1095,2010
"Ptpn6","Ptpn6",6485,1413,2216,434,983,2242
"Eno2","Eno2",0,0,17,18,125,463
"Emg1","Emg1",782,686,445,679,209,1069
"Lpcat3","Lpcat3",1749,140,184,76,212,245
"Atp6v1f","Atp6v1f",7759,1234,2334,864,917,2610
"Clcn5","Clcn5",254,223,56,142,38,25
"Clcn3","Clcn3",979,149,0,238,0,15
"Pde1c","Pde1c",0,0,0,0,0,0
"Utp20","Utp20",0,369,0,0,0,0
"Spic","Spic",0,0,0,0,0,0
"Cul3","Cul3",1,218,51,108,114,174
"Large1","Large1",136,126,34,0,0,20
"Ddx56","Ddx56",2592,217,570,498,353,1292
"Tmed4","Tmed4",3586,237,0,107,49,682
"Col26a1","Col26a1",0,0,0,0,0,0
"Bid","Bid",3172,395,497,138,257,298
"Ralb","Ralb",3080,1838,1822,2782,2010,2813
"Ppp1cc","Ppp1cc",2122,1237,2002,1848,1414,1970
"Dnajb11","Dnajb11",2160,1061,456,603,453,2455
"Tbccd1","Tbccd1",0,331,3,154,161,479
"Clec11a","Clec11a",0,0,0,13,0,0
"Zfp324","Zfp324",0,0,0,95,0,0
"Gab2","Gab2",1577,80,0,368,803,0
"Coro1c","Coro1c",9336,1735,2106,1759,1294,2107
